SpeciesID,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5
PIED01,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,25%
PIED02,10%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,50%,50%,50%,50%,75%,75%,90%,90%,75%,90%,X,X,X,X,X,X,X,X,X,X,X
PIED03,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,10%,25%,25%,25%,75%,50%,50%,50%,75%,50%,NA,75%,75%,75%,75%,75%,X,X,X,X
PIED04,25%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,50%,25%,25%,50%,50%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED05,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,NA,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,50%,50%,75%,75%,75%,75%,NA,90%,90%,90%,90%,X,X,X,X,X
PIED06,25%,25%,10%,10%,10%,25%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,50%,25%,50%,75%,50%,75%,75%,50%,NA,75%,75%,75%,75%,90%,X,X,X,X
PIED07,10%,25%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,10%,25%,10%,25%,25%,25%,25%,50%,25%,25%,50%,50%,50%,50%,NA,50%,50%,75%,90%,X,X,X,X,X
PIED08,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,50%,50%,25%,50%,25%,25%,NA,25%,25%,50%,50%,50%,50%,NA,NA,50%
PIED09,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED10,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,NA,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,10%,10%,10%,10%,NA,NA,10%
PIED11,25%,25%,10%,25%,10%,25%,25%,25%,50%,50%,50%,50%,50%,75%,75%,75%,75%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED12,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,25%,25%,75%,50%,75%,75%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED13,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%,25%,25%,25%,NA,75%,50%,50%,75%,75%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED14,10%,25%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,50%,50%,50%,25%,50%,50%,50%,50%,50%,75%,75%,90%,75%,75%,X,X,X,X,X,X,X,X,X,X,X
