Phase,Chamber,Kestrel,Heatwave,Time,Temperature_avg
1,2,1,no,0000,11.7508333333333
1,2,1,no,0030,11.7454166666667
1,2,1,no,0100,10.3804166666667
1,2,1,no,0130,10.0666666666667
1,2,1,no,0200,9.9325
1,2,1,no,0230,9.85541666666667
1,2,1,no,0300,9.45333333333333
1,2,1,no,0330,8.62458333333333
1,2,1,no,0400,7.84666666666667
1,2,1,no,0430,7.15833333333333
1,2,1,no,0500,6.49791666666667
1,2,1,no,0530,5.90333333333333
1,2,1,no,0600,5.56625
1,2,1,no,0630,5.45291666666667
1,2,1,no,0700,5.6625
1,2,1,no,0730,5.69708333333333
1,2,1,no,0800,5.7275
1,2,1,no,0830,6.4625
1,2,1,no,0900,8.17708333333333
1,2,1,no,0930,9.93541666666667
1,2,1,no,1000,11.645
1,2,1,no,1030,13.0270833333333
1,2,1,no,1100,14.2654166666667
1,2,1,no,1130,15.6516666666667
1,2,1,no,1200,16.94125
1,2,1,no,1230,18.20125
1,2,1,no,1300,18.7791666666667
1,2,1,no,1330,18.58
1,2,1,no,1400,18.1875
1,2,1,no,1430,17.6733333333333
1,2,1,no,1500,17.15125
1,2,1,no,1530,16.57625
1,2,1,no,1600,15.9641666666667
1,2,1,no,1630,15.3883333333333
1,2,1,no,1700,14.7508333333333
1,2,1,no,1730,14.1533333333333
1,2,1,no,1800,13.5033333333333
1,2,1,no,1830,12.86625
1,2,1,no,1900,12.2025
1,2,1,no,1930,11.965
1,2,1,no,2000,11.87375
1,2,1,no,2030,11.83875
1,2,1,no,2100,11.8020833333333
1,2,1,no,2130,11.7945833333333
1,2,1,no,2200,11.7683333333333
1,2,1,no,2230,11.7608333333333
1,2,1,no,2300,11.7541666666667
1,2,1,no,2330,11.7545833333333
1,2,2,no,0000,11.7958333333333
1,2,2,no,0030,10.275
1,2,2,no,0100,10.0204166666667
1,2,2,no,0130,9.925
1,2,2,no,0200,9.87291666666667
1,2,2,no,0230,9.3375
1,2,2,no,0300,8.49958333333333
1,2,2,no,0330,7.72416666666667
1,2,2,no,0400,7.03541666666667
1,2,2,no,0430,6.37166666666667
1,2,2,no,0500,5.78375
1,2,2,no,0530,5.49416666666667
1,2,2,no,0600,5.39208333333333
1,2,2,no,0630,5.58166666666667
1,2,2,no,0700,5.60125
1,2,2,no,0730,5.59083333333333
1,2,2,no,0800,6.62
1,2,2,no,0830,8.34333333333333
1,2,2,no,0900,10.2625
1,2,2,no,0930,11.8620833333333
1,2,2,no,1000,13.2475
1,2,2,no,1030,14.5629166666667
1,2,2,no,1100,15.8954166666667
1,2,2,no,1130,17.1829166666667
1,2,2,no,1200,18.4958333333333
1,2,2,no,1230,18.8929166666667
1,2,2,no,1300,18.6375
1,2,2,no,1330,18.1945606694561
1,2,2,no,1400,17.6725
1,2,2,no,1430,17.0775
1,2,2,no,1500,16.5075
1,2,2,no,1530,15.8708333333333
1,2,2,no,1600,15.2579166666667
1,2,2,no,1630,14.6320833333333
1,2,2,no,1700,13.99
1,2,2,no,1730,13.3608333333333
1,2,2,no,1800,12.7175
1,2,2,no,1830,12.1604166666667
1,2,2,no,1900,11.9695833333333
1,2,2,no,1930,11.9083333333333
1,2,2,no,2000,11.8720833333333
1,2,2,no,2030,11.8308333333333
1,2,2,no,2100,11.8283333333333
1,2,2,no,2130,11.8058333333333
1,2,2,no,2200,11.8095833333333
1,2,2,no,2230,11.7958333333333
1,2,2,no,2300,11.8058333333333
1,2,2,no,2330,11.785
1,2,calculated,no,0000,14.8
1,2,calculated,no,0130,12.7
1,2,calculated,no,0200,11.7
1,2,calculated,no,0300,10.6
1,2,calculated,no,0430,8.5
1,2,calculated,no,0600,6.4
1,2,calculated,no,0730,10.5
1,2,calculated,no,0900,14.6
1,2,calculated,no,1030,18.7
1,2,calculated,no,1200,22.8
1,2,calculated,no,1330,20.8
1,2,calculated,no,1500,18.8
1,2,calculated,no,1630,16.8
1,2,calculated,no,1800,14.8
1,2,calculated,no,1900,14.8
1,2,calculated,no,2100,14.8
1,2,calculated,no,2300,14.8
1,2,1,yes,0000,23.575
1,2,1,yes,0030,20.875
1,2,1,yes,0100,20.3125
1,2,1,yes,0130,20.1
1,2,1,yes,0200,19.775
1,2,1,yes,0230,19.1875
1,2,1,yes,0300,18.5
1,2,1,yes,0330,17.475
1,2,1,yes,0400,16.35
1,2,1,yes,0430,15.2
1,2,1,yes,0500,14.45
1,2,1,yes,0530,14.075
1,2,1,yes,0600,13.8375
1,2,1,yes,0630,14.15
1,2,1,yes,0700,14.3375
1,2,1,yes,0730,15.5
1,2,1,yes,0800,17.1875
1,2,1,yes,0830,18.475
1,2,1,yes,0900,19.3375
1,2,1,yes,0930,20.7
1,2,1,yes,1000,22.3375
1,2,1,yes,1030,23.3625
1,2,1,yes,1100,24.625
1,2,1,yes,1130,25.65
1,2,1,yes,1200,26.2375
1,2,1,yes,1230,26.4625
1,2,1,yes,1300,26.4
1,2,1,yes,1330,26.2625
1,2,1,yes,1400,26.0375
1,2,1,yes,1430,25.625
1,2,1,yes,1500,25
1,2,1,yes,1530,24.85
1,2,1,yes,1600,24.75
1,2,1,yes,1630,24.7125
1,2,1,yes,1700,24.1375
1,2,1,yes,1730,23.9125
1,2,1,yes,1800,23.975
1,2,1,yes,1830,23.9375
1,2,1,yes,1900,23.8875
1,2,1,yes,1930,23.65
1,2,1,yes,2000,23.625
1,2,1,yes,2030,23.6125
1,2,1,yes,2100,23.6
1,2,1,yes,2130,23.575
1,2,1,yes,2200,23.5875
1,2,1,yes,2230,23.6125
1,2,1,yes,2300,23.8125
1,2,1,yes,2330,23.8375
1,2,2,yes,0000,23.775
1,2,2,yes,0030,20.625
1,2,2,yes,0100,20.1
1,2,2,yes,0130,19.975
1,2,2,yes,0200,19.7125
1,2,2,yes,0230,19.05
1,2,2,yes,0300,18.25
1,2,2,yes,0330,17.1625
1,2,2,yes,0400,16
1,2,2,yes,0430,14.7875
1,2,2,yes,0500,14.0625
1,2,2,yes,0530,13.8125
1,2,2,yes,0600,13.6375
1,2,2,yes,0630,13.975
1,2,2,yes,0700,14.2
1,2,2,yes,0730,15.7125
1,2,2,yes,0800,17.7625
1,2,2,yes,0830,19.0375
1,2,2,yes,0900,19.8125
1,2,2,yes,0930,21.375
1,2,2,yes,1000,23.225
1,2,2,yes,1030,24.4125
1,2,2,yes,1100,25.675
1,2,2,yes,1130,26.7875
1,2,2,yes,1200,27.4
1,2,2,yes,1230,27.4625
1,2,2,yes,1300,27.2125
