ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,PercentBrown_Est
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,12
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,10
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,10
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,10
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,10
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,10
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,13
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,13
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,13
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,13
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,13
