Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,SerialNumber,CalNum,DateTime,Date,Time,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,1,760,156,10,alive,0,LPS3038,2403003,2021-08-27 14:32:00,2021-08-27,1432,156,26.2,37.8,15.6
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,1.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,2,752,162,10,alive,0,LPS3038,2403704,2021-09-03 14:14:00,2021-09-03,1414,162,25,44.2,20.5
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,2.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,3,709,229.3,10,alive,0,LPS3038,2503002,2021-09-10 17:10:00,2021-09-10,1710,229.3,25.8,46.1,20.9
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,3.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,4,661,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,4.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,5,675,140.5,10,alive,0,LPS3038,2302801,2021-09-23 08:47:00,2021-09-23,0847,140.5,24.3,34.2,13.4
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,5.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,6,629,95.2,10,alive,0,LPS3038,2302602,2021-10-01 09:23:00,2021-10-01,0923,95.2,23.8,28.5,12.7
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,6.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,7,679,93.9,10,alive,0,LPS3038,2202301,2021-10-07 13:41:00,2021-10-07,1341,93.9,24.6,26.4,11.9
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,7.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,8,587,103.9,10,alive,0,LPS3038,2002202,2021-10-14 13:16:00,2021-10-14,1316,103.9,22.8,26.9,11.7
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,8.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,9,657,76.6,10,alive,0,LPS3038,2302500,2021-10-22 11:32:00,2021-10-22,1132,76.6,25.4,22.6,8.8
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,9.5,NA,NA,NA,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,10,616,114,10,alive,0,LPS3038,2102000,2021-10-29 11:35:00,2021-10-29,1135,114,23.3,26.6,11.4
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,10.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,11,602,181.7,10,alive,0,LPS3038,2102002,2021-11-04 10:39:00,2021-11-04,1039,181.7,22.9,34.7,15.2
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,11.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,12,518,161.3,10,alive,0,LPS3038,2102001,2021-11-12 10:35:00,2021-11-12,1035,161.3,21.5,32.6,14.2
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,12.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,13,551,131.6,10,alive,0,LPS3038,2002001,2021-11-18 09:54:00,2021-11-18,0954,131.6,21.4,29,12.4
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,13.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,14,465,223.2,10,alive,0,LPS3038,2002000,2021-11-23 15:49:00,2021-11-23,1549,223.2,22.4,37.8,16.2
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,14.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,15,517,170,10,alive,0,LPS3038,2102100,2021-12-02 09:16:00,2021-12-02,0916,170,21.9,33.4,13.7
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,15.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,16,445,173.4,10,alive,0,LPS3038,2002001,2021-12-09 12:43:00,2021-12-09,1243,173.4,19.9,33.3,13.9
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,16.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,17,449,178.8,10,alive,0,LPS3038,1802001,2021-12-16 15:11:00,2021-12-16,1511,178.8,19.2,35.1,15.2
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,17.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,18,NA,53,NA,alive,0,LPS3038,2102002,2021-12-23 11:42:00,2021-12-23,1142,53,21.6,14.9,5.7
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,18.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,19,481,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,19.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,20,432,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,20.5,NA,NA,10,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,21,504,200.4,10,alive,0,LPS3038,1902100,2022-01-14 09:22:00,2022-01-14,0922,200.4,19.3,37.1,15.9
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,21.5,NA,NA,NA,alive,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
