ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,125.11,26.09,34.23,15.38
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,121.833333333333,25.9666666666667,34.3666666666667,15.1666666666667
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,154.34,26.14,37.96,16.97
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Watered,0,0,101.466666666667,26.1333333333333,31.6333333333333,13.9666666666667
Pinus edulis,Pinyon Pine,PIED,2,Ambient,Drought,0,0,176.81,24.86,44.45,20.42
Pinus edulis,Pinyon Pine,PIED,2,Ambient,Watered,0,0,250.6,24.9666666666667,50.2,23.3333333333333
Pinus edulis,Pinyon Pine,PIED,2,Ambient_HW,Drought,0,0,221.43,24.9,48.35,22.28
Pinus edulis,Pinyon Pine,PIED,2,Ambient_HW,Watered,0,0,247.9,24.9333333333333,49.1333333333333,22.5666666666667
Pinus edulis,Pinyon Pine,PIED,3,Ambient,Drought,0,0,165.99,25.47,39.46,17.69
Pinus edulis,Pinyon Pine,PIED,3,Ambient,Watered,0,0,262.433333333333,25.7666666666667,48.1333333333333,21.9
Pinus edulis,Pinyon Pine,PIED,3,Ambient_HW,Drought,0,0,247.28,24.76,46.3,20.71
Pinus edulis,Pinyon Pine,PIED,3,Ambient_HW,Watered,0,0,160.066666666667,25.5666666666667,38.5666666666667,17.3666666666667
Pinus edulis,Pinyon Pine,PIED,4,Ambient,Drought,0,0,255.63,25.49,46.8,21.53
Pinus edulis,Pinyon Pine,PIED,4,Ambient_HW,Drought,0,0,226.49,25.45,44.22,20.28
Pinus edulis,Pinyon Pine,PIED,5,Ambient,Drought,0,0,124.37,24.27,33.07,14.26
Pinus edulis,Pinyon Pine,PIED,5,Ambient,Watered,0,0,208.866666666667,24.2,41.2333333333333,17.3666666666667
Pinus edulis,Pinyon Pine,PIED,5,Ambient_HW,Drought,0,0,194.23,24,40.14,17.82
Pinus edulis,Pinyon Pine,PIED,5,Ambient_HW,Watered,0,0,198.266666666667,23.9333333333333,41.9333333333333,18.4
Pinus edulis,Pinyon Pine,PIED,6,Ambient,Drought,0,0,80.28,23.83,25.47,11.2
Pinus edulis,Pinyon Pine,PIED,6,Ambient,Watered,0,0,115.166666666667,23.7666666666667,31.2666666666667,13.9
Pinus edulis,Pinyon Pine,PIED,6,Ambient_HW,Drought,0,0,100.41,23.78,29.04,12.79
Pinus edulis,Pinyon Pine,PIED,6,Ambient_HW,Watered,0,0,98.6333333333333,23.6,28.7666666666667,12.7
Pinus edulis,Pinyon Pine,PIED,7,Ambient,Drought,0,0,108.65,24.8,27.64,12.14
Pinus edulis,Pinyon Pine,PIED,7,Ambient,Watered,0,0,149.933333333333,24.6333333333333,32.5,14.7
Pinus edulis,Pinyon Pine,PIED,7,Ambient_HW,Drought,0,0,111.1,24.56,27.46,12.33
Pinus edulis,Pinyon Pine,PIED,7,Ambient_HW,Watered,0,0,110.2,24.7,28,12.3666666666667
Pinus edulis,Pinyon Pine,PIED,8,Ambient,Drought,0,0,93.02,23.09,23.54,10.12
Pinus edulis,Pinyon Pine,PIED,8,Ambient,Watered,0,0,119.133333333333,22.8,27.5,11.8333333333333
Pinus edulis,Pinyon Pine,PIED,8,Ambient_HW,Drought,0,0,59.48,23.29,17.84,7.44
Pinus edulis,Pinyon Pine,PIED,8,Ambient_HW,Watered,0,0,123.533333333333,23.1333333333333,29.6,13.2
Pinus edulis,Pinyon Pine,PIED,9,Ambient,Drought,0,0,57.27,25.81,17.94,6.79
Pinus edulis,Pinyon Pine,PIED,9,Ambient,Watered,0,0,135.166666666667,25.2333333333333,29.3666666666667,11.4333333333333
Pinus edulis,Pinyon Pine,PIED,9,Ambient_HW,Drought,0,0,53.68,25.21,17.12,6.32
Pinus edulis,Pinyon Pine,PIED,9,Ambient_HW,Watered,0,0,98.2333333333333,24.9333333333333,25.8,9.93333333333333
Pinus edulis,Pinyon Pine,PIED,10,Ambient,Drought,0,0,62.92,23.52,17.06,6.9
Pinus edulis,Pinyon Pine,PIED,10,Ambient,Watered,0,0,143.033333333333,23.3333333333333,29.5,12.7
Pinus edulis,Pinyon Pine,PIED,10,Ambient_HW,Drought,0,0,64.33,22.87,17.56,7.11
Pinus edulis,Pinyon Pine,PIED,10,Ambient_HW,Watered,0,0,145.066666666667,22.4,29.1333333333333,12.4666666666667
Pinus edulis,Pinyon Pine,PIED,11,Ambient,Drought,0,0,60.54,23.16,16.51,6.63
