ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Drought,0,0,772,394,772,378,378,100
Pinus edulis,Pinyon Pine,PIED,1,Ambient,Watered,0,0,775,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Drought,0,0,758,385,758,373,373,100
Pinus edulis,Pinyon Pine,PIED,1,Ambient_HW,Watered,0,0,780,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,2,Ambient,Drought,0,0,737,394,772,378,343,91
Pinus edulis,Pinyon Pine,PIED,2,Ambient,Watered,0,0,776,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,2,Ambient_HW,Drought,0,0,720,385,758,373,335,90
Pinus edulis,Pinyon Pine,PIED,2,Ambient_HW,Watered,0,0,778,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,3,Ambient,Drought,0,0,691,394,772,378,297,78
Pinus edulis,Pinyon Pine,PIED,3,Ambient,Watered,0,0,716,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,3,Ambient_HW,Drought,0,0,664,385,758,373,279,75
Pinus edulis,Pinyon Pine,PIED,3,Ambient_HW,Watered,0,0,719,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,4,Ambient,Drought,0,0,631,394,772,378,238,62
Pinus edulis,Pinyon Pine,PIED,4,Ambient,Watered,0,0,641,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,4,Ambient_HW,Drought,0,0,595,385,758,373,210,56
Pinus edulis,Pinyon Pine,PIED,4,Ambient_HW,Watered,0,0,651,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,5,Ambient,Drought,0,0,569,394,772,378,175,46
Pinus edulis,Pinyon Pine,PIED,5,Ambient,Watered,0,0,650,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,5,Ambient_HW,Drought,0,0,538,385,758,373,153,40
Pinus edulis,Pinyon Pine,PIED,5,Ambient_HW,Watered,0,0,677,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,6,Ambient,Drought,0,0,537,394,772,378,143,38
Pinus edulis,Pinyon Pine,PIED,6,Ambient,Watered,0,0,604,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,6,Ambient_HW,Drought,0,0,509,385,758,373,125,33
Pinus edulis,Pinyon Pine,PIED,6,Ambient_HW,Watered,0,0,628,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,7,Ambient,Drought,0,0,504,394,772,378,110,29
Pinus edulis,Pinyon Pine,PIED,7,Ambient,Watered,0,0,648,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,7,Ambient_HW,Drought,0,0,479,385,758,373,94,25
Pinus edulis,Pinyon Pine,PIED,7,Ambient_HW,Watered,0,0,666,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,8,Ambient,Drought,0,0,466,394,772,378,72,19
Pinus edulis,Pinyon Pine,PIED,8,Ambient,Watered,0,0,561,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,8,Ambient_HW,Drought,0,0,433,385,758,373,48,13
Pinus edulis,Pinyon Pine,PIED,8,Ambient_HW,Watered,0,0,489,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,9,Ambient,Drought,0,0,449,394,772,378,55,14
Pinus edulis,Pinyon Pine,PIED,9,Ambient,Watered,0,0,621,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,9,Ambient_HW,Drought,0,0,422,385,758,373,37,10
Pinus edulis,Pinyon Pine,PIED,9,Ambient_HW,Watered,0,0,559,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,10,Ambient,Drought,1,5,431,394,772,378,38,10
Pinus edulis,Pinyon Pine,PIED,10,Ambient,Watered,0,0,602,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,10,Ambient_HW,Drought,0,0,411,385,758,373,26,7
Pinus edulis,Pinyon Pine,PIED,10,Ambient_HW,Watered,0,0,589,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,11,Ambient,Drought,1,5,419,394,772,378,25,6
Pinus edulis,Pinyon Pine,PIED,11,Ambient,Watered,0,0,588,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,11,Ambient_HW,Drought,0,0,401,385,758,373,16,4
Pinus edulis,Pinyon Pine,PIED,11,Ambient_HW,Watered,0,0,589,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,12,Ambient,Drought,3,15,410,394,772,378,16,4
Pinus edulis,Pinyon Pine,PIED,12,Ambient,Watered,0,0,528,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,12,Ambient_HW,Drought,5,25,395,385,758,373,10,3
Pinus edulis,Pinyon Pine,PIED,12,Ambient_HW,Watered,0,0,508,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,13,Ambient,Drought,5,25,402,394,772,378,8,2
Pinus edulis,Pinyon Pine,PIED,13,Ambient,Watered,0,0,562,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,13,Ambient_HW,Drought,8,40,390,385,758,373,5,1
Pinus edulis,Pinyon Pine,PIED,13,Ambient_HW,Watered,0,0,544,NA,NA,NA,NA,NA
Pinus edulis,Pinyon Pine,PIED,14,Ambient,Drought,8,40,397,394,772,378,4,1
