Phase,Chamber,Heatwave,Time,Temperature_avg,Kestrel
1,1,no,0000,22,actual
1,1,no,0030,21.8,actual
1,1,no,0100,21.7,actual
1,1,no,0130,21.7,actual
1,1,no,0200,21.6,actual
1,1,no,0230,20.8,actual
1,1,no,0300,18.8,actual
1,1,no,0330,16.9,actual
1,1,no,0400,15.7,actual
1,1,no,0430,14.7,actual
1,1,no,0500,14,actual
1,1,no,0530,13.4,actual
1,1,no,0600,12.2,actual
1,1,no,0630,11.5,actual
1,1,no,0700,11.3,actual
1,1,no,0730,11.9,actual
1,1,no,0800,13.5,actual
1,1,no,0830,14.7,actual
1,1,no,0900,15.1,actual
1,1,no,0930,16,actual
1,1,no,1000,17.9,actual
1,1,no,1030,19.3,actual
1,1,no,1100,19.9,actual
1,1,no,1130,21.4,actual
1,1,no,1200,24.5,actual
1,1,no,1230,26.9,actual
1,1,no,1300,27.5,actual
1,1,no,1330,27.6,actual
1,1,no,1400,27.5,actual
1,1,no,1430,27.4,actual
1,1,no,1500,27.2,actual
1,1,no,1530,26.9,actual
1,1,no,1600,26.7,actual
1,1,no,1630,26.4,actual
1,1,no,1700,26.2,actual
1,1,no,1730,26,actual
1,1,no,1800,25.7,actual
1,1,no,1830,25.3,actual
1,1,no,1900,25.1,actual
1,1,no,1930,24.9,actual
1,1,no,2000,24.6,actual
1,1,no,2030,24.2,actual
1,1,no,2100,23.8,actual
1,1,no,2130,23.5,actual
1,1,no,2200,23.2,actual
1,1,no,2230,22.9,actual
1,1,no,2300,22.6,actual
1,1,no,2330,22.3,actual
1,1,yes,0000,32.2,actual
1,1,yes,0030,29.6,actual
1,1,yes,0100,29.4,actual
1,1,yes,0130,29.4,actual
1,1,yes,0200,29.4,actual
1,1,yes,0230,27.7,actual
1,1,yes,0300,25.2,actual
1,1,yes,0330,23.6,actual
1,1,yes,0400,22.6,actual
1,1,yes,0430,21.6,actual
1,1,yes,0500,21.2,actual
1,1,yes,0530,20.4,actual
1,1,yes,0600,19.1,actual
1,1,yes,0630,18.8,actual
1,1,yes,0700,18.7,actual
1,1,yes,0730,20.3,actual
1,1,yes,0800,22.8,actual
1,1,yes,0830,23.8,actual
1,1,yes,0900,23.9,actual
1,1,yes,0930,25.5,actual
1,1,yes,1000,27.8,actual
1,1,yes,1030,28.6,actual
1,1,yes,1100,28.8,actual
1,1,yes,1130,31.5,actual
1,1,yes,1200,34.5,actual
1,1,yes,1230,36,actual
1,1,yes,1300,36.1,actual
1,1,yes,1330,36.2,actual
1,1,yes,1400,36.2,actual
1,1,yes,1430,36.1,actual
1,1,yes,1500,36.2,actual
1,1,yes,1530,36.3,actual
1,1,yes,1600,36.3,actual
1,1,yes,1630,36.3,actual
1,1,yes,1700,36.3,actual
1,1,yes,1730,36.3,actual
1,1,yes,1800,36.3,actual
1,1,yes,1830,36.3,actual
1,1,yes,1900,36.2,actual
1,1,yes,1930,35.5,actual
1,1,yes,2000,34.9,actual
1,1,yes,2030,34.1,actual
1,1,yes,2100,33.3,actual
1,1,yes,2130,32.9,actual
1,1,yes,2200,32.6,actual
1,1,yes,2230,32.3,actual
1,1,yes,2300,32.4,actual
1,1,yes,2330,32.3,actual
1,2,no,0000,11.8,actual
1,2,no,0030,11,actual
1,2,no,0100,10.2,actual
1,2,no,0130,10,actual
1,2,no,0200,9.9,actual
1,2,no,0230,9.6,actual
1,2,no,0300,9,actual
1,2,no,0330,8.2,actual
1,2,no,0400,7.4,actual
1,2,no,0430,6.8,actual
1,2,no,0500,6.1,actual
1,2,no,0530,5.7,actual
1,2,no,0600,5.5,actual
1,2,no,0630,5.5,actual
1,2,no,0700,5.6,actual
1,2,no,0730,5.6,actual
1,2,no,0800,6.2,actual
1,2,no,0830,7.4,actual
1,2,no,0900,9.2,actual
1,2,no,0930,10.9,actual
1,2,no,1000,12.4,actual
1,2,no,1030,13.8,actual
1,2,no,1100,15.1,actual
1,2,no,1130,16.4,actual
1,2,no,1200,17.7,actual
1,2,no,1230,18.5,actual
1,2,no,1300,18.7,actual
1,2,no,1330,18.4,actual
1,2,no,1400,17.9,actual
1,2,no,1430,17.4,actual
1,2,no,1500,16.8,actual
1,2,no,1530,16.2,actual
1,2,no,1600,15.6,actual
1,2,no,1630,15,actual
1,2,no,1700,14.4,actual
