SerialNumber,CalNum,DateTime,Date,Time,Week,Species,SpeciesID,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
LPS3038,2403003,2021-08-27 14:32:00,2021-08-27,1432,1,PIED,PIED01,156,26.2,37.8,15.6
LPS3038,2403003,2021-08-27 15:16:00,2021-08-27,1516,1,PIED,PIED02,113.6,26.2,34.4,15.8
LPS3038,2403003,2021-08-27 15:13:00,2021-08-27,1513,1,PIED,PIED03,60.3,26.3,22.5,9.4
LPS3038,2403003,2021-08-27 15:24:00,2021-08-27,1524,1,PIED,PIED04,232.4,26.3,44.7,18.7
LPS3038,2403003,2021-08-27 15:26:00,2021-08-27,1526,1,PIED,PIED05,139.6,26.3,36.5,15.6
LPS3038,2403003,2021-08-27 16:00:00,2021-08-27,1600,1,PIED,PIED06,68.2,26.4,25,11
LPS3038,2403003,2021-08-27 14:08:00,2021-08-27,1408,1,PIED,PIED07,80.3,26,28.8,13.5
LPS3038,2403003,2021-08-27 13:30:00,2021-08-27,1330,1,PIED,PIED08,53.6,25.6,22.3,10.4
LPS3038,2403003,2021-08-27 14:40:00,2021-08-27,1440,1,PIED,PIED09,94,26.4,30.9,14.1
LPS3038,2403003,2021-08-27 15:56:00,2021-08-27,1556,1,PIED,PIED10,108,26.5,32.1,13.7
LPS3038,2403003,2021-08-27 14:37:00,2021-08-27,1437,1,PIED,PIED11,92.9,26.4,30.9,14.2
LPS3038,2403003,2021-08-27 15:44:00,2021-08-27,1544,1,PIED,PIED12,88.3,26.3,30.4,14.2
LPS3038,2403003,2021-08-27 15:10:00,2021-08-27,1510,1,PIED,PIED13,109.4,26.1,33.5,15.2
LPS3038,2403003,2021-08-27 15:19:00,2021-08-27,1519,1,PIED,PIED14,99.2,26.3,31.4,13.9
LPS3038,2403003,2021-08-27 14:25:00,2021-08-27,1425,1,PIED,PIED15,97.3,26,31.5,14.4
LPS3038,2403003,2021-08-27 15:08:00,2021-08-27,1508,1,PIED,PIED16,176.4,26,42.2,19.6
LPS3038,2403003,2021-08-27 14:21:00,2021-08-27,1421,1,PIED,PIED17,99.1,25.9,31.3,13.8
LPS3038,2403003,2021-08-27 15:54:00,2021-08-27,1554,1,PIED,PIED18,165.6,26.5,40.2,17.9
LPS3038,2403003,2021-08-27 14:34:00,2021-08-27,1434,1,PIED,PIED19,186.8,26.4,42.4,19
LPS3038,2403003,2021-08-27 13:25:00,2021-08-27,1325,1,PIED,PIED20,245.4,25,47.1,21.2
LPS3038,2403003,2021-08-27 15:05:00,2021-08-27,1505,1,PIED,PIED21,86.7,26.1,30.1,14.2
LPS3038,2403003,2021-08-27 14:13:00,2021-08-27,1413,1,PIED,PIED22,87.4,26,29.7,13.5
LPS3038,2403003,2021-08-27 15:03:00,2021-08-27,1503,1,PIED,PIED23,136.2,26,36,15.3
LPS3038,2403003,2021-08-27 14:18:00,2021-08-27,1418,1,PIED,PIED24,85.8,25.9,28,11.6
LPS3038,2403003,2021-08-27 14:43:00,2021-08-27,1443,1,PIED,PIED25,150.7,26.3,39.5,18.4
