Species,SpeciesID,Week,Phase,Chamber,ScientificName,CommonName,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,Weight_g,Porometer,PercentBrown,Dead,SerialNumber,CalNum,DateTime,Date,Time,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
PIED,PIED01,1,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,760,156,10,alive,LPS3038,2403003,2021-08-27 14:32:00,2021-08-27,1432,156,26.2,37.8,15.6
PIED,PIED01,1.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,2,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,752,162,10,alive,LPS3038,2403704,2021-09-03 14:14:00,2021-09-03,1414,162,25,44.2,20.5
PIED,PIED01,2.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,3,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,709,229.3,10,alive,LPS3038,2503002,2021-09-10 17:10:00,2021-09-10,1710,229.3,25.8,46.1,20.9
PIED,PIED01,3.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,4,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,661,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,4.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,675,140.5,10,alive,LPS3038,2302801,2021-09-23 08:47:00,2021-09-23,0847,140.5,24.3,34.2,13.4
PIED,PIED01,5.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,6,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,629,95.2,10,alive,LPS3038,2302602,2021-10-01 09:23:00,2021-10-01,0923,95.2,23.8,28.5,12.7
PIED,PIED01,6.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,7,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,679,93.9,10,alive,LPS3038,2202301,2021-10-07 13:41:00,2021-10-07,1341,93.9,24.6,26.4,11.9
PIED,PIED01,7.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,8,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,587,103.9,10,alive,LPS3038,2002202,2021-10-14 13:16:00,2021-10-14,1316,103.9,22.8,26.9,11.7
PIED,PIED01,8.5,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,NA,NA,10,alive,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIED,PIED01,9,1,1,Pinus edulis,Pinyon Pine,Ambient,Watered,yes,6.76,231,5,9.3,657,76.6,10,alive,LPS3038,2302500,2021-10-22 11:32:00,2021-10-22,1132,76.6,25.4,22.6,8.8
