Species,Week,Treatment_temp,Treatment_water,Porometer,Temperature,LeafSensor,FilterSensor
PIED,1,Ambient,Drought,125.11,26.09,34.23,15.38
PIED,1,Ambient,Watered,121.833333333333,25.9666666666667,34.3666666666667,15.1666666666667
PIED,1,Ambient_HW,Drought,154.34,26.14,37.96,16.97
PIED,1,Ambient_HW,Watered,101.466666666667,26.1333333333333,31.6333333333333,13.9666666666667
PIED,2,Ambient,Drought,176.81,24.86,44.45,20.42
PIED,2,Ambient,Watered,250.6,24.9666666666667,50.2,23.3333333333333
PIED,2,Ambient_HW,Drought,221.43,24.9,48.35,22.28
PIED,2,Ambient_HW,Watered,247.9,24.9333333333333,49.1333333333333,22.5666666666667
PIED,3,Ambient,Drought,165.99,25.47,39.46,17.69
PIED,3,Ambient,Watered,262.433333333333,25.7666666666667,48.1333333333333,21.9
PIED,3,Ambient_HW,Drought,247.28,24.76,46.3,20.71
PIED,3,Ambient_HW,Watered,160.066666666667,25.5666666666667,38.5666666666667,17.3666666666667
PIED,4,Ambient,Drought,255.63,25.49,46.8,21.53
PIED,4,Ambient_HW,Drought,226.49,25.45,44.22,20.28
PIED,5,Ambient,Drought,124.37,24.27,33.07,14.26
PIED,5,Ambient,Watered,208.866666666667,24.2,41.2333333333333,17.3666666666667
PIED,5,Ambient_HW,Drought,194.23,24,40.14,17.82
PIED,5,Ambient_HW,Watered,198.266666666667,23.9333333333333,41.9333333333333,18.4
PIED,6,Ambient,Drought,80.28,23.83,25.47,11.2
PIED,6,Ambient,Watered,115.166666666667,23.7666666666667,31.2666666666667,13.9
PIED,6,Ambient_HW,Drought,100.41,23.78,29.04,12.79
PIED,6,Ambient_HW,Watered,98.6333333333333,23.6,28.7666666666667,12.7
PIED,7,Ambient,Drought,108.65,24.8,27.64,12.14
PIED,7,Ambient,Watered,149.933333333333,24.6333333333333,32.5,14.7
PIED,7,Ambient_HW,Drought,111.1,24.56,27.46,12.33
PIED,7,Ambient_HW,Watered,110.2,24.7,28,12.3666666666667
PIED,8,Ambient,Drought,93.02,23.09,23.54,10.12
PIED,8,Ambient,Watered,119.133333333333,22.8,27.5,11.8333333333333
PIED,8,Ambient_HW,Drought,59.48,23.29,17.84,7.44
PIED,8,Ambient_HW,Watered,123.533333333333,23.1333333333333,29.6,13.2
PIED,9,Ambient,Drought,57.27,25.81,17.94,6.79
PIED,9,Ambient,Watered,135.166666666667,25.2333333333333,29.3666666666667,11.4333333333333
PIED,9,Ambient_HW,Drought,53.68,25.21,17.12,6.32
PIED,9,Ambient_HW,Watered,98.2333333333333,24.9333333333333,25.8,9.93333333333333
PIED,10,Ambient,Drought,62.92,23.52,17.06,6.9
PIED,10,Ambient,Watered,143.033333333333,23.3333333333333,29.5,12.7
PIED,10,Ambient_HW,Drought,64.33,22.87,17.56,7.11
PIED,10,Ambient_HW,Watered,145.066666666667,22.4,29.1333333333333,12.4666666666667
PIED,11,Ambient,Drought,60.54,23.16,16.51,6.63
PIED,11,Ambient,Watered,221.366666666667,22.9333333333333,35.0666666666667,15.0333333333333
PIED,11,Ambient_HW,Drought,65.38,22.55,18.1,7.62
PIED,11,Ambient_HW,Watered,157.466666666667,22.1,31.0333333333333,13.5
PIED,12,Ambient,Drought,63.77,21.83,17.88,7.51
PIED,12,Ambient,Watered,106.9,21.5,25,10.8
PIED,12,Ambient_HW,Drought,61,21.74,17.16,7.1
PIED,12,Ambient_HW,Watered,197.9,21.9,35.9,15.6
PIED,13,Ambient,Drought,53.79,21.01,15.22,5.97
PIED,13,Ambient,Watered,172.166666666667,21.3333333333333,33.0666666666667,14.1
PIED,13,Ambient_HW,Drought,52.1,21.26,14.76,5.73
PIED,13,Ambient_HW,Watered,178.066666666667,21.3666666666667,33.1,13.9666666666667
PIED,14,Ambient,Drought,60.67,22.67,17.05,7.03
PIED,14,Ambient,Watered,123.9,22.4,26.0666666666667,11.1666666666667
PIED,14,Ambient_HW,Drought,69.81,22.79,19.25,8.21
PIED,14,Ambient_HW,Watered,172.233333333333,22.6,32.0666666666667,13.8333333333333
PIED,15,Ambient,Drought,64.6666666666667,21.9222222222222,17.9666666666667,7.03333333333333
PIED,15,Ambient,Watered,157.533333333333,21.9333333333333,32.3333333333333,13.4666666666667
PIED,15,Ambient_HW,Drought,70.4666666666667,21.95,19.4666666666667,7.93333333333333
PIED,15,Ambient_HW,Watered,148.3,21.9333333333333,31.0666666666667,12.9
PIED,16,Ambient,Drought,61.1777777777778,19.9666666666667,17.0444444444444,6.9
PIED,16,Ambient,Watered,94.8,19.8666666666667,21.5666666666667,8.8
PIED,16,Ambient_HW,Drought,66.06,20.32,18.3,7.58
PIED,16,Ambient_HW,Watered,88.8333333333333,20.4,22.5,9.46666666666667
PIED,17,Ambient,Drought,85.72,19.06,22.96,9.92
PIED,17,Ambient,Watered,139.633333333333,19.1666666666667,30.0333333333333,12.9
PIED,17,Ambient_HW,Drought,96.675,19.075,24.675,10.55
PIED,17,Ambient_HW,Watered,147.8,18.9333333333333,31.3,13.2333333333333
PIED,18,Ambient,Drought,65.7,21.4,17.35,6.8
PIED,18,Ambient,Watered,50.3333333333333,21.6,14.1,5.26666666666667
PIED,18,Ambient_HW,Drought,54,21.3,15,5.7
PIED,18,Ambient_HW,Watered,58.8666666666667,21.4,16.0333333333333,6.16666666666667
PIED,21,Ambient,Watered,201.333333333333,19.3666666666667,34.1,14.4
PIED,21,Ambient_HW,Watered,118.033333333333,19.6666666666667,28.1,11.7666666666667
PIEN,1,Ambient,Drought,218.27,23.66,42,18.8
PIEN,1,Ambient,Watered,152.6,23.6,36.4666666666667,16.2666666666667
PIEN,1,Ambient_HW,Drought,218.15,23.44,42.06,18.82
PIEN,1,Ambient_HW,Watered,236.566666666667,23.1333333333333,43.7666666666667,19.3666666666667
PIEN,2,Ambient,Drought,207.34,25.15,40.51,18.84
PIEN,2,Ambient,Watered,175.233333333333,25,38,17.9
PIEN,2,Ambient_HW,Drought,210.75,25,40.56,18.95
PIEN,2,Ambient_HW,Watered,233.566666666667,25.0333333333333,42.8666666666667,19.9666666666667
