Species,Treatment_temp,Dead_Week,SpeciesID
PIED,Ambient,10,PIED11
PIED,Ambient,12,PIED12
PIED,Ambient,12,PIED41
PIED,Ambient,12.5,PIED18
PIED,Ambient,13,PIED29
PIED,Ambient,13.5,PIED34
PIED,Ambient,14,PIED28
PIED,Ambient,14,PIED38
PIED,Ambient,15,PIED02
PIED,Ambient,15,PIED03
PIED,Ambient,15,PIED32
PIED,Ambient,15,PIED39
PIED,Ambient,15,PIED46
PIED,Ambient,15.5,PIED44
PIED,Ambient,16,PIED05
PIED,Ambient,17,PIED49
PIED,Ambient,17.5,PIED07
PIED,Ambient,17.5,PIED19
PIED,Ambient,18.5,PIED40
PIED,Ambient_HW,12,PIED04
PIED,Ambient_HW,12,PIED13
PIED,Ambient_HW,12,PIED43
PIED,Ambient_HW,12,PIED45
PIED,Ambient_HW,12,PIED48
PIED,Ambient_HW,12.5,PIED16
PIED,Ambient_HW,12.5,PIED35
PIED,Ambient_HW,12.5,PIED47
PIED,Ambient_HW,13.5,PIED09
PIED,Ambient_HW,13.5,PIED30
PIED,Ambient_HW,14,PIED37
PIED,Ambient_HW,14.5,PIED14
PIED,Ambient_HW,14.5,PIED26
PIED,Ambient_HW,14.5,PIED33
PIED,Ambient_HW,15,PIED25
PIED,Ambient_HW,15,PIED27
PIED,Ambient_HW,15.5,PIED06
PIED,Ambient_HW,16.5,PIED23
PIED,Ambient_HW,16.5,PIED31
PIED,Ambient_HW,20,PIED21
PIEN,Ambient,17.5,PIEN35
PIEN,Ambient,17.5,PIEN40
PIEN,Ambient,17.5,PIEN44
PIEN,Ambient,18,PIEN36
PIEN,Ambient,18,PIEN43
PIEN,Ambient,18,PIEN45
PIEN,Ambient,18,PIEN46
PIEN,Ambient,18,PIEN48
PIEN,Ambient,18.5,PIEN34
PIEN,Ambient,18.5,PIEN47
PIEN,Ambient,19,PIEN33
PIEN,Ambient,19,PIEN41
PIEN,Ambient,20,PIEN31
PIEN,Ambient,20,PIEN32
PIEN,Ambient,20,PIEN42
PIEN,Ambient,20.5,PIEN39
PIEN,Ambient,21,PIEN37
PIEN,Ambient,21,PIEN38
PIEN,Ambient,21.5,PIEN50
