,diff,lwr,upr,p adj
PIEN-PIED,4.56842105263157,2.74642787560712,6.39041422965603,4.70949268471799e-09
PIFL-PIED,15.6684210526316,13.8464278756071,17.4904142296561,4.83550866015037e-10
PIPO-PIED,-3.90657894736843,-5.72857212439289,-2.08458577034397,4.26526463148669e-07
PSME-PIED,4.81842105263157,2.99642787560712,6.64041422965603,1.18219201095116e-09
PIFL-PIEN,11.1,9.30151739734043,12.8984826026596,4.83550866015037e-10
PIPO-PIEN,-8.475,-10.2734826026596,-6.67651739734041,4.83551754193456e-10
PSME-PIEN,0.25,-1.54848260265959,2.04848260265959,0.995189819093815
PIPO-PIFL,-19.575,-21.3734826026596,-17.7765173973404,4.83550866015037e-10
PSME-PIFL,-10.85,-12.6484826026596,-9.05151739734043,4.83550866015037e-10
PSME-PIPO,8.725,6.92651739734041,10.5234826026596,4.83551310104247e-10
