,diff,lwr,upr,p adj
PIEN-PIED,4.89999999999999,2.35647083781882,7.44352916218116,5.78228674974479e-06
PIFL-PIED,13.575,11.0314708378188,16.1185291621812,4.63459604027605e-10
PIPO-PIED,-4.35,-6.89352916218117,-1.80647083781883,6.79844081229453e-05
PSME-PIED,3.425,0.881470837818828,5.96852916218117,0.00280357584199742
PIFL-PIEN,8.675,6.13147083781883,11.2185291621812,4.63528437855132e-10
PIPO-PIEN,-9.24999999999999,-11.7935291621812,-6.70647083781883,4.63504568060102e-10
PSME-PIEN,-1.47499999999999,-4.01852916218116,1.06852916218117,0.493132949735023
PIPO-PIFL,-17.925,-20.4685291621812,-15.3814708378188,4.63459604027605e-10
PSME-PIFL,-10.15,-12.6935291621812,-7.60647083781883,4.63482918711122e-10
PSME-PIPO,7.775,5.23147083781883,10.3185291621812,4.66131355736366e-10
