Species,Treatment_temp,Stress_to_Dead_Porometer,SpeciesID
PIED,Ambient,3,PIED39
PIED,Ambient,5,PIED46
PIED,Ambient,6,PIED03
PIED,Ambient,6,PIED12
PIED,Ambient,6,PIED34
PIED,Ambient,6,PIED38
PIED,Ambient,7,PIED32
PIED,Ambient,8,PIED28
PIED,Ambient,9,PIED07
PIED,Ambient,12,PIED49
PIED,Ambient_HW,4,PIED04
PIED,Ambient_HW,5,PIED16
PIED,Ambient_HW,5,PIED30
PIED,Ambient_HW,5,PIED43
PIED,Ambient_HW,6,PIED13
PIED,Ambient_HW,7,PIED35
PIED,Ambient_HW,9,PIED06
PIED,Ambient_HW,9,PIED23
PIED,Ambient_HW,10,PIED33
PIED,Ambient_HW,11,PIED31
PIEN,Ambient,3,PIEN38
PIEN,Ambient,5,PIEN36
PIEN,Ambient,6,PIEN34
PIEN,Ambient,7,PIEN31
PIEN,Ambient,7,PIEN32
PIEN,Ambient,8,PIEN33
PIEN,Ambient,8,PIEN35
PIEN,Ambient,8,PIEN39
PIEN,Ambient,8,PIEN40
PIEN,Ambient,10,PIEN37
PIEN,Ambient_HW,5,PIEN06
PIEN,Ambient_HW,5,PIEN09
PIEN,Ambient_HW,5,PIEN14
PIEN,Ambient_HW,6,PIEN12
PIEN,Ambient_HW,7,PIEN07
PIEN,Ambient_HW,7,PIEN08
PIEN,Ambient_HW,7,PIEN10
PIEN,Ambient_HW,7,PIEN11
PIEN,Ambient_HW,7,PIEN13
PIEN,Ambient_HW,7,PIEN15
PIFL,Ambient,10,PIFL33
PIFL,Ambient,12,PIFL32
PIFL,Ambient,12,PIFL35
PIFL,Ambient,12,PIFL36
PIFL,Ambient,13,PIFL38
PIFL,Ambient,15,PIFL31
PIFL,Ambient,15,PIFL34
PIFL,Ambient,17,PIFL37
PIFL,Ambient,17,PIFL40
PIFL,Ambient,19,PIFL39
PIFL,Ambient_HW,10,PIFL08
PIFL,Ambient_HW,11,PIFL14
PIFL,Ambient_HW,11,PIFL15
PIFL,Ambient_HW,12,PIFL10
PIFL,Ambient_HW,12,PIFL11
PIFL,Ambient_HW,12,PIFL12
PIFL,Ambient_HW,12,PIFL13
PIFL,Ambient_HW,14,PIFL09
PIFL,Ambient_HW,15,PIFL07
PIFL,Ambient_HW,16,PIFL06
PIPO,Ambient,2,PIPO38
PIPO,Ambient,3,PIPO12
PIPO,Ambient,4,PIPO04
PIPO,Ambient,4,PIPO26
PIPO,Ambient,5,PIPO28
PIPO,Ambient,5,PIPO39
PIPO,Ambient,6,PIPO11
PIPO,Ambient,6,PIPO17
PIPO,Ambient,7,PIPO46
PIPO,Ambient,8,PIPO05
PIPO,Ambient_HW,2,PIPO21
PIPO,Ambient_HW,2,PIPO50
PIPO,Ambient_HW,4,PIPO08
PIPO,Ambient_HW,4,PIPO19
PIPO,Ambient_HW,4,PIPO25
PIPO,Ambient_HW,4,PIPO30
PIPO,Ambient_HW,4,PIPO40
PIPO,Ambient_HW,5,PIPO20
PIPO,Ambient_HW,5,PIPO31
PIPO,Ambient_HW,9,PIPO33
PSME,Ambient,6,PSME32
PSME,Ambient,7,PSME33
PSME,Ambient,7,PSME36
PSME,Ambient,8,PSME31
PSME,Ambient,8,PSME34
PSME,Ambient,8,PSME37
PSME,Ambient,8,PSME39
PSME,Ambient,9,PSME38
PSME,Ambient,10,PSME35
PSME,Ambient,10,PSME40
PSME,Ambient_HW,4,PSME06
PSME,Ambient_HW,7,PSME07
PSME,Ambient_HW,7,PSME08
PSME,Ambient_HW,7,PSME09
PSME,Ambient_HW,7,PSME12
PSME,Ambient_HW,7,PSME14
PSME,Ambient_HW,8,PSME10
PSME,Ambient_HW,9,PSME11
PSME,Ambient_HW,9,PSME15
PSME,Ambient_HW,11,PSME13
