,diff,lwr,upr,p adj
PIEN-PIED,0.2,-2.51949178443158,2.91949178443158,0.999558648594563
PIFL-PIED,7.4,4.68050821556842,10.1194917844316,8.38469171871026e-09
PIPO-PIED,-1.8,-4.51949178443158,0.919491784431575,0.342252626532522
PSME-PIED,1.3,-1.41949178443158,4.01949178443158,0.656824295444162
PIFL-PIEN,7.2,4.48050821556842,9.91949178443158,1.69702925045812e-08
PIPO-PIEN,-2,-4.71949178443158,0.719491784431574,0.242327053633273
PSME-PIEN,1.1,-1.61949178443158,3.81949178443158,0.779483828814551
PIPO-PIFL,-9.2,-11.9194917844316,-6.48050821556843,1.78363990244179e-11
PSME-PIFL,-6.1,-8.81949178443158,-3.38050821556842,8.48565185451733e-07
PSME-PIPO,3.1,0.380508215568426,5.81949178443158,0.0182364742979325
