,diff,lwr,upr,p adj
PIEN-PIED,-0.799999999999999,-3.19612100658292,1.59612100658292,0.876138727498361
PIFL-PIED,5.4,3.00387899341708,7.79612100658292,7.65855918682945e-07
PIPO-PIED,-2.8,-5.19612100658292,-0.403878993417082,0.0146576930087928
PSME-PIED,0.500000000000001,-1.89612100658292,2.89612100658292,0.975459138005953
PIFL-PIEN,6.2,3.80387899341708,8.59612100658292,3.02370766203097e-08
PIPO-PIEN,-2,-4.39612100658292,0.396121006582917,0.141985842382209
PSME-PIEN,1.3,-1.09612100658292,3.69612100658292,0.541648093661385
PIPO-PIFL,-8.2,-10.5961210065829,-5.80387899341708,1.26147980950009e-11
PSME-PIFL,-4.9,-7.29612100658292,-2.50387899341708,5.76337927449266e-06
PSME-PIPO,3.3,0.903878993417083,5.69612100658292,0.00269498912722965
