Species,Treatment_temp,Stress_to_Dead_Weight,SpeciesID
PIED,Ambient,4.2,PIED11
PIED,Ambient,4.6,PIED41
PIED,Ambient,8.1,PIED29
PIED,Ambient,8.5,PIED12
PIED,Ambient,9.4,PIED34
PIED,Ambient,9.6,PIED38
PIED,Ambient,9.9,PIED18
PIED,Ambient,10.4,PIED28
PIED,Ambient,10.6,PIED32
PIED,Ambient,10.6,PIED39
PIED,Ambient,10.7,PIED46
PIED,Ambient,10.8,PIED02
PIED,Ambient,11,PIED03
PIED,Ambient,11.6,PIED05
PIED,Ambient,12,PIED44
PIED,Ambient,12.9,PIED49
PIED,Ambient,13.6,PIED07
PIED,Ambient,15.2,PIED19
PIED,Ambient,15.2,PIED40
PIED,Ambient_HW,7.7,PIED45
PIED,Ambient_HW,7.8,PIED04
PIED,Ambient_HW,8.5,PIED13
PIED,Ambient_HW,8.5,PIED43
PIED,Ambient_HW,8.8,PIED35
PIED,Ambient_HW,8.9,PIED48
PIED,Ambient_HW,9.6,PIED09
PIED,Ambient_HW,9.8,PIED30
PIED,Ambient_HW,9.8,PIED47
PIED,Ambient_HW,10.2,PIED16
PIED,Ambient_HW,10.8,PIED37
PIED,Ambient_HW,11,PIED26
PIED,Ambient_HW,11.2,PIED14
PIED,Ambient_HW,11.2,PIED27
PIED,Ambient_HW,11.3,PIED06
PIED,Ambient_HW,11.4,PIED25
PIED,Ambient_HW,12.2,PIED33
PIED,Ambient_HW,12.4,PIED31
PIED,Ambient_HW,13.1,PIED23
PIED,Ambient_HW,15.9,PIED21
PIEN,Ambient,10.3,PIEN45
PIEN,Ambient,10.4,PIEN35
PIEN,Ambient,10.4,PIEN36
PIEN,Ambient,10.4,PIEN40
PIEN,Ambient,10.5,PIEN44
PIEN,Ambient,10.5,PIEN46
PIEN,Ambient,10.6,PIEN48
PIEN,Ambient,10.8,PIEN43
PIEN,Ambient,11.3,PIEN33
PIEN,Ambient,11.4,PIEN34
PIEN,Ambient,11.4,PIEN41
PIEN,Ambient,11.5,PIEN47
PIEN,Ambient,12.2,PIEN32
PIEN,Ambient,12.2,PIEN39
PIEN,Ambient,12.4,PIEN31
PIEN,Ambient,12.4,PIEN42
PIEN,Ambient,12.8,PIEN38
PIEN,Ambient,13.3,PIEN37
PIEN,Ambient,14.3,PIEN50
PIEN,Ambient,15.4,PIEN49
PIEN,Ambient_HW,10.4,PIEN14
PIEN,Ambient_HW,10.5,PIEN06
PIEN,Ambient_HW,10.5,PIEN17
PIEN,Ambient_HW,10.6,PIEN21
PIEN,Ambient_HW,10.6,PIEN22
PIEN,Ambient_HW,10.7,PIEN09
PIEN,Ambient_HW,10.7,PIEN19
PIEN,Ambient_HW,11.3,PIEN12
PIEN,Ambient_HW,11.6,PIEN24
PIEN,Ambient_HW,11.6,PIEN25
PIEN,Ambient_HW,12.3,PIEN07
PIEN,Ambient_HW,12.4,PIEN08
PIEN,Ambient_HW,12.4,PIEN10
PIEN,Ambient_HW,12.4,PIEN11
PIEN,Ambient_HW,12.4,PIEN15
PIEN,Ambient_HW,12.4,PIEN20
PIEN,Ambient_HW,12.5,PIEN16
PIEN,Ambient_HW,12.5,PIEN18
PIEN,Ambient_HW,12.5,PIEN23
PIEN,Ambient_HW,13.2,PIEN13
PIFL,Ambient,14.7,PIFL50
PIFL,Ambient,15.4,PIFL33
PIFL,Ambient,16.7,PIFL32
PIFL,Ambient,16.7,PIFL35
PIFL,Ambient,17.2,PIFL36
PIFL,Ambient,17.7,PIFL49
PIFL,Ambient,18.2,PIFL38
PIFL,Ambient,18.5,PIFL47
PIFL,Ambient,19,PIFL34
PIFL,Ambient,19,PIFL44
PIFL,Ambient,19.3,PIFL31
PIFL,Ambient,19.9,PIFL39
PIFL,Ambient,19.9,PIFL43
PIFL,Ambient,20,PIFL46
PIFL,Ambient,20.2,PIFL45
PIFL,Ambient,21.1,PIFL41
PIFL,Ambient,21.3,PIFL42
PIFL,Ambient,21.6,PIFL48
PIFL,Ambient,21.8,PIFL40
PIFL,Ambient,22.4,PIFL37
PIFL,Ambient_HW,-4,PIFL16
PIFL,Ambient_HW,15.4,PIFL19
PIFL,Ambient_HW,17,PIFL24
PIFL,Ambient_HW,17.2,PIFL13
PIFL,Ambient_HW,17.8,PIFL09
PIFL,Ambient_HW,18,PIFL10
PIFL,Ambient_HW,19.1,PIFL12
PIFL,Ambient_HW,19.2,PIFL15
PIFL,Ambient_HW,19.3,PIFL11
PIFL,Ambient_HW,19.3,PIFL14
PIFL,Ambient_HW,19.3,PIFL17
PIFL,Ambient_HW,19.4,PIFL08
PIFL,Ambient_HW,19.7,PIFL07
PIFL,Ambient_HW,20.2,PIFL22
PIFL,Ambient_HW,20.3,PIFL23
PIFL,Ambient_HW,20.4,PIFL06
PIFL,Ambient_HW,21.8,PIFL25
PIFL,Ambient_HW,22.2,PIFL21
PIFL,Ambient_HW,23.3,PIFL18
PIFL,Ambient_HW,23.6,PIFL20
PIPO,Ambient,1.1,PIPO22
PIPO,Ambient,3.7,PIPO05
PIPO,Ambient,5.7,PIPO07
PIPO,Ambient,5.7,PIPO26
PIPO,Ambient,5.7,PIPO37
PIPO,Ambient,5.7,PIPO38
PIPO,Ambient,5.7,PIPO45
PIPO,Ambient,5.8,PIPO04
PIPO,Ambient,6.7,PIPO12
PIPO,Ambient,6.7,PIPO14
PIPO,Ambient,6.7,PIPO47
PIPO,Ambient,6.8,PIPO28
PIPO,Ambient,7.1,PIPO17
PIPO,Ambient,7.6,PIPO11
PIPO,Ambient,7.6,PIPO39
PIPO,Ambient,7.6,PIPO43
PIPO,Ambient,7.6,PIPO44
PIPO,Ambient,8.5,PIPO32
PIPO,Ambient,8.6,PIPO49
PIPO,Ambient,8.7,PIPO46
PIPO,Ambient_HW,-2.4,PIPO13
PIPO,Ambient_HW,-1.1,PIPO36
PIPO,Ambient_HW,3,PIPO06
PIPO,Ambient_HW,5.6,PIPO23
PIPO,Ambient_HW,5.6,PIPO25
PIPO,Ambient_HW,5.7,PIPO10
PIPO,Ambient_HW,5.7,PIPO50
PIPO,Ambient_HW,6,PIPO16
PIPO,Ambient_HW,6,PIPO40
PIPO,Ambient_HW,6.1,PIPO08
PIPO,Ambient_HW,6.1,PIPO27
PIPO,Ambient_HW,6.2,PIPO21
PIPO,Ambient_HW,6.4,PIPO42
PIPO,Ambient_HW,6.5,PIPO30
PIPO,Ambient_HW,6.5,PIPO34
PIPO,Ambient_HW,6.7,PIPO20
PIPO,Ambient_HW,7,PIPO29
PIPO,Ambient_HW,7.5,PIPO31
PIPO,Ambient_HW,8.5,PIPO19
PIPO,Ambient_HW,10,PIPO33
PSME,Ambient,9.3,PSME32
PSME,Ambient,9.3,PSME49
PSME,Ambient,9.9,PSME47
PSME,Ambient,10,PSME37
