,diff,lwr,upr,p adj
PIEN-PIED,1.25657894736843,-0.524101412648717,3.03725930738557,0.292265236001692
PIFL-PIED,8.56157894736844,6.7808985873513,10.3422593073856,4.83551310104247e-10
PIPO-PIED,-4.00342105263159,-5.78410141264873,-2.22274069261444,1.17100881547039e-07
PSME-PIED,1.46157894736842,-0.31910141264872,3.24225930738557,0.159582951738835
PIFL-PIEN,7.30500000000001,5.54729712340715,9.06270287659287,4.83565298914357e-10
PIPO-PIEN,-5.26000000000001,-7.01770287659287,-3.50229712340715,4.90249618678718e-10
PSME-PIEN,0.204999999999997,-1.55270287659286,1.96270287659286,0.997564959327246
PIPO-PIFL,-12.565,-14.3227028765929,-10.8072971234072,4.83550866015037e-10
PSME-PIFL,-7.10000000000002,-8.85770287659288,-5.34229712340716,4.8357218229711e-10
PSME-PIPO,5.46500000000001,3.70729712340715,7.22270287659287,4.84969064906693e-10
