,diff,lwr,upr,p adj
PIEN-PIED,1.17,-1.59169027593736,3.93169027593736,0.763803565390075
PIFL-PIED,7.91999999999999,5.15830972406263,10.6816902759374,4.97447749658875e-10
PIPO-PIED,-4.92500000000001,-7.68669027593737,-2.16330972406265,3.00930345323858e-05
PSME-PIED,0.234999999999999,-2.52669027593736,2.99669027593736,0.999294126183911
PIFL-PIEN,6.75,3.98830972406264,9.51169027593736,9.777064380323e-09
PIPO-PIEN,-6.095,-8.85669027593736,-3.33330972406264,1.91870929699967e-07
PSME-PIEN,-0.934999999999997,-3.69669027593736,1.82669027593736,0.879923643588149
PIPO-PIFL,-12.845,-15.6066902759374,-10.0833097240626,4.6346115833984e-10
PSME-PIFL,-7.68499999999999,-10.4466902759374,-4.92330972406263,5.70048452885885e-10
PSME-PIPO,5.16000000000001,2.39830972406265,7.92169027593737,1.13791732307966e-05
