Species,Treatment_temp,Dead_Week,SpeciesID
PIPO,Ambient,5,PIPO22
PIPO,Ambient,10,PIPO04
PIPO,Ambient,10,PIPO05
PIPO,Ambient,10,PIPO07
PIPO,Ambient,10,PIPO26
PIPO,Ambient,10,PIPO28
PIPO,Ambient,10,PIPO37
PIPO,Ambient,10,PIPO38
PIPO,Ambient,10,PIPO45
PIPO,Ambient,10.5,PIPO12
PIPO,Ambient,10.5,PIPO47
PIPO,Ambient,11,PIPO14
PIPO,Ambient,11.5,PIPO17
PIPO,Ambient,12,PIPO11
PIPO,Ambient,12,PIPO39
PIPO,Ambient,12,PIPO43
PIPO,Ambient,12,PIPO44
PIPO,Ambient,12.5,PIPO32
PIPO,Ambient,12.5,PIPO46
PIPO,Ambient,13,PIPO49
