Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Weight_Est,Porometer,Porometer_Est,PercentBrown,PercentBrown_Est,PercentGreen,PercentRed,Dead,Dead_Count,Heatwave_graph,Heatwave,SampleSize,SampleSize_Porometer,SampleSize_Weekly_Dead,SampleSize_Weekly_PercentBrown,SampleSize_Weekly_Photos,SampleSize_Weekly_Weight,SampleSize_Weekly_Porometer,Dead_Week,Stress_Week_Weight,Stress_Week_Avg_Weight,Stress_to_Dead_Weight,Stress_Week_Porometer,Stress_Week_Avg_Porometer,Stress_to_Dead_Porometer,SD_PercentBrown,SD_PercentRed,SD_Weight_Total,SD_Weight_Water,SD_Porometer,WaterWeight_Calc,PercentWater
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,1,760,760,156,156,10,10,66.54,32.33,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,0,8.11393834981355,43.872542666228,NA,34.3007774450279,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,1.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70820393249937,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,10,616,616,114,114,10,10,71.66,27.24,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,0,6.33056,86.6562173187822,NA,61.3400630365941,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,10.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70820393249937,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,11,602,602,181.7,181.7,10,10,71.71,23.8,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,0,7.185616,87.0936277806821,NA,148.235364651399,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,11.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21583836257749,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,12,518,518,161.3,161.3,10,10,69.87,28.3,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,8.21583836257749,6.52265,82.2708940026787,NA,48.4714348869517,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,12.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21583836257749,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,13,551,551,131.6,131.6,10,10,73.72,25,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,6.70820393249937,4.007671,92.5526876973327,NA,43.9154111142471,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,13.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21583836257749,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,14,465,465,223.2,223.2,10,10,72.34,26.16,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,8.21583836257749,4.78589,81.2853000240511,NA,86.0085460870023,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,14.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21583836257749,NA,NA,NA,NA,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,15,517,517,170,170,10,10,70.94,26.3,alive,0,Pinyon Pine,no,5,3,5,5,5,5,3,NA,NA,4.32148659959598,NA,22,NA,NA,17.464249196573,6.796185,84.7100938495525,NA,12.8671416147229,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,15.5,NA,NA,NA,NA,10,10,NA,NA,alive,0,Pinyon Pine,no,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3554272337961,NA,NA,NA,NA,NA,NA
