ScientificName,CommonName,Species,Treatment_temp,Treatment_water,Heatwave_graph,Heatwave,Week,PercentBrown_Est,PercentGreen,PercentRed,Weight_Est,Porometer_Est,SampleSize,SampleSize_Porometer,SampleSize_Weekly_Dead,SampleSize_Weekly_PercentBrown,SampleSize_Weekly_Photos,SampleSize_Weekly_Weight,SampleSize_Weekly_Porometer,Dead_Count,Dead_Week_Avg,Stress_Week_Avg_Weight,Stress_to_Dead_Avg_Weight,Stress_Week_Avg_Porometer,Stress_to_Dead_Avg_Porometer,SD_PercentBrown,SD_PercentRed,SD_Weight_Total,SD_Weight_Water,SD_Porometer,WaterWeight_Calc,PercentWater
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,1,13.75,75.5185,23.094,675.6,218.27,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,6.66392487478979,6.728059,51.4693572608218,21.7992636283165,61.7379056982013,362.95,100
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,1.5,16,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,7.53937034925052,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,2,10,77.227,21.4415,657.6,207.34,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,0,6.408043,51.9051767015685,21.9436479239557,60.3550089976889,344.95,95.0257559960219
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,2.5,12.25,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,5.49521322798785,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,3,12.25,69.5305,29.3525,628.3,115.23,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,5.49521322798785,7.668287,52.9409800477952,23.5109716828906,45.0464217348183,315.65,86.9161380866624
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,3.5,12.25,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,5.49521322798785,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,4,12.25,91.69,5.4645,607.6,132.68,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,5.49521322798785,3.793305,53.3719816106975,24.9493697842567,39.6914992298239,294.95,81.1968777099408
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,4.5,NA,NA,NA,NA,NA,20,10,20,0,NA,NA,NA,0,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,5,12.25,76.2095,22.037,582.5,136.63,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,5.49521322798785,8.259457,54.5271540272898,27.0890830603886,56.6844491706304,269.85,74.2589990539334
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,5.5,13.75,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,6.66392487478979,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,6,12.25,83.8965,14.133,561,101.43,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,5.49521322798785,4.733933,55.033004451396,28.0681032678133,20.0489983124677,248.35,68.310734493886
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,6.5,14.5,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,7.05243518972441,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,7,13,80.1335,18.4175,534.1,98.05,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,6.15587011251092,5.815958,56.0966271619548,30.7459453895101,31.5254482741941,221.45,60.8763321911895
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,7.5,13.75,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,6.66392487478979,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,8,13.75,83.699,15.4205,489.25,105.77,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,6.66392487478979,4.165365,55.508060106998,31.8902723990281,24.9035495015827,176.6,48.5290864104492
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,8.5,13,NA,NA,NA,NA,20,10,20,20,NA,NA,NA,0,19.2,NA,NA,NA,NA,6.15587011251092,NA,NA,NA,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,Ambient,Drought,Engelman Spruce,no,9,14.5,82.3855,16.28,456.5,120.26,20,10,20,20,20,20,10,0,19.2,7.66893041629714,11.7310695837029,12.5,7,7.05243518972441,4.290833,53.5787664147498,30.9724410607746,17.5343599192493,143.85,39.5215039570342
