Species,Treatment_temp,Treatment_water,Week,Phase,Chamber,ScientificName,CommonName,SpeciesID,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,PercentBrownMin,PercentBrownMax,PercentBrown_Est,SD_PercentBrown,SampleSize_Weekly_PercentBrown
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED49,yes,7.73,458,6,17.98,815,73.4,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED02,no,6.04,268,5,5.92,794,NA,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED41,no,3.16,93,3,2.27,841,NA,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED03,yes,4.32,238,3,4.29,746,60.3,10,alive,0,Pinyon Pine,no,10,75,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED19,no,9.61,380,4,9.89,885,NA,25,alive,0,Pinyon Pine,no,10,90,25,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED29,no,5.9,342,5,5.16,755,NA,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED18,no,7.86,400,6,13.41,769,NA,25,alive,0,Pinyon Pine,no,10,75,25,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED38,yes,4.59,235,4,4.93,729,149.5,10,alive,0,Pinyon Pine,no,10,75,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED05,no,4.03,181,4,5.05,803,NA,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED34,yes,5.04,339,5,6.63,691,96.4,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED28,yes,6.74,325,4,9.6,747,169.6,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED39,yes,3.99,132,4,2.66,800,133.7,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED40,no,6.77,393,6,10.97,789,NA,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED32,yes,4.54,237,5,4.65,768,223.6,10,alive,0,Pinyon Pine,no,10,90,10,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED11,no,5.53,121,4,1.34,855,NA,25,alive,0,Pinyon Pine,no,10,90,25,5.61951486949016,19
PIED,Ambient,Drought,1,1,1,Pinus edulis,Pinyon Pine,PIED46,yes,4.16,202,3,4.41,602,176,10,alive,0,Pinyon Pine,no,10,75,10,5.61951486949016,19
