ScientificName,Species,Treatment_temp,Treatment_water,Week,SampleSize_Weekly_PercentBrown,Dead_Count,PercentBrown,PercentBrown_Est,PercentGreen_Est,SD_PercentBrown
Picea engelmannii,PIEN,Ambient,Drought,1,20,0,14,14,86,6.66392487478979
Picea engelmannii,PIEN,Ambient,Drought,1.5,20,0,16,16,84,7.53937034925052
Picea engelmannii,PIEN,Ambient,Drought,2,20,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Drought,2.5,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient,Drought,3,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient,Drought,3.5,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient,Drought,4,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient,Drought,5,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient,Drought,5.5,20,0,14,14,86,6.66392487478979
Picea engelmannii,PIEN,Ambient,Drought,6,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient,Drought,6.5,20,0,14,14,86,7.05243518972441
Picea engelmannii,PIEN,Ambient,Drought,7,20,0,13,13,87,6.15587011251092
Picea engelmannii,PIEN,Ambient,Drought,7.5,20,0,14,14,86,6.66392487478979
Picea engelmannii,PIEN,Ambient,Drought,8,20,0,14,14,86,6.66392487478979
Picea engelmannii,PIEN,Ambient,Drought,8.5,20,0,13,13,87,6.15587011251092
Picea engelmannii,PIEN,Ambient,Drought,9,20,0,14,14,86,7.05243518972441
Picea engelmannii,PIEN,Ambient,Drought,9.5,20,0,15,15,85,7.34040727394389
Picea engelmannii,PIEN,Ambient,Drought,10,20,0,14,14,86,7.05243518972441
Picea engelmannii,PIEN,Ambient,Drought,10.5,20,0,14,14,86,7.05243518972441
Picea engelmannii,PIEN,Ambient,Drought,11,20,0,14,14,86,7.05243518972441
Picea engelmannii,PIEN,Ambient,Drought,11.5,20,0,14,14,86,6.66392487478979
Picea engelmannii,PIEN,Ambient,Drought,12,20,0,13,13,87,6.15587011251092
Picea engelmannii,PIEN,Ambient,Drought,12.5,20,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Drought,13.5,20,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Drought,14,20,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Drought,14.5,20,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Drought,15,20,0,11,11,89,3.35410196624968
Picea engelmannii,PIEN,Ambient,Drought,15.5,20,0,13,13,87,6.15587011251092
Picea engelmannii,PIEN,Ambient,Drought,16,20,0,15,15,85,7.34040727394389
Picea engelmannii,PIEN,Ambient,Drought,16.5,20,0,14,14,86,6.66392487478979
Picea engelmannii,PIEN,Ambient,Drought,17,20,0,16,16,84,7.53937034925052
Picea engelmannii,PIEN,Ambient,Drought,17.5,20,3,23,23,77,11.5165784392487
Picea engelmannii,PIEN,Ambient,Drought,18,20,8,28,28,72,22.5073087544562
Picea engelmannii,PIEN,Ambient,Drought,18.5,20,10,39,39,61,29.239258036522
Picea engelmannii,PIEN,Ambient,Drought,19,20,12,43,43,57,33.1850870120902
Picea engelmannii,PIEN,Ambient,Drought,19.5,20,12,58,58,42,33.6193866376937
Picea engelmannii,PIEN,Ambient,Drought,20,20,15,61,61,39,33.5557274113565
Picea engelmannii,PIEN,Ambient,Drought,20.5,20,16,59,71,29,29.4634028120168
Picea engelmannii,PIEN,Ambient,Drought,21,20,18,64,74,26,26.4027510528334
Picea engelmannii,PIEN,Ambient,Drought,21.5,20,19,65,80,20,23.4520787991171
Picea engelmannii,PIEN,Ambient,Drought,22,20,19,65,80,20,23.4520787991171
Picea engelmannii,PIEN,Ambient,Drought,22.5,20,20,76,86,14,9.74679434480896
Picea engelmannii,PIEN,Ambient,Drought,23,20,20,79,87,13,9.38573946277851
Picea engelmannii,PIEN,Ambient,Drought,23.5,20,20,NA,88,12,4.61690258438319
Picea engelmannii,PIEN,Ambient,Drought,24,20,20,82,88,12,4.61690258438319
Picea engelmannii,PIEN,Ambient,Watered,1,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,1.5,5,0,25,25,75,0
Picea engelmannii,PIEN,Ambient,Watered,2,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,2.5,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,3,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,3.5,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,4,5,0,24,24,76,16.3554272337961
Picea engelmannii,PIEN,Ambient,Watered,5,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,5.5,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,6,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,6.5,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,7,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,7.5,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,8,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,8.5,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,9,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,9.5,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,10,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,10.5,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,11,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,11.5,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,12,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,12.5,5,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Watered,13.5,5,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Watered,14,5,0,10,10,90,0
Picea engelmannii,PIEN,Ambient,Watered,14.5,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,15,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,15.5,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,16,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,16.5,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,17,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,17.5,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,18,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,18.5,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,19,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,19.5,5,0,16,16,84,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,20,5,0,19,19,81,8.21583836257749
Picea engelmannii,PIEN,Ambient,Watered,20.5,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,21,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,21.5,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,22,5,0,13,13,87,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,22.5,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,23,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient,Watered,24,5,0,22,22,78,6.70820393249937
Picea engelmannii,PIEN,Ambient_HW,Drought,1,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient_HW,Drought,1.5,20,0,15,15,85,7.34040727394389
Picea engelmannii,PIEN,Ambient_HW,Drought,2,20,0,11,11,89,3.35410196624968
Picea engelmannii,PIEN,Ambient_HW,Drought,2.5,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient_HW,Drought,3,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient_HW,Drought,3.5,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient_HW,Drought,4,20,0,12,12,88,5.49521322798785
Picea engelmannii,PIEN,Ambient_HW,Drought,5,20,0,12,12,88,4.61690258438319
Picea engelmannii,PIEN,Ambient_HW,Drought,5.5,20,0,12,12,88,4.61690258438319
Picea engelmannii,PIEN,Ambient_HW,Drought,6,20,0,12,12,88,4.61690258438319
Picea engelmannii,PIEN,Ambient_HW,Drought,6.5,20,0,12,12,88,4.61690258438319
Picea engelmannii,PIEN,Ambient_HW,Drought,7,20,0,12,12,88,4.61690258438319
