CommonName,Species,Treatment_temp,Phase,Chamber,SpeciesID,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,ScientificName,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,SerialNumber,CalNum,DateTime,Date,Time,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH,Porometer_Est,Stress_Level,Stress_Week,Stress_Week_Avg_Porometer,SD_Porometer
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,1,778,86.3,10,alive,0,Douglas fir,no,LPS3038,2503002,9/10/2021 13:52,9/10/2021,1352,86.3,24.7,29,12.8,86.3,no,16,NA,40.95123116
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,2,770,NA,10,alive,0,Douglas fir,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,16,NA,NA
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,3,797,164,10,alive,0,Douglas fir,no,LPS3038,2302801,9/23/2021 15:17,9/23/2021,1517,164,23.1,38.8,17.1,164,no,16,NA,51.46710924
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,4,772,251,10,alive,0,Douglas fir,no,LPS3038,2302602,10/1/2021 11:18,10/1/2021,1118,251,23.6,44.7,19.7,251,no,16,NA,76.43847199
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,5,798,170,10,alive,0,Douglas fir,no,LPS3038,2302402,10/8/2021 14:13,10/8/2021,1413,170,23.6,37.4,17.1,170,maybe,16,NA,70.06670631
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,6,751,85.5,10,alive,0,Douglas fir,no,LPS3038,2002202,10/14/2021 11:01,10/14/2021,1101,85.5,21,24.4,11,85.5,maybe,16,NA,126.472184
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,7,794,83.6,10,alive,0,Douglas fir,no,LPS3038,2402402,10/21/2021 16:43,10/21/2021,1643,83.6,24.3,24.4,10.3,83.6,maybe,16,NA,73.99813061
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,8,776,115,10,alive,0,Douglas fir,no,LPS3038,2202000,10/28/2021 12:00,10/28/2021,1200,115,23.3,26.3,11,115,maybe,16,NA,59.64162417
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,9,786,148.7,10,alive,0,Douglas fir,no,LPS3038,2102002,11/4/2021 12:09,11/4/2021,1209,148.7,22.6,31.6,14.1,148.7,maybe,16,NA,69.25787561
Douglas fir,PSME,Ambient,1,2,PSME28,Watered,yes,7.44,467,5,10.03,Pseudotsuga menziesii,10,734,110.1,10,alive,0,Douglas fir,no,LPS3038,2102001,11/12/2021 8:28,11/12/2021,828,110.1,21.6,26.4,11.6,110.1,maybe,16,NA,69.12339208
