Week,Species,Treatment_temp,Treatment_water,SampleSize_Weekly_Porometer,Dead_Count,Porometer,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH,SD_Porometer,Stress_Week_Avg_Porometer,Stress_to_Dead_Porometer
1,PIED,Ambient,Drought,10,0,125.11,125.11,26.09,34.23,15.38,53.7478981501189,8.1,6.8
1,PIED,Ambient,Watered,3,0,121.833333333333,121.833333333333,25.9666666666667,34.3666666666667,15.1666666666667,34.3007774450279,NA,NA
1,PIED,Ambient_HW,Drought,10,0,154.34,154.34,26.14,37.96,16.97,54.8431136161242,7,7.1
1,PIED,Ambient_HW,Watered,3,0,101.466666666667,101.466666666667,26.1333333333333,31.6333333333333,13.9666666666667,5.72916515151495,NA,NA
1,PIEN,Ambient,Drought,10,0,218.27,218.27,23.66,42,18.8,61.7379056982013,12.5,7
1,PIEN,Ambient,Watered,3,0,152.6,152.6,23.6,36.4666666666667,16.2666666666667,20.9449277869369,NA,NA
1,PIEN,Ambient_HW,Drought,10,0,218.15,218.15,23.44,42.06,18.82,62.563110358883,13.1,6.3
1,PIEN,Ambient_HW,Watered,3,0,236.566666666667,236.566666666667,23.1333333333333,43.7666666666667,19.3666666666667,29.1259906841524,NA,NA
1,PIFL,Ambient,Drought,10,0,222.46,222.46,25.01,43.63,19.42,50.3880541398455,16.4,14.2
1,PIFL,Ambient,Watered,3,0,205.9,205.9,24.3666666666667,42.7666666666667,19,12.9317438885867,NA,NA
1,PIFL,Ambient_HW,Drought,10,0,232.81,232.81,24.92,44.2,19.59,62.1997043579969,16.2,12.5
1,PIFL,Ambient_HW,Watered,3,0,234.3,234.3,24.5,44.4666666666667,19.7,57.2814105971562,NA,NA
1,PIPO,Ambient,Drought,10,0,168.34,168.34,26.52,39.43,18.2,84.7062269782387,6,5
1,PIPO,Ambient,Watered,3,0,98.6,98.6,26.0333333333333,31.4333333333333,14.6,37.2,NA,2
1,PIPO,Ambient_HW,Drought,10,0,134.35,134.35,26.38,34.98,16.37,98.1409672076063,6.5,4.3
1,PIPO,Ambient_HW,Watered,3,0,105,105,26.1,32.5666666666667,14.8666666666667,24.1161771431543,NA,NA
1,PSME,Ambient,Drought,10,0,125.6,125.6,25.34,34.7,15.82,51.5409869262642,11.5,8.1
1,PSME,Ambient,Watered,3,0,86.6666666666667,86.6666666666667,25.1,27.9,12.2333333333333,40.9512311577239,NA,NA
1,PSME,Ambient_HW,Drought,10,0,124.48,124.48,25.66,33.71,15.2,66.891949357818,9.6,7.6
1,PSME,Ambient_HW,Watered,3,0,135.3,135.3,25.3,35.2333333333333,15.8666666666667,75.3193202306022,NA,NA
2,PIED,Ambient,Drought,10,0,176.81,176.81,24.86,44.45,20.42,61.0868862086346,8.1,6.8
2,PIED,Ambient,Watered,3,0,250.6,250.6,24.9666666666667,50.2,23.3333333333333,109.342946731831,NA,NA
