Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,Stress_Week,Stress_Week_Avg,SD_Total,SD_Water
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,1,760,156,10,alive,0,Pinyon Pine,no,NA,NA,760,NA,NA,NA,NA,4.32148659959598,43.872542666228,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,2,752,162,10,alive,0,Pinyon Pine,no,NA,NA,752,NA,NA,NA,NA,4.32148659959598,45.4059467470947,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,3,709,229.3,10,alive,0,Pinyon Pine,no,NA,NA,709,NA,NA,NA,NA,4.32148659959598,67.0164158993899,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,4,661,NA,10,alive,0,Pinyon Pine,no,NA,NA,661,NA,NA,NA,NA,4.32148659959598,99.6353350975446,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,5,675,140.5,10,alive,0,Pinyon Pine,no,NA,NA,675,NA,NA,NA,NA,4.32148659959598,100.478853496644,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,6,629,95.2,10,alive,0,Pinyon Pine,no,NA,NA,629,NA,NA,NA,NA,4.32148659959598,103.50362312499,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,7,679,93.9,10,alive,0,Pinyon Pine,no,NA,NA,679,NA,NA,NA,NA,4.32148659959598,83.5505834809069,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,8,587,103.9,10,alive,0,Pinyon Pine,no,NA,NA,587,NA,NA,NA,NA,4.32148659959598,98.508882848198,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,9,657,76.6,10,alive,0,Pinyon Pine,no,NA,NA,657,NA,NA,NA,NA,4.32148659959598,92.2713389953782,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,10,616,114,10,alive,0,Pinyon Pine,no,NA,NA,616,NA,NA,NA,NA,4.32148659959598,86.6562173187822,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,11,602,181.7,10,alive,0,Pinyon Pine,no,NA,NA,602,NA,NA,NA,NA,4.32148659959598,87.0936277806821,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,12,518,161.3,10,alive,0,Pinyon Pine,no,NA,NA,518,NA,NA,NA,NA,4.32148659959598,82.2708940026787,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,13,551,131.6,10,alive,0,Pinyon Pine,no,NA,NA,551,NA,NA,NA,NA,4.32148659959598,92.5526876973327,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,14,465,223.2,10,alive,0,Pinyon Pine,no,NA,NA,465,NA,NA,NA,NA,4.32148659959598,81.2853000240511,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,15,517,170,10,alive,0,Pinyon Pine,no,NA,NA,517,NA,NA,NA,NA,4.32148659959598,84.7100938495525,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,16,445,173.4,10,alive,0,Pinyon Pine,no,NA,NA,445,NA,NA,NA,NA,4.32148659959598,76.0703621655635,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,17,449,178.8,10,alive,0,Pinyon Pine,no,NA,NA,449,NA,NA,NA,NA,4.32148659959598,75.2043881698402,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,18,NA,53,NA,alive,0,Pinyon Pine,no,NA,NA,NA,NA,NA,NA,NA,4.32148659959598,NA,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,19,481,NA,10,alive,0,Pinyon Pine,no,NA,NA,481,NA,NA,NA,NA,4.32148659959598,49.4287365810618,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,20,432,NA,10,alive,0,Pinyon Pine,no,NA,NA,432,NA,NA,NA,NA,4.32148659959598,52.6621306063475,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,21,504,200.4,10,alive,0,Pinyon Pine,no,NA,NA,504,NA,NA,NA,NA,4.32148659959598,59.4112783905548,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED01,Ambient,Watered,yes,6.76,231,5,9.3,22,422,NA,NA,alive,0,Pinyon Pine,no,NA,NA,422,NA,NA,NA,NA,4.32148659959598,112.324529823187,NA
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,1,794,NA,10,alive,0,Pinyon Pine,no,416,794,794,378,378,100,4.24763308885734,4.32148659959598,69.9943606750986,25.9726576878151
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,2,763,NA,10,alive,0,Pinyon Pine,no,416,794,763,378,347,91.7989417989418,4.24763308885734,4.32148659959598,71.3002054572469,32.6463416898585
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,3,716,NA,10,alive,0,Pinyon Pine,no,416,794,716,378,300,79.3650793650794,4.24763308885734,4.32148659959598,75.3121379902003,48.3061024319262
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,4,643,NA,25,alive,0,Pinyon Pine,no,416,794,643,378,227,60.0529100529101,4.24763308885734,4.32148659959598,87.3596451591877,66.8462930953153
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,5,561,NA,25,alive,0,Pinyon Pine,no,416,794,561,378,145,38.3597883597884,4.24763308885734,4.32148659959598,91.0811924918146,70.2823461982773
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,6,524,NA,25,alive,0,Pinyon Pine,no,416,794,524,378,108,28.5714285714286,4.24763308885734,4.32148659959598,86.6339006886912,63.4754637866001
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,7,484,NA,25,alive,0,Pinyon Pine,no,416,794,484,378,68,17.989417989418,4.24763308885734,4.32148659959598,80.9156300184739,52.8503901848421
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,8,459,NA,25,alive,0,Pinyon Pine,no,416,794,459,378,43,11.3756613756614,4.24763308885734,4.32148659959598,73.1423749788306,35.6805187070575
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,9,449,NA,25,alive,0,Pinyon Pine,no,416,794,449,378,33,8.73015873015873,4.24763308885734,4.32148659959598,70.7675132788521,27.5006645321091
1,1,Pinus edulis,Pinyon Pine,PIED,PIED02,Ambient,Drought,no,6.04,268,5,5.92,10,440,NA,25,alive,0,Pinyon Pine,no,416,794,440,378,24,6.34920634920635,4.24763308885734,4.32148659959598,68.8120161545312,20.4460493903471
