Week,Species,Treatment_temp,Treatment_water,Dead_Count,Weight_g,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_Week_Avg_Weight
1,PIED,Ambient,Drought,0,772,772,394,772,378,378,100,69.9943606750986,25.9726576878151,4.32148659959598
1,PIED,Ambient,Watered,0,775,775,NA,NA,NA,NA,NA,43.872542666228,NA,4.32148659959598
1,PIED,Ambient_HW,Drought,0,758,758,385,758,373,373,100,50.4970035588356,24.7015874196909,3.79323880382056
1,PIED,Ambient_HW,Watered,0,780,780,NA,NA,NA,NA,NA,44.2119893241641,NA,3.79323880382056
1,PIEN,Ambient,Drought,0,676,676,313,676,363,363,100,51.4693572608218,21.7992636283165,7.66893041629714
1,PIEN,Ambient,Watered,0,661,661,NA,NA,NA,NA,NA,41.6052881254294,NA,7.66893041629714
1,PIEN,Ambient_HW,Drought,0,816,816,396,816,421,421,100,41.144002568642,23.7093696779631,7.50704013715058
1,PIEN,Ambient_HW,Watered,0,813,813,NA,NA,NA,NA,NA,37.0513157661101,NA,7.50704013715058
1,PIFL,Ambient,Drought,0,759,759,365,759,394,394,100,56.5885193861422,33.6960094466923,11.4761431218887
1,PIFL,Ambient,Watered,0,773,773,NA,NA,NA,NA,NA,38.2922968754814,NA,11.4761431218887
1,PIFL,Ambient_HW,Drought,0,706,706,348,706,358,358,100,45.3647208162559,45.4492197837033,9.3772157592602
1,PIFL,Ambient_HW,Watered,0,678,678,NA,NA,NA,NA,NA,54.0758726235647,NA,9.3772157592602
1,PIPO,Ambient,Drought,0,675,675,334,675,341,341,100,78.0596263324255,56.8437146458326,4.39062710385188
1,PIPO,Ambient,Watered,0,677,677,NA,NA,NA,NA,NA,57.3524193038097,NA,4.39062710385188
1,PIPO,Ambient_HW,Drought,0,695,695,343,695,352,352,100,53.3912076341375,37.6603938263781,4.21877126335912
1,PIPO,Ambient_HW,Watered,0,747,747,NA,NA,NA,NA,NA,39.6080799837609,NA,4.21877126335912
1,PSME,Ambient,Drought,0,707,707,349,707,358,358,100,45.7741595685877,29.6886918043324,7.81970030857376
1,PSME,Ambient,Watered,0,718,718,NA,NA,NA,NA,NA,44.3700349334999,NA,7.81970030857376
1,PSME,Ambient_HW,Drought,0,698,698,360,698,338,338,100,59.6202676594921,42.2498832137906,6.9568851990617
1,PSME,Ambient_HW,Watered,0,681,681,NA,NA,NA,NA,NA,36.4938350958076,NA,6.9568851990617
2,PIED,Ambient,Drought,0,737,737,394,772,378,343,91,71.3002054572469,32.6463416898585,4.32148659959598
2,PIED,Ambient,Watered,0,776,776,NA,NA,NA,NA,NA,45.4059467470947,NA,4.32148659959598
2,PIED,Ambient_HW,Drought,0,720,720,385,758,373,335,90,52.1158628240456,33.8990762178124,3.79323880382056
2,PIED,Ambient_HW,Watered,0,778,778,NA,NA,NA,NA,NA,43.5717798580687,NA,3.79323880382056
2,PIEN,Ambient,Drought,0,658,658,313,676,363,345,95,51.9051767015685,21.9436479239557,7.66893041629714
2,PIEN,Ambient,Watered,0,668,668,NA,NA,NA,NA,NA,43.0267358743375,NA,7.66893041629714
2,PIEN,Ambient_HW,Drought,0,796,796,396,816,421,400,95,43.7228111004578,27.4885622147027,7.50704013715058
2,PIEN,Ambient_HW,Watered,0,825,825,NA,NA,NA,NA,NA,31.9812445036149,NA,7.50704013715058
2,PIFL,Ambient,Drought,0,750,750,365,759,394,385,98,55.5464717719838,33.1079176410465,11.4761431218887
2,PIFL,Ambient,Watered,0,767,767,NA,NA,NA,NA,NA,36.0735360063302,NA,11.4761431218887
2,PIFL,Ambient_HW,Drought,0,698,698,348,706,358,350,98,45.773210965643,45.2888681570578,9.3772157592602
2,PIFL,Ambient_HW,Watered,0,670,670,NA,NA,NA,NA,NA,56.2601102025227,NA,9.3772157592602
2,PIPO,Ambient,Drought,0,640,640,334,675,341,307,90,79.9647948853283,56.9685739776996,4.39062710385188
2,PIPO,Ambient,Watered,0,671,671,NA,NA,NA,NA,NA,55.3380520076376,NA,4.39062710385188
