Ambient,Heatwave,Species
5,3.5,PIPO
10,4.5,PIPO
10,6.5,PIPO
10,10,PIPO
10,10,PIPO
10,10,PIPO
10,10,PIPO
10,10,PIPO
10,10,PIPO
10.5,10,PIPO
10.5,10,PIPO
11,10,PIPO
11.5,10,PIPO
12,10,PIPO
12,10.5,PIPO
12,11,PIPO
12,11,PIPO
12.5,11,PIPO
12.5,12,PIPO
13,13.5,PIPO
10,12,PIED
15,13.5,PIED
15,14,PIED
15,14.5,PIED
15,14.5,PIED
15.5,14.5,PIED
16,15,PIED
17,15,PIED
17.5,15.5,PIED
17.5,16.5,PIED
18.5,16.5,PIED
12,12,PIED
NA,20,PIED
12,12,PIED
12.5,12,PIED
13,12,PIED
13.5,12.5,PIED
14,12.5,PIED
14,12.5,PIED
15,13.5,PIED
25.5,8,PIFL
25.5,25.5,PIFL
28,27,PIFL
28,27,PIFL
29,27,PIFL
29,27,PIFL
29.5,27,PIFL
30,27,PIFL
30.5,27.5,PIFL
30.5,27.5,PIFL
31,28,PIFL
31,28.5,PIFL
31,29,PIFL
31,29.5,PIFL
31.5,29.5,PIFL
31.5,30,PIFL
32,30.5,PIFL
33,30.5,PIFL
33.5,32,PIFL
35,34,PIFL
15,14.5,PSME
15,15,PSME
16.5,15,PSME
17.5,15,PSME
17.5,15,PSME
18.5,15,PSME
18.5,15,PSME
18.5,15.5,PSME
19.5,17,PSME
19.5,17,PSME
20.5,17.5,PSME
20.5,18.5,PSME
20.5,18.5,PSME
21,18.5,PSME
21,18.5,PSME
21,19.5,PSME
21,20.5,PSME
21.5,21,PSME
23,21,PSME
23,21.5,PSME
17.5,17.5,PIEN
17.5,17.5,PIEN
17.5,17.5,PIEN
18,17.5,PIEN
18,18,PIEN
18,18,PIEN
18,18,PIEN
18,18.5,PIEN
18.5,19,PIEN
18.5,19,PIEN
19,19.5,PIEN
19,19.5,PIEN
20,19.5,PIEN
20,19.5,PIEN
20,19.5,PIEN
20.5,20,PIEN
21,20,PIEN
21,20,PIEN
21.5,20,PIEN
22.5,20.5,PIEN
