Ambient,Heatwave,Species
2,2,PIPO
3,2,PIPO
4,4,PIPO
4,4,PIPO
5,4,PIPO
5,4,PIPO
6,4,PIPO
6,5,PIPO
7,5,PIPO
8,9,PIPO
3,4,PIED
12,11,PIED
5,5,PIED
6,5,PIED
6,5,PIED
6,6,PIED
6,7,PIED
7,9,PIED
8,9,PIED
9,10,PIED
10,10,PIFL
12,11,PIFL
12,11,PIFL
12,12,PIFL
13,12,PIFL
15,12,PIFL
15,12,PIFL
17,14,PIFL
17,15,PIFL
19,16,PIFL
6,4,PSME
7,7,PSME
7,7,PSME
8,7,PSME
8,7,PSME
8,7,PSME
8,8,PSME
9,9,PSME
10,9,PSME
10,11,PSME
3,5,PIEN
5,5,PIEN
6,5,PIEN
7,6,PIEN
7,7,PIEN
8,7,PIEN
8,7,PIEN
8,7,PIEN
8,7,PIEN
10,7,PIEN
