Species,Treatment_temp,n,df,df_all,mean,mean_diff,median,median_diff,mode,Q1,Q1_diff,Q3,var,SE,t.critical,half_width,CI_lower_mean,CI_upper_mean,CI_lower_med,CI_upper_med,CI_lower_Q1,CI_upper_Q1,SD_pool,SE_pool,t.stat_mean,p_mean,t.stat_median,p_median,t.stat_Q1,p_Q1,half_width_diff,CI_lower_diff_mean,CI_upper_diff_mean,CI_lower_diff_med,CI_upper_diff_med,CI_lower_diff_Q1,CI_upper_diff_Q1
PIED,Ambient,19,18,37,14.6,0.6,15,1.2,15,13.2,0.8,15.8,4.72,0.5,1.734,0.867,13.73,15.47,14.13,15.87,12.33,14.07,2.116281798,0.677975503,-0.6,0.277797678,-1.2,0.122444463,-0.8,0.216799937,1.175609522,-0.58,1.78,0.02,2.38,-0.38,1.98
PIED,Ambient_HW,20,19,37,14,0.6,13.8,1.2,12,12.4,0.8,15,4.25,0.46,1.729,0.79534,13.2,14.8,13,14.6,11.6,13.2,2.116281798,0.677975503,-0.6,0.277797678,-1.2,0.122444463,-0.8,0.216799937,1.172219645,-0.57,1.77,0.03,2.37,-0.37,1.97
PIEN,Ambient,20,19,38,19.2,0.3,18.8,0.4,18,18,0,20.1,2.27,0.34,1.729,0.58786,18.61,19.79,18.21,19.39,17.41,18.59,1.284523258,0.40620192,-0.3,0.38371733,0.4,0.653191055,0,0.5,0.70232312,-0.4,1,-0.3,1.1,-0.7,0.7
PIEN,Ambient_HW,20,19,38,18.9,0.3,19.2,0.4,19.5,18,0,19.6,1.03,0.23,1.729,0.39767,18.5,19.3,18.8,19.6,17.6,18.4,1.284523258,0.40620192,-0.3,0.38371733,0.4,0.653191055,0,0.5,0.70232312,-0.4,1,-0.3,1.1,-0.7,0.7
PIFL,Ambient,20,19,38,30.3,2.7,30.8,3,31,29,2,31.5,5.69,0.53,1.729,0.91637,29.38,31.22,29.88,31.72,28.08,29.92,3.946517,1.247998,-1.7,0.053172521,-3,0.003680862,-2,0.030001018,2.157788542,0.54,4.86,0.84,5.16,-0.16,4.16
PIFL,Ambient_HW,20,19,38,27.6,2.7,27.8,3,27,27,2,29.6,25.46,1.13,1.729,1.95377,25.65,29.55,25.85,29.75,25.05,28.95,3.946517,1.247998,-1.7,0.053172521,-3,0.003680862,-2,0.030001018,2.157788542,0.54,4.86,0.84,5.16,-0.16,4.16
PIPO,Ambient,20,19,38,10.7,1,10.5,0.5,10,10,0,12,2.93,0.38,1.729,0.65702,10.04,11.36,9.84,11.16,9.34,10.66,2.038381711,0.644592895,-1,0.1649384,-0.5,0.311408246,0,0.5,1.114501115,-0.11,2.11,-0.61,1.61,-1.11,1.11
PIPO,Ambient_HW,20,19,38,9.7,1,10,0.5,10,10,0,10.6,5.38,0.52,1.729,0.89908,8.8,10.6,9.1,10.9,9.1,10.9,2.038381711,0.644592895,-1,0.1649384,-0.5,0.311408246,0,0.5,1.114501115,-0.11,2.11,-0.61,1.61,-1.11,1.11
PSME,Ambient,20,19,38,19.4,2,20,2.8,21,18.2,3.2,21,5.31,0.52,1.729,0.89908,18.5,20.3,19.1,20.9,17.3,19.1,2.347338919,0.742293742,-2,0.030001018,-2.8,0.005711834,-3.2,0.002357095,1.28342588,0.72,3.28,1.52,4.08,1.92,4.48
PSME,Ambient_HW,20,19,38,17.4,2,17.2,2.8,15,15,3.2,18.8,5.71,0.53,1.729,0.91637,16.48,18.32,16.28,18.12,14.08,15.92,2.347338919,0.742293742,-2,0.030001018,-2.8,0.005711834,-3.2,0.002357095,1.28342588,0.72,3.28,1.52,4.08,1.92,4.48
