Chamber,Kestrel,Date,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C,DateTime
1,1,2021-08-19,0000,18.3,17.7,94.4,928.7,726,928.8,0,18.7,17.4,1099,18.2,2021-08-19 00:00:00
1,1,2021-08-19,0030,18.2,17.5,94.4,928.9,726,928.9,0,18.6,17.3,1090,18.1,2021-08-19 00:30:00
1,1,2021-08-19,0100,18,17.3,94.7,928.9,726,928.9,0,18.4,17.1,1082,17.9,2021-08-19 01:00:00
1,1,2021-08-19,0130,18.2,17.6,94.8,928.7,726,928.7,0,18.6,17.3,1093,18.1,2021-08-19 01:30:00
1,1,2021-08-19,0200,18,17.4,94.8,928.5,727,928.6,0,18.5,17.2,1089,18,2021-08-19 02:00:00
1,1,2021-08-19,0230,17.9,17.3,94.6,928.5,728,928.6,0,18.4,17.1,1085,17.9,2021-08-19 02:30:00
1,1,2021-08-19,0300,16,14.8,88.5,928.5,729,928.5,0,16.2,14.1,1004,16,2021-08-19 03:00:00
1,1,2021-08-19,0330,13.5,12.4,88.2,928.5,729,928.5,0,13.7,11.6,905,13.5,2021-08-19 03:30:00
1,1,2021-08-19,0400,12.2,11.3,91.2,928.4,729,928.4,0,12.3,10.8,855,12.1,2021-08-19 04:00:00
1,1,2021-08-19,0430,11.2,10.4,91.2,928.4,730,928.4,0,11.4,9.8,818,11.2,2021-08-19 04:30:00
1,1,2021-08-19,0500,10.3,9.6,91.7,928.2,731,928.3,0,10.5,9,783,10.3,2021-08-19 05:00:00
1,1,2021-08-19,0530,10.1,9.4,93.5,928.2,730,928.3,0,10.2,9.1,775,10,2021-08-19 05:30:00
1,1,2021-08-19,0600,9,8.2,90.9,928.5,729,928.5,0,9.1,7.6,730,9,2021-08-19 06:00:00
1,1,2021-08-19,0630,7.8,6.9,90,928.7,727,928.7,0,7.8,6.2,679,7.7,2021-08-19 06:30:00
1,1,2021-08-19,0700,7.9,7.1,89.8,928.7,726,928.7,0,8,6.3,684,7.9,2021-08-19 07:00:00
1,1,2021-08-19,0730,7.9,7.1,89.6,928.9,726,928.9,0,8,6.3,683,7.9,2021-08-19 07:30:00
1,1,2021-08-19,0800,9.6,9,94.1,929,724,929,0,9.8,8.7,748,9.5,2021-08-19 08:00:00
1,1,2021-08-19,0830,11.8,11.3,96,928.9,724,928.9,0,12.1,11.1,836,11.7,2021-08-19 08:30:00
1,1,2021-08-19,0900,12.2,11.4,91.7,929,724,929.1,0,12.4,10.9,849,12.2,2021-08-19 09:00:00
1,1,2021-08-19,0930,13.2,11.4,95.8,929.2,723,929.2,0,13.7,12.6,852,13.2,2021-08-19 09:30:00
1,1,2021-08-19,1000,14.2,13.7,95.8,929.2,722,929.2,0,14.6,13.5,929,14.1,2021-08-19 10:00:00
1,1,2021-08-19,1030,16.5,16.1,97.3,929.2,723,929.2,0,17,16,1021,16.4,2021-08-19 10:30:00
1,1,2021-08-19,1100,17.1,16.3,93.2,929,724,929,0,17.4,16,1044,17,2021-08-19 11:00:00
1,1,2021-08-19,1130,17.2,16.3,92.4,928.7,726,928.8,0,17.6,15.9,1051,17.2,2021-08-19 11:30:00
1,1,2021-08-19,1200,20.4,20.3,99.8,928.5,728,928.5,0,21.4,20.4,1190,20.4,2021-08-19 12:00:00
1,1,2021-08-19,1230,24.6,24.5,100,928,734,928,0,27.2,24.6,1366,24.5,2021-08-19 12:30:00
1,1,2021-08-19,1300,25,24.7,97.5,927.7,735,927.8,0,28.1,24.6,1386,25,2021-08-19 13:00:00
1,1,2021-08-19,1330,24.9,24,93.9,927.5,738,927.5,0,27.3,23.8,1377,24.8,2021-08-19 13:30:00
1,1,2021-08-19,1400,24.6,23.6,92.8,927.2,740,927.2,0,26.8,23.4,1368,24.6,2021-08-19 14:00:00
1,1,2021-08-19,1430,24.4,23.3,92.2,926.7,744,926.8,0,26.3,23,1361,24.3,2021-08-19 14:30:00
1,1,2021-08-19,1500,24.2,23.2,92.6,926.5,746,926.6,0,26.1,22.9,1357,24.1,2021-08-19 15:00:00
1,1,2021-08-19,1530,23.9,22.7,91.3,926.2,749,926.3,0,25.6,22.4,1346,23.8,2021-08-19 15:30:00
1,1,2021-08-19,1600,23.6,22.4,91,926,752,926,0,25.1,22,1336,23.5,2021-08-19 16:00:00
1,1,2021-08-19,1630,23.4,22.2,90.8,925.7,753,925.7,0,24.9,21.8,1332,23.3,2021-08-19 16:30:00
1,1,2021-08-19,1700,22.9,21.4,89.2,925.7,753,925.8,0,24.1,21,1308,22.8,2021-08-19 17:00:00
1,1,2021-08-19,1730,22.9,21.5,89.4,925.7,754,925.7,0,24.1,21,1309,22.8,2021-08-19 17:30:00
1,1,2021-08-19,1800,22.8,21.3,88.7,925.4,757,925.4,0,23.9,20.8,1308,22.7,2021-08-19 18:00:00
1,1,2021-08-19,1830,22.2,20.6,87.4,925.2,758,925.2,0,23.3,20,1285,22.2,2021-08-19 18:30:00
1,1,2021-08-19,1900,21.5,20.3,90.3,925.2,757,925.3,0,22.3,19.8,1259,21.4,2021-08-19 19:00:00
1,1,2021-08-19,1930,21.4,20.2,90.3,925.2,757,925.3,0,22.3,19.8,1256,21.4,2021-08-19 19:30:00
1,1,2021-08-19,2000,21.1,19.9,90.1,925.5,755,925.6,0,22,19.4,1241,21.1,2021-08-19 20:00:00
1,1,2021-08-19,2030,20.8,19.5,89.7,925.7,752,925.8,0,21.4,19,1223,20.7,2021-08-19 20:30:00
1,1,2021-08-19,2100,20.4,19.1,89.7,926,751,926.1,0,21,18.7,1206,20.4,2021-08-19 21:00:00
1,1,2021-08-19,2130,20,18.7,89.5,926.2,749,926.3,0,20.5,18.2,1187,19.9,2021-08-19 21:30:00
1,1,2021-08-19,2200,19.6,18.4,90,926.4,748,926.4,0,20.2,17.9,1171,19.6,2021-08-19 22:00:00
1,1,2021-08-19,2230,19.2,18,89.6,926.5,746,926.6,0,19.5,17.4,1151,19.1,2021-08-19 22:30:00
1,1,2021-08-19,2300,18.9,17.7,90,926.7,745,926.6,0,19.4,17.2,1141,18.9,2021-08-19 23:00:00
1,1,2021-08-19,2330,18.6,17.5,90.7,926.7,743,926.8,0,19,17.1,1128,18.6,2021-08-19 23:30:00
