Week,Chamber,Species,Variable,Date
1,1,PIPO,PercentBrown,2021-08-26
1,1,PIED,PercentBrown,2021-08-26
1,1,PIPO,Weight,2021-08-26
1,1,PIED,Weight,2021-08-26
1,1,PIPO,Photos,2021-08-26
1,1,PIED,Photos,2021-08-26
1,1,PIPO,Porometer,2021-08-27
1,1,PIED,Porometer,2021-08-27
1.5,1,PIPO,PercentBrown,2021-08-30
1.5,1,PIED,PercentBrown,2021-08-30
2,1,PIPO,PercentBrown,2021-09-02
2,1,PIED,PercentBrown,2021-09-02
2,1,PIPO,Weight,2021-09-02
2,1,PIED,Weight,2021-09-02
2,1,PIPO,Photos,2021-09-02
2,1,PIED,Photos,2021-09-02
2,1,PIPO,Porometer,2021-09-03
2,1,PIED,Porometer,2021-09-03
2.5,1,PIPO,PercentBrown,2021-09-07
2.5,1,PIED,PercentBrown,2021-09-07
1,2,PIFL,PercentBrown,2021-09-09
1,2,PIFL,Weight,2021-09-09
1,2,PSME,PercentBrown,2021-09-09
1,2,PSME,Weight,2021-09-09
1,2,PIFL,Photos,2021-09-09
1,2,PSME,Photos,2021-09-09
3,1,PIPO,PercentBrown,2021-09-09
3,1,PIED,PercentBrown,2021-09-09
3,1,PIPO,Weight,2021-09-09
3,1,PIED,Weight,2021-09-09
3,1,PIPO,Photos,2021-09-09
3,1,PIED,Photos,2021-09-09
1,2,PSME,Porometer,2021-09-10
3,1,PIPO,Porometer,2021-09-10
3,1,PIED,Porometer,2021-09-10
1,2,PIFL,Porometer,2021-09-13
1.5,2,PIFL,PercentBrown,2021-09-13
1.5,2,PSME,PercentBrown,2021-09-13
3.5,1,PIPO,PercentBrown,2021-09-13
3.5,1,PIED,PercentBrown,2021-09-13
2,2,PIFL,PercentBrown,2021-09-16
2,2,PIFL,Weight,2021-09-16
2,2,PSME,PercentBrown,2021-09-16
2,2,PSME,Weight,2021-09-16
2,2,PIFL,Photos,2021-09-16
2,2,PSME,Photos,2021-09-16
4,1,PIPO,PercentBrown,2021-09-16
4,1,PIED,PercentBrown,2021-09-16
4,1,PIPO,Weight,2021-09-16
4,1,PIED,Weight,2021-09-16
4,1,PIPO,Photos,2021-09-16
4,1,PIED,Photos,2021-09-16
2,2,PIFL,Porometer,2021-09-17
2,2,PSME,Porometer,2021-09-17
4,1,PIPO,Porometer,2021-09-17
4,1,PIED,Porometer,2021-09-17
2.5,2,PIFL,PercentBrown,2021-09-20
2.5,2,PSME,PercentBrown,2021-09-20
4.5,1,PIPO,PercentBrown,2021-09-20
4.5,1,PIED,PercentBrown,2021-09-20
3,2,PIFL,Porometer,2021-09-23
3,2,PSME,Porometer,2021-09-23
5,1,PIPO,Porometer,2021-09-23
5,1,PIED,Porometer,2021-09-23
3,2,PIFL,PercentBrown,2021-09-24
3,2,PIFL,Weight,2021-09-24
3,2,PSME,PercentBrown,2021-09-24
3,2,PSME,Weight,2021-09-24
3,2,PIFL,Photos,2021-09-24
3,2,PSME,Photos,2021-09-24
5,1,PIPO,PercentBrown,2021-09-24
5,1,PIED,PercentBrown,2021-09-24
5,1,PIPO,Weight,2021-09-24
5,1,PIED,Weight,2021-09-24
5,1,PIPO,Photos,2021-09-24
5,1,PIED,Photos,2021-09-24
3.5,2,PIFL,PercentBrown,2021-09-27
3.5,2,PSME,PercentBrown,2021-09-27
5.5,1,PIPO,PercentBrown,2021-09-27
5.5,1,PIED,PercentBrown,2021-09-27
1,3,PIEN,PercentBrown,2021-09-30
1,3,PIEN,Weight,2021-09-30
1,3,PIEN,Photos,2021-09-30
4,2,PIFL,PercentBrown,2021-09-30
4,2,PIFL,Weight,2021-09-30
4,2,PSME,PercentBrown,2021-09-30
4,2,PSME,Weight,2021-09-30
4,2,PIFL,Photos,2021-09-30
