Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIED,PIED01,1,760,156,10,alive
PIED,PIED01,1.5,NA,NA,10,alive
PIED,PIED01,10,616,114,10,alive
PIED,PIED01,10.5,NA,NA,10,alive
PIED,PIED01,11,602,181.7,10,alive
PIED,PIED01,11.5,NA,NA,10,alive
PIED,PIED01,12,518,161.3,10,alive
PIED,PIED01,12.5,NA,NA,10,alive
PIED,PIED01,13,551,131.6,10,alive
PIED,PIED01,13.5,NA,NA,10,alive
PIED,PIED01,14,465,223.2,10,alive
PIED,PIED01,14.5,NA,NA,10,alive
PIED,PIED01,15,517,170,10,alive
PIED,PIED01,15.5,NA,NA,10,alive
PIED,PIED01,16,445,173.4,10,alive
PIED,PIED01,16.5,NA,NA,10,alive
PIED,PIED01,17,449,178.8,10,alive
PIED,PIED01,17.5,NA,NA,10,alive
PIED,PIED01,18,NA,53,NA,alive
PIED,PIED01,18.5,NA,NA,10,alive
PIED,PIED01,19,481,NA,10,alive
PIED,PIED01,19.5,NA,NA,10,alive
PIED,PIED01,2,752,162,10,alive
PIED,PIED01,2.5,NA,NA,10,alive
PIED,PIED01,20,432,NA,10,alive
PIED,PIED01,20.5,NA,NA,10,alive
PIED,PIED01,21,504,200.4,10,alive
PIED,PIED01,21.5,NA,NA,NA,alive
PIED,PIED01,22,422,NA,NA,alive
PIED,PIED01,22.5,NA,NA,25,alive
PIED,PIED01,3,709,229.3,10,alive
PIED,PIED01,3.5,NA,NA,10,alive
PIED,PIED01,4,661,NA,10,alive
PIED,PIED01,4.5,NA,NA,10,alive
PIED,PIED01,5,675,140.5,10,alive
PIED,PIED01,5.5,NA,NA,10,alive
PIED,PIED01,6,629,95.2,10,alive
PIED,PIED01,6.5,NA,NA,10,alive
PIED,PIED01,7,679,93.9,10,alive
PIED,PIED01,7.5,NA,NA,10,alive
PIED,PIED01,8,587,103.9,10,alive
PIED,PIED01,8.5,NA,NA,10,alive
PIED,PIED01,9,657,76.6,10,alive
PIED,PIED01,9.5,NA,NA,NA,alive
PIED,PIED02,1,794,NA,10,alive
PIED,PIED02,1.5,NA,NA,25,alive
