SerialNumber,CalNum,DateTime,Date,Time,Week,Species,SpeciesID,Conductance,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
LPS3038,2403003,8/27/2021 14:32,8/27/2021,1432,1,PIED,PIED01,156,26.2,37.8,15.6
LPS3038,2403003,8/27/2021 15:16,8/27/2021,1516,1,PIED,PIED02,113.6,26.2,34.4,15.8
LPS3038,2403003,8/27/2021 15:13,8/27/2021,1513,1,PIED,PIED03,60.3,26.3,22.5,9.4
LPS3038,2403003,8/27/2021 15:24,8/27/2021,1524,1,PIED,PIED04,232.4,26.3,44.7,18.7
LPS3038,2403003,8/27/2021 15:26,8/27/2021,1526,1,PIED,PIED05,139.6,26.3,36.5,15.6
LPS3038,2403003,8/27/2021 16:00,8/27/2021,1600,1,PIED,PIED06,68.2,26.4,25,11
LPS3038,2403003,8/27/2021 14:08,8/27/2021,1408,1,PIED,PIED07,80.3,26,28.8,13.5
LPS3038,2403003,8/27/2021 13:30,8/27/2021,1330,1,PIED,PIED08,53.6,25.6,22.3,10.4
LPS3038,2403003,8/27/2021 14:40,8/27/2021,1440,1,PIED,PIED09,94,26.4,30.9,14.1
LPS3038,2403003,8/27/2021 15:56,8/27/2021,1556,1,PIED,PIED10,108,26.5,32.1,13.7
LPS3038,2403003,8/27/2021 14:37,8/27/2021,1437,1,PIED,PIED11,92.9,26.4,30.9,14.2
LPS3038,2403003,8/27/2021 15:44,8/27/2021,1544,1,PIED,PIED12,88.3,26.3,30.4,14.2
LPS3038,2403003,8/27/2021 15:10,8/27/2021,1510,1,PIED,PIED13,109.4,26.1,33.5,15.2
LPS3038,2403003,8/27/2021 15:19,8/27/2021,1519,1,PIED,PIED14,99.2,26.3,31.4,13.9
LPS3038,2403003,8/27/2021 14:25,8/27/2021,1425,1,PIED,PIED15,97.3,26,31.5,14.4
LPS3038,2403003,8/27/2021 15:08,8/27/2021,1508,1,PIED,PIED16,176.4,26,42.2,19.6
LPS3038,2403003,8/27/2021 14:21,8/27/2021,1421,1,PIED,PIED17,99.1,25.9,31.3,13.8
LPS3038,2403003,8/27/2021 15:54,8/27/2021,1554,1,PIED,PIED18,165.6,26.5,40.2,17.9
LPS3038,2403003,8/27/2021 14:34,8/27/2021,1434,1,PIED,PIED19,186.8,26.4,42.4,19
LPS3038,2403003,8/27/2021 13:25,8/27/2021,1325,1,PIED,PIED20,245.4,25,47.1,21.2
LPS3038,2403003,8/27/2021 15:05,8/27/2021,1505,1,PIED,PIED21,86.7,26.1,30.1,14.2
LPS3038,2403003,8/27/2021 14:13,8/27/2021,1413,1,PIED,PIED22,87.4,26,29.7,13.5
LPS3038,2403003,8/27/2021 15:03,8/27/2021,1503,1,PIED,PIED23,136.2,26,36,15.3
LPS3038,2403003,8/27/2021 14:18,8/27/2021,1418,1,PIED,PIED24,85.8,25.9,28,11.6
LPS3038,2403003,8/27/2021 14:43,8/27/2021,1443,1,PIED,PIED25,150.7,26.3,39.5,18.4
LPS3038,2403003,8/27/2021 14:54,8/27/2021,1454,1,PIED,PIED26,120.9,26.2,35.2,16.1
LPS3038,2403003,8/27/2021 14:45,8/27/2021,1445,1,PIED,PIED27,92.7,26.3,31.6,15.1
LPS3038,2403003,8/27/2021 14:49,8/27/2021,1449,1,PIED,PIED28,169.6,26.2,39.9,17.1
LPS3038,2403003,8/27/2021 14:52,8/27/2021,1452,1,PIED,PIED29,95.5,26.2,30,12.7
LPS3038,2403003,8/27/2021 14:10,8/27/2021,1410,1,PIED,PIED30,110.6,26.2,33,14.5
LPS3038,2403003,8/27/2021 14:57,8/27/2021,1457,1,PIED,PIED31,110,26.2,34,15.8
LPS3038,2403003,8/27/2021 13:38,8/27/2021,1338,1,PIED,PIED32,223.6,26.1,44.5,19
LPS3038,2403003,8/27/2021 15:51,8/27/2021,1551,1,PIED,PIED33,219.5,26.4,46,21.6
LPS3038,2403003,8/27/2021 13:36,8/27/2021,1336,1,PIED,PIED34,96.4,25.9,31.7,14.8
LPS3038,2403003,8/27/2021 13:44,8/27/2021,1344,1,PIED,PIED35,189.2,26.2,42.9,19.5
LPS3038,2403003,8/27/2021 13:32,8/27/2021,1332,1,PIED,PIED36,122.1,25.7,35.6,16.4
LPS3038,2403003,8/27/2021 15:32,8/27/2021,1532,1,PIED,PIED37,112.5,26.3,33.3,14.5
LPS3038,2403003,8/27/2021 13:51,8/27/2021,1351,1,PIED,PIED38,149.5,26,39.4,18.4
LPS3038,2403003,8/27/2021 14:03,8/27/2021,1403,1,PIED,PIED39,133.7,25.7,35.9,15.4
LPS3038,2403003,8/27/2021 15:21,8/27/2021,1521,1,PIED,PIED40,85.9,26.3,29.1,13
LPS3038,2403003,8/27/2021 13:47,8/27/2021,1347,1,PIED,PIED41,54.3,26.1,22.2,10.1
LPS3038,2403003,8/27/2021 15:29,8/27/2021,1529,1,PIED,PIED42,223.1,26.3,46.1,21.4
LPS3038,2403003,8/27/2021 13:57,8/27/2021,1357,1,PIED,PIED43,191.5,25.6,42.3,18.5
LPS3038,2403003,8/27/2021 15:40,8/27/2021,1540,1,PIED,PIED44,143.4,26.3,37,15.8
LPS3038,2403003,8/27/2021 14:05,8/27/2021,1405,1,PIED,PIED45,84.3,25.7,28.3,12.3
LPS3038,2403003,8/27/2021 13:41,8/27/2021,1341,1,PIED,PIED46,176,26.1,42.2,19.6
LPS3038,2403003,8/27/2021 15:46,8/27/2021,1546,1,PIED,PIED47,184.7,26.3,43.1,20.2
LPS3038,2403003,8/27/2021 13:59,8/27/2021,1359,1,PIED,PIED48,180.6,25.7,43.5,21
LPS3038,2403003,8/27/2021 15:49,8/27/2021,1549,1,PIED,PIED49,73.4,26.3,27,12.4
LPS3038,2403003,8/27/2021 10:04,8/27/2021,1004,1,PIPO,PIPO01,140.6,26.2,38.6,18.3
LPS3038,2403003,8/27/2021 11:15,8/27/2021,1115,1,PIPO,PIPO02,85.4,26,29.5,13.5
LPS3038,2403003,8/27/2021 11:21,8/27/2021,1121,1,PIPO,PIPO03,66.1,26.1,25.3,11.6
LPS3038,2403003,8/27/2021 10:34,8/27/2021,1034,1,PIPO,PIPO04,88,26.7,30.1,14
LPS3038,2403003,8/27/2021 10:18,8/27/2021,1018,1,PIPO,PIPO05,95.5,26.7,32,15.2
LPS3038,2403003,8/27/2021 11:01,8/27/2021,1101,1,PIPO,PIPO06,73.9,26.9,27.8,13.3
LPS3038,2403003,8/27/2021 10:37,8/27/2021,1037,1,PIPO,PIPO07,178.2,26.7,42.4,19.8
LPS3038,2403003,8/27/2021 12:17,8/27/2021,1217,1,PIPO,PIPO08,114.6,26.6,35,16.5
LPS3038,2403003,8/27/2021 9:39,8/27/2021,939,1,PIPO,PIPO09,93.6,25.6,30.9,14.1
LPS3038,2403003,8/27/2021 10:42,8/27/2021,1042,1,PIPO,PIPO10,67.9,26.8,25.7,11.7
LPS3038,2403003,8/27/2021 10:40,8/27/2021,1040,1,PIPO,PIPO11,214.6,26.7,45.7,21.5
LPS3038,2403003,8/27/2021 10:58,8/27/2021,1058,1,PIPO,PIPO12,199,26.8,44.6,21.2
LPS3038,2403003,8/27/2021 10:13,8/27/2021,1013,1,PIPO,PIPO13,50.9,26.7,21.5,10
LPS3038,2403003,8/27/2021 12:22,8/27/2021,1222,1,PIPO,PIPO14,88.9,27,30.8,14.7
LPS3038,2403003,8/27/2021 11:10,8/27/2021,1110,1,PIPO,PIPO15,69.8,25.9,26.2,12
LPS3038,2403003,8/27/2021 11:54,8/27/2021,1154,1,PIPO,PIPO16,169.7,25.9,41.5,19.3
LPS3038,2403003,8/27/2021 10:26,8/27/2021,1026,1,PIPO,PIPO17,174.7,26.5,42,19.6
LPS3038,2403003,8/27/2021 11:18,8/27/2021,1118,1,PIPO,PIPO18,111.5,26.2,34.2,15.8
LPS3038,2403003,8/27/2021 10:48,8/27/2021,1048,1,PIPO,PIPO19,81.3,27,28.9,13.5
LPS3038,2403003,8/27/2021 10:55,8/27/2021,1055,1,PIPO,PIPO20,98.6,26.9,32.5,15.5
LPS3038,2403003,8/27/2021 11:26,8/27/2021,1126,1,PIPO,PIPO21,403.3,26.2,55,25.2
LPS3038,2403003,8/27/2021 10:07,8/27/2021,1007,1,PIPO,PIPO22,67,26.2,25.6,11.8
LPS3038,2403003,8/27/2021 12:12,8/27/2021,1212,1,PIPO,PIPO23,149.5,26.2,39.6,18.7
LPS3038,2403003,8/27/2021 9:52,8/27/2021,952,1,PIPO,PIPO24,263.1,25.8,48.6,22.3
LPS3038,2403003,8/27/2021 12:15,8/27/2021,1215,1,PIPO,PIPO25,87.6,26.4,30.5,14.6
LPS3038,2403003,8/27/2021 11:29,8/27/2021,1129,1,PIPO,PIPO26,123.7,26.2,34.5,14.8
LPS3038,2403003,8/27/2021 11:39,8/27/2021,1139,1,PIPO,PIPO27,134.1,26.4,37.1,17
LPS3038,2403003,8/27/2021 10:21,8/27/2021,1021,1,PIPO,PIPO28,375.9,26.8,54.1,25
LPS3038,2403003,8/27/2021 12:08,8/27/2021,1208,1,PIPO,PIPO29,115.8,26.1,35.4,16.9
LPS3038,2403003,8/27/2021 11:49,8/27/2021,1149,1,PIPO,PIPO30,62.4,25.7,24.6,11.5
LPS3038,2403003,8/27/2021 12:06,8/27/2021,1206,1,PIPO,PIPO31,134.2,26.1,37.6,17.6
LPS3038,2403003,8/27/2021 10:53,8/27/2021,1053,1,PIPO,PIPO32,175.1,26.9,42.4,20
LPS3038,2403003,8/27/2021 11:06,8/27/2021,1106,1,PIPO,PIPO33,86.4,26.2,29.8,13.8
LPS3038,2403003,8/27/2021 11:46,8/27/2021,1146,1,PIPO,PIPO34,70.7,25.7,26.3,12
LPS3038,2403003,8/27/2021 11:13,8/27/2021,1113,1,PIPO,PIPO35,125.2,26.1,35.7,16.2
LPS3038,2403003,8/27/2021 12:01,8/27/2021,1201,1,PIPO,PIPO36,91.4,25.9,31.2,14.8
LPS3038,2403003,8/27/2021 12:03,8/27/2021,1203,1,PIPO,PIPO37,69.3,26,26.6,12.6
LPS3038,2403003,8/27/2021 10:15,8/27/2021,1015,1,PIPO,PIPO38,103.3,26.8,33.1,15.6
LPS3038,2403003,8/27/2021 11:32,8/27/2021,1132,1,PIPO,PIPO39,154.1,26.2,38.2,16.4
LPS3038,2403003,8/27/2021 11:51,8/27/2021,1151,1,PIPO,PIPO40,147.2,25.8,38.8,17.8
LPS3038,2403003,8/27/2021 9:56,8/27/2021,956,1,PIPO,PIPO41,78.3,26,27.8,12.6
