Phase,Chamber,Kestrel,Heatwave,Time,Temperature_C
1,1,calculated,no,0130,19.1
1,1,calculated,no,0200,17.3
1,1,calculated,no,0300,15.6
1,1,calculated,no,0430,12.8
1,1,calculated,no,0600,10
1,1,calculated,no,0730,14.5
1,1,calculated,no,0900,16.5
1,1,calculated,no,1030,19
1,1,calculated,no,1200,28.1
1,1,calculated,no,1330,27.2
1,1,calculated,no,1500,26.3
1,1,calculated,no,1630,25.5
1,1,calculated,no,1800,24.6
1,1,calculated,no,1900,23.7
1,1,calculated,no,2100,22.9
1,1,calculated,no,2300,22
1,1,calculated,no,0000,21.1
1,1,calculated,yes,0130,29.1
1,1,calculated,yes,0200,27.3
1,1,calculated,yes,0300,25.6
1,1,calculated,yes,0430,22.8
1,1,calculated,yes,0600,20
1,1,calculated,yes,0730,24.5
1,1,calculated,yes,0900,26.5
1,1,calculated,yes,1030,29
1,1,calculated,yes,1200,38.1
1,1,calculated,yes,1330,37.2
1,1,calculated,yes,1500,36.3
1,1,calculated,yes,1630,35.5
1,1,calculated,yes,1800,34.6
1,1,calculated,yes,1900,33.7
1,1,calculated,yes,2100,32.9
1,1,calculated,yes,2300,32
1,1,calculated,yes,0000,31.1
1,2,calculated,no,0130,12.7
1,2,calculated,no,0200,11.7
1,2,calculated,no,0300,10.6
1,2,calculated,no,0430,8.5
1,2,calculated,no,0600,6.4
1,2,calculated,no,0730,10.5
1,2,calculated,no,0900,14.6
1,2,calculated,no,1030,18.7
1,2,calculated,no,1200,22.8
1,2,calculated,no,1330,20.8
1,2,calculated,no,1500,18.8
1,2,calculated,no,1630,16.8
1,2,calculated,no,1800,14.8
1,2,calculated,no,1900,14.8
1,2,calculated,no,2100,14.8
1,2,calculated,no,2300,14.8
1,2,calculated,no,0000,14.8
1,2,calculated,yes,0130,22.7
1,2,calculated,yes,0200,21.7
1,2,calculated,yes,0300,20.6
1,2,calculated,yes,0430,18.5
1,2,calculated,yes,0600,16.4
1,2,calculated,yes,0730,20.5
1,2,calculated,yes,0900,24.6
1,2,calculated,yes,1030,28.7
1,2,calculated,yes,1200,32.8
1,2,calculated,yes,1330,30.8
1,2,calculated,yes,1500,28.8
1,2,calculated,yes,1630,26.8
1,2,calculated,yes,1800,24.8
1,2,calculated,yes,1900,24.8
1,2,calculated,yes,2100,24.8
1,2,calculated,yes,2300,24.8
1,2,calculated,yes,0000,24.8
1,3,calculated,no,0130,12.2
1,3,calculated,no,0200,11.2
1,3,calculated,no,0300,10.2
1,3,calculated,no,0430,8.2
1,3,calculated,no,0600,6.2
1,3,calculated,no,0730,10.2
1,3,calculated,no,0900,14.2
1,3,calculated,no,1030,18.2
1,3,calculated,no,1200,22.2
1,3,calculated,no,1330,20.2
1,3,calculated,no,1500,18.2
1,3,calculated,no,1630,16.2
1,3,calculated,no,1800,14.2
1,3,calculated,no,1900,14.2
1,3,calculated,no,2100,14.2
1,3,calculated,no,2300,14.2
1,3,calculated,no,0000,14.2
1,3,calculated,yes,0130,22.2
1,3,calculated,yes,0200,21.2
1,3,calculated,yes,0300,20.2
1,3,calculated,yes,0430,18.2
1,3,calculated,yes,0600,16.2
1,3,calculated,yes,0730,20.2
1,3,calculated,yes,0900,24.2
1,3,calculated,yes,1030,28.2
1,3,calculated,yes,1200,32.2
1,3,calculated,yes,1330,30.2
1,3,calculated,yes,1500,28.2
1,3,calculated,yes,1630,26.2
1,3,calculated,yes,1800,24.2
1,3,calculated,yes,1900,24.2
1,3,calculated,yes,2100,24.2
1,3,calculated,yes,2300,24.2
1,3,calculated,yes,0000,24.2
