Week,Chamber,Species,Variable,Date
1.0,1,PIPO,PercentBrown,2021-08-26
1.0,1,PIED,PercentBrown,2021-08-26
1.0,1,PIPO,Weight,2021-08-26
1.0,1,PIED,Weight,2021-08-26
1.0,1,PIPO,Porometer,2021-08-27
1.0,1,PIED,Porometer,2021-08-27
1.5,1,PIPO,PercentBrown,2021-08-30
1.5,1,PIED,PercentBrown,2021-08-30
2.0,1,PIPO,PercentBrown,2021-09-02
2.0,1,PIED,PercentBrown,2021-09-02
2.0,1,PIPO,Weight,2021-09-02
2.0,1,PIED,Weight,2021-09-02
2.0,1,PIPO,Porometer,2021-09-03
2.0,1,PIED,Porometer,2021-09-03
2.5,1,PIPO,PercentBrown,2021-09-07
2.5,1,PIED,PercentBrown,2021-09-07
3.0,1,PIPO,PercentBrown,2021-09-09
3.0,1,PIED,PercentBrown,2021-09-09
3.0,1,PIPO,Weight,2021-09-09
3.0,1,PIED,Weight,2021-09-09
3.0,1,PIPO,Porometer,2021-09-10
3.0,1,PIED,Porometer,2021-09-10
3.5,1,PIPO,PercentBrown,2021-09-13
3.5,1,PIED,PercentBrown,2021-09-13
4.0,1,PIPO,PercentBrown,2021-09-16
4.0,1,PIED,PercentBrown,2021-09-16
4.0,1,PIPO,Weight,2021-09-16
4.0,1,PIED,Weight,2021-09-16
4.0,1,PIPO,Porometer,2021-09-17
4.0,1,PIED,Porometer,2021-09-17
4.5,1,PIPO,PercentBrown,2021-09-20
4.5,1,PIED,PercentBrown,2021-09-20
5.0,1,PIPO,PercentBrown,2021-09-24
5.0,1,PIED,PercentBrown,2021-09-24
5.0,1,PIPO,Weight,2021-09-24
5.0,1,PIED,Weight,2021-09-24
5.0,1,PIPO,Porometer,2021-09-23
5.0,1,PIED,Porometer,2021-09-23
5.5,1,PIPO,PercentBrown,2021-09-27
5.5,1,PIED,PercentBrown,2021-09-27
6.0,1,PIPO,PercentBrown,2021-09-30
6.0,1,PIED,PercentBrown,2021-09-30
6.0,1,PIPO,Weight,2021-09-30
6.0,1,PIED,Weight,2021-09-30
6.0,1,PIPO,Porometer,2021-10-01
6.0,1,PIED,Porometer,2021-10-01
6.5,1,PIPO,PercentBrown,2021-10-04
6.5,1,PIED,PercentBrown,2021-10-04
7.0,1,PIPO,PercentBrown,2021-10-07
7.0,1,PIED,PercentBrown,2021-10-07
7.0,1,PIPO,Weight,2021-10-07
7.0,1,PIED,Weight,2021-10-07
7.0,1,PIPO,Porometer,2021-10-08
7.0,1,PIED,Porometer,2021-10-08
7.5,1,PIPO,PercentBrown,2021-10-11
7.5,1,PIED,PercentBrown,2021-10-11
8.0,1,PIPO,PercentBrown,2021-10-15
8.0,1,PIED,PercentBrown,2021-10-15
8.0,1,PIPO,Weight,2021-10-15
8.0,1,PIED,Weight,2021-10-15
8.0,1,PIPO,Porometer,2021-10-14
8.0,1,PIED,Porometer,2021-10-14
8.5,1,PIPO,PercentBrown,2021-10-18
8.5,1,PIED,PercentBrown,2021-10-18
9.0,1,PIPO,PercentBrown,2021-10-21
9.0,1,PIED,PercentBrown,2021-10-21
9.0,1,PIPO,Weight,2021-10-21
9.0,1,PIED,Weight,2021-10-21
9.0,1,PIPO,Porometer,2021-10-22
9.0,1,PIED,Porometer,2021-10-22
9.5,1,PIPO,PercentBrown,2021-10-25
9.5,1,PIED,PercentBrown,2021-10-25
10.0,1,PIPO,PercentBrown,2021-10-29
10.0,1,PIED,PercentBrown,2021-10-29
10.0,1,PIPO,Weight,2021-10-29
10.0,1,PIED,Weight,2021-10-29
10.0,1,PIPO,Porometer,2021-10-29
10.0,1,PIED,Porometer,2021-10-29
10.5,1,PIPO,PercentBrown,2021-11-01
10.5,1,PIED,PercentBrown,2021-11-01
11.0,1,PIPO,PercentBrown,2021-11-05
11.0,1,PIED,PercentBrown,2021-11-05
11.0,1,PIPO,Weight,2021-11-05
11.0,1,PIED,Weight,2021-11-05
11.0,1,PIPO,Porometer,2021-11-04
11.0,1,PIED,Porometer,2021-11-04
11.5,1,PIPO,PercentBrown,2021-11-08
11.5,1,PIED,PercentBrown,2021-11-08
12.0,1,PIPO,PercentBrown,2021-11-11
12.0,1,PIED,PercentBrown,2021-11-11
12.0,1,PIPO,Weight,2021-11-11
12.0,1,PIED,Weight,2021-11-11
12.0,1,PIPO,Porometer,2021-11-12
12.0,1,PIED,Porometer,2021-11-12
12.5,1,PIPO,PercentBrown,2021-11-15
12.5,1,PIED,PercentBrown,2021-11-15
13.0,1,PIPO,PercentBrown,2021-11-19
13.0,1,PIED,PercentBrown,2021-11-19
13.0,1,PIPO,Weight,2021-11-19
13.0,1,PIED,Weight,2021-11-19
13.0,1,PIPO,Porometer,2021-11-18
13.0,1,PIED,Porometer,2021-11-18
13.5,1,PIPO,PercentBrown,2021-11-22
13.5,1,PIED,PercentBrown,2021-11-22
14.0,1,PIPO,PercentBrown,2021-11-26
14.0,1,PIED,PercentBrown,2021-11-26
14.0,1,PIPO,Weight,2021-11-26
14.0,1,PIED,Weight,2021-11-26
14.0,1,PIPO,Porometer,2021-11-26
14.0,1,PIED,Porometer,2021-11-26
14.5,1,PIPO,PercentBrown,2021-11-29
14.5,1,PIED,PercentBrown,2021-11-29
15.0,1,PIPO,PercentBrown,2021-12-03
15.0,1,PIED,PercentBrown,2021-12-03
15.0,1,PIPO,Weight,2021-12-03
15.0,1,PIED,Weight,2021-12-03
15.0,1,PIPO,Porometer,2021-12-02
15.0,1,PIED,Porometer,2021-12-02
15.5,1,PIPO,PercentBrown,2021-12-06
15.5,1,PIED,PercentBrown,2021-12-06
16.0,1,PIPO,PercentBrown,2021-12-10
16.0,1,PIED,PercentBrown,2021-12-10
16.0,1,PIPO,Weight,2021-12-10
16.0,1,PIED,Weight,2021-12-10
16.0,1,PIPO,Porometer,2021-12-09
16.0,1,PIED,Porometer,2021-12-09
16.5,1,PIED,PercentBrown,2021-12-13
17.0,1,PIED,PercentBrown,2021-12-17
17.0,1,PIED,Weight,2021-12-17
17.0,1,PIED,Porometer,2021-12-16
17.5,1,PIED,PercentBrown,2021-12-20
18.0,1,PIED,PercentBrown,2021-12-24
18.0,1,PIED,Weight,2021-12-24
18.0,1,PIED,Porometer,2021-12-23
18.5,1,PIED,PercentBrown,2021-12-27
19.0,1,PIED,PercentBrown,2021-12-31
19.0,1,PIED,Weight,2021-12-31
19.0,1,PIED,Porometer,2021-12-30
19.5,1,PIED,PercentBrown,2022-01-03
20.0,1,PIED,PercentBrown,2022-01-07
20.0,1,PIED,Weight,2022-01-07
20.0,1,PIED,Porometer,2022-01-06
20.5,1,PIED,PercentBrown,2022-01-10
21.0,1,PIED,PercentBrown,2022-01-14
21.0,1,PIED,Weight,2022-01-14
21.0,1,PIED,Porometer,2022-01-13
21.5,1,PIED,PercentBrown,2022-01-17
22.0,1,PIED,PercentBrown,2022-01-21
22.0,1,PIED,Weight,2022-01-21
22.5,1,PIED,PercentBrown,2022-01-25
