Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0
PIED,PIED01,760,752,709,661,675,629,679,587,657,616,602,518,551,465,517,445,449,NA,481,432,504,422
PIED,PIED02,794,763,716,643,561,524,484,459,449,440,430,424,420,418,418,417,416,X,X,X,X,X
PIED,PIED03,746,724,690,636,582,545,510,453,429,410,398,389,379,374,372,370,369,X,370,368,X,X
PIED,PIED04,798,753,709,654,581,549,503,463,454,439,434,432,431,429,X,X,X,X,X,X,X,X
PIED,PIED05,803,783,752,708,649,610,562,498,463,437,422,412,399,394,392,390,390,NA,X,X,X,X
PIED,PIED06,821,797,763,725,675,640,590,499,478,454,439,428,412,407,405,403,403,NA,X,401,X,X
PIED,PIED07,797,780,757,723,680,643,582,521,489,454,437,425,413,404,401,399,399,NA,399,397,X,X
PIED,PIED08,848,839,817,787,799,764,780,714,753,740,718,654,696,626,678,604,632,NA,592,531,625,516
PIED,PIED09,699,677,643,596,535,499,450,376,362,349,333,327,325,324,324,322,X,X,X,X,X,X
PIED,PIED10,789,786,726,658,687,628,683,470,534,574,564,479,508,445,501,445,463,NA,489,444,514,435
PIED,PIED11,855,837,816,784,736,685,636,588,567,541,520,506,489,X,X,X,X,X,X,X,X,X
PIED,PIED12,647,606,539,447,388,372,359,341,330,319,316,314,310,308,X,X,X,X,X,X,X,X
PIED,PIED13,769,726,656,561,492,467,452,424,415,407,401,398,396,394,X,X,X,X,X,X,X,X
PIED,PIED14,814,780,724,647,579,548,516,485,474,460,450,446,445,444,443,443,443,X,X,X,X,X
PIED,PIED15,785,788,739,682,699,661,669,517,595,622,610,529,561,474,531,457,469,NA,485,440,523,433
PIED,PIED16,736,698,632,569,517,489,454,417,407,397,388,386,384,383,382,X,X,X,X,X,X,X
PIED,PIED17,705,711,655,595,638,593,634,429,523,580,565,472,521,417,453,383,402,NA,NA,378,464,371
PIED,PIED18,769,708,623,538,504,492,483,468,460,450,444,439,436,433,433,X,X,X,X,X,X,X
PIED,PIED19,885,827,736,647,578,557,542,527,519,510,502,495,488,483,480,478,479,NA,NA,NA,NA,476
PIED,PIED20,798,773,692,600,596,544,587,493,533,539,563,505,548,490,546,495,506,NA,528,489,570,618
PIED,PIED21,778,747,700,635,572,542,514,461,452,442,434,427,419,414,410,406,405,NA,NA,402,403,400
PIED,PIED22,782,807,741,656,651,595,612,552,615,581,602,552,603,547,609,550,546,NA,572,538,595,687
PIED,PIED23,803,772,734,670,609,578,532,457,445,434,422,413,405,403,402,400,399,NA,NA,NA,X,X
PIED,PIED24,822,832,783,720,764,712,759,535,608,632,644,553,582,505,566,496,506,NA,528,487,576,489
PIED,PIED25,749,711,664,576,514,482,446,414,404,394,385,381,378,378,377,376,376,X,X,X,X,X
PIED,PIED26,800,748,683,602,528,497,481,451,444,435,428,421,415,411,410,407,407,NA,NA,X,X,X
PIED,PIED27,688,661,627,565,508,470,423,369,359,348,334,330,328,326,325,324,324,NA,428,X,X,X
PIED,PIED28,747,699,636,555,493,471,451,434,422,411,403,398,394,391,389,387,X,X,X,X,X,X
PIED,PIED29,755,730,691,648,580,528,476,414,395,379,362,360,358,358,358,X,X,X,X,X,X,X
PIED,PIED30,807,793,753,702,649,611,567,479,458,441,420,412,407,404,403,401,X,X,X,X,X,X
PIED,PIED31,808,778,738,692,635,601,565,474,459,446,436,428,420,414,411,409,408,NA,NA,X,X,X
PIED,PIED32,768,734,696,635,549,513,469,436,427,409,397,393,391,389,388,387,387,X,X,X,X,X
PIED,PIED33,723,656,572,499,468,455,444,419,413,405,399,393,388,385,384,382,382,X,X,X,X,X
PIED,PIED34,691,653,620,572,502,455,405,369,350,335,330,328,326,324,324,322,X,X,X,X,X,X
PIED,PIED35,656,624,572,499,420,392,366,343,334,325,319,314,310,308,307,X,X,X,X,X,X,X
PIED,PIED36,736,730,665,579,596,539,589,466,507,508,489,439,457,421,461,422,459,NA,488,428,487,414
PIED,PIED37,742,694,616,535,506,494,484,460,453,446,439,434,427,423,421,419,X,X,X,X,X,X
PIED,PIED38,729,693,655,596,514,483,444,403,390,382,372,366,360,357,357,355,X,X,X,X,X,X
PIED,PIED39,800,775,753,716,662,630,590,521,483,445,419,402,382,371,370,369,370,X,X,X,X,X
PIED,PIED40,789,741,683,618,548,518,488,464,463,451,443,436,428,422,418,414,413,NA,411,409,X,X
PIED,PIED41,841,825,805,778,732,706,672,610,585,562,533,512,490,474,X,X,X,X,X,X,X,X
PIED,PIED42,751,751,649,523,529,493,579,486,573,563,531,477,503,468,533,473,493,NA,526,469,530,458
PIED,PIED43,711,662,594,513,450,435,424,400,395,387,381,379,375,373,X,X,X,X,X,X,X,X
PIED,PIED44,837,783,714,635,566,544,527,510,501,492,483,473,469,463,458,456,455,NA,X,X,X,X
PIED,PIED45,725,705,663,610,553,516,477,416,401,387,373,362,348,345,X,X,X,X,X,X,X,X
PIED,PIED46,602,571,546,502,448,420,390,349,329,307,291,278,274,271,271,269,269,X,X,X,X,X
PIED,PIED47,818,753,660,563,528,507,498,475,469,463,457,441,438,437,435,X,X,X,X,X,X,X
PIED,PIED48,705,661,577,486,432,415,398,371,362,356,352,350,348,347,X,X,X,X,X,X,X,X
PIED,PIED49,815,772,704,617,533,509,500,486,471,460,450,442,433,426,422,418,417,NA,NA,X,X,X
