Species,SpeciesID,week_1.0,week_1.5,week_2.0,week_2.5,week_3.0,week_3.5,week_4.0,week_4.5,week_5.0,week_5.5,week_6.0,week_6.5,week_7.0,week_7.5,week_8.0,week_8.5,week_9.0,week_9.5,week_10.0,week_10.5,week_11.0,week_11.5,week_12.0,week_12.5,week_13.0,week_13.5,week_14.0,week_14.5,week_15.0,week_15.5,week_16.0
PIPO,PIPO01,10%,10%,10%,10%,25%,10%,10%,10%,10%,25%,10%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,10%,10%,10%,10%,10%,10%,25%
PIPO,PIPO02,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,10%,25%,25%,25%,25%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIPO,PIPO03,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,25%,25%,25%,25%,NA,10%,25%,25%,25%,25%,25%,75%,90%,90%,90%,90%,90%,90%
PIPO,PIPO04,10%,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,50%,25%,75%,75%,75%,75%,NA,75%,75%,90%,90%,75%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO05,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,75%,75%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO06,10%,10%,10%,10%,10%,10%,10%,25%,10%,50%,75%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO07,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,25%,25%,10%,25%,25%,25%,25%,NA,75%,75%,75%,90%,75%,90%,75%,90%,X,X,X,X,X
PIPO,PIPO08,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,50%,50%,25%,50%,25%,25%,25%,NA,50%,50%,50%,50%,50%,75%,50%,75%,X,X,X,X,X
PIPO,PIPO09,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,25%,10%,25%,25%,25%,10%,10%,25%,25%,25%,25%,10%
PIPO,PIPO10,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,10%,10%,NA,25%,50%,50%,50%,50%,50%,50%,50%,X,X,X,X,X
PIPO,PIPO11,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X
PIPO,PIPO12,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,50%,50%,25%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO13,75%,50%,50%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO14,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,90%,90%,X,X,X,X,X
PIPO,PIPO15,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,25%,50%,75%,75%,75%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO16,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,50%,25%,10%,50%,90%,90%,90%,NA,75%,50%,75%,75%,75%,50%,75%,75%,X,X,X,X,X
PIPO,PIPO17,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,75%,75%,75%,50%,75%,50%,75%,75%,X,X,X,X
PIPO,PIPO18,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIPO,PIPO19,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,NA,25%,50%,50%,50%,75%,50%,75%,75%,75%,X,X,X,X
PIPO,PIPO20,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,25%,50%,50%,50%,50%,50%,50%,50%,X,X,X,X,X
PIPO,PIPO21,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,50%,50%,50%,50%,50%,75%,75%,50%,X,X,X,X,X
PIPO,PIPO22,10%,10%,10%,25%,25%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO23,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,25%,90%,90%,90%,NA,50%,50%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO,PIPO24,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,10%,10%,10%,10%,25%,25%,10%,25%,25%,25%,25%,25%,25%
PIPO,PIPO25,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,10%,50%,75%,75%,75%,NA,75%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO26,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO,PIPO27,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO,PIPO28,10%,10%,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,25%,75%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO29,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,50%,50%,50%,75%,50%,75%,75%,75%,X,X,X,X,X
PIPO,PIPO30,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,50%,50%,50%,50%,50%,75%,50%,75%,X,X,X,X,X
PIPO,PIPO31,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,10%,50%,50%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO,PIPO32,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,25%,25%,25%,50%,50%,50%,75%,75%,75%,75%,75%,X,X
PIPO,PIPO33,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,75%,75%,75%
PIPO,PIPO34,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,25%,25%,50%,50%,50%,50%,75%,X,X,X,X,X
PIPO,PIPO35,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIPO,PIPO36,50%,50%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO37,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,25%,25%,10%,25%,25%,25%,25%,NA,75%,75%,75%,75%,75%,90%,75%,90%,X,X,X,X,X
PIPO,PIPO38,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,10%,25%,10%,25%,50%,50%,50%,NA,75%,75%,90%,90%,75%,90%,75%,90%,X,X,X,X,X
PIPO,PIPO39,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,NA,25%,25%,50%,75%,50%,50%,50%,75%,50%,X,X,X,X
PIPO,PIPO40,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,50%,25%,50%,75%,75%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO41,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,10%,10%,10%,10%,25%,10%,10%,10%,25%,10%,25%,25%,25%
PIPO,PIPO42,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,50%,35%,90%,90%,90%,90%,NA,90%,90%,90%,90%,90%,90%,90%,90%,X,X,X,X,X
PIPO,PIPO43,10%,10%,10%,25%,25%,25%,25%,50%,50%,50%,50%,75%,25%,50%,75%,75%,75%,NA,75%,75%,75%,75%,75%,75%,75%,90%,75%,X,X,X,X
PIPO,PIPO44,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,25%,25%,25%,NA,25%,25%,50%,50%,50%,50%,50%,75%,50%,X,X,X,X
PIPO,PIPO45,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%,25%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X
PIPO,PIPO46,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,10%,25%,25%,10%,10%,NA,25%,25%,50%,50%,50%,50%,50%,75%,75%,75%,90%,X,X
PIPO,PIPO47,10%,10%,10%,10%,10%,25%,10%,25%,25%,50%,50%,50%,25%,50%,50%,50%,50%,NA,75%,75%,75%,75%,75%,75%,50%,75%,X,X,X,X,X
PIPO,PIPO48,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,10%,25%,25%,10%,25%,25%,25%,25%
PIPO,PIPO49,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,25%,25%,25%,25%,25%,50%,50%,50%,75%,X,X
PIPO,PIPO50,10%,25%,10%,10%,10%,10%,25%,25%,25%,25%,10%,25%,10%,25%,10%,10%,10%,NA,50%,50%,50%,75%,75%,90%,90%,75%,X,X,X,X,X
