Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0
PIPO,PIPO01,140.6,218.4,244.3,NA,234.8,142.3,117.9,152.9,87.3,213.2,147.0,149.9,96.5,226.1,120.0,86.8
PIPO,PIPO02,85.4,105.5,110.5,NA,119.4,72.1,62.1,89.8,81.0,48.0,59.4,51.2,41.3,62.0,53.2,60.8
PIPO,PIPO04,88.0,205.3,282.4,206.9,248.2,82.0,63.7,45.4,49.5,45.7,62.0,59.8,36.8,X,X,X
PIPO,PIPO05,95.5,54.7,99.6,96.1,74.4,78.7,72.8,48.6,56.7,X,X,X,X,X,X,X
PIPO,PIPO08,114.6,225.4,247.4,360.8,264.2,72.2,58.4,40.9,51.0,54.8,67.0,52.7,43.2,X,X,X
PIPO,PIPO11,214.6,95.6,79.8,147.2,103.7,78.8,80.3,68.3,51.4,45.8,53.1,55.4,45.2,64.8,X,X
PIPO,PIPO12,199.0,225.3,141.6,408.5,198.5,111.9,131.4,51.2,53.5,53.1,63.3,58.6,44.1,X,X,X
PIPO,PIPO15,69.8,111.1,74.6,NA,64.2,79.8,94.7,104.6,60.2,74.2,70.5,69.0,52.7,X,X,X
PIPO,PIPO17,174.7,93.4,158.7,111.7,162.6,80.6,80.5,73.9,67.0,45.1,52.4,56.8,48.8,62.3,X,X
PIPO,PIPO18,111.5,118.1,158.0,NA,259.8,65.0,85.3,92.9,65.1,111.6,88.2,121.3,87.8,119.2,75.7,124.5
PIPO,PIPO19,81.3,177.1,160.7,300.7,203.1,83.5,137.1,97.1,53.5,56.1,62.4,57.9,50.7,87.8,X,X
PIPO,PIPO20,98.6,108.8,140.5,138.5,239.5,82.4,79.0,68.3,52.4,54.4,61.4,58.0,48.9,X,X,X
PIPO,PIPO21,403.3,440.9,217.1,318.2,286.1,103.5,125.4,65.3,47.8,70.1,67.7,59.6,48.5,X,X,X
PIPO,PIPO25,87.6,119.9,101.1,125.6,219.3,91.3,86.9,57.2,55.1,58.6,62.7,60.8,42.7,X,X,X
PIPO,PIPO26,123.7,117.5,148.9,178.7,178.7,84.9,62.1,46.4,46.7,52.6,56.1,56.1,47.7,X,X,X
PIPO,PIPO28,375.9,293.1,270.1,187.7,68.1,70.8,69.2,61.3,65.6,54.6,71.5,57.6,43.0,X,X,X
PIPO,PIPO30,62.4,109.6,190.8,199.7,192.0,73.6,69.5,54.3,60.4,52.8,64.2,57.5,48.3,X,X,X
PIPO,PIPO31,134.2,114.9,113.3,201.1,277.7,71.8,48.1,51.1,46.4,32.8,56.0,60.4,44.5,X,X,X
PIPO,PIPO33,86.4,94.1,104.2,124.5,76.4,77.3,97.1,79.9,56.4,104.8,86.4,54.9,44.6,66.9,63.8,64.7
PIPO,PIPO35,125.2,184.7,168.6,NA,189.8,82.5,57.8,47.4,80.3,55.1,61.6,71.6,70.1,79.3,75.1,97.6
PIPO,PIPO38,103.3,93.4,118.7,165.1,97.8,98.9,109.9,47.0,53.1,50.8,55.3,53.2,48.2,X,X,X
PIPO,PIPO39,154.1,129.1,126.4,108.6,115.5,101.6,84.4,56.7,62.9,46.4,59.0,62.1,45.3,66.2,X,X
PIPO,PIPO40,147.2,194.9,215.0,317.4,286.8,88.7,49.8,54.0,57.2,49.4,56.6,55.7,44.8,X,X,X
PIPO,PIPO41,78.3,115.0,208.4,NA,193.3,90.1,68.2,58.8,65.7,60.9,70.9,70.4,63.1,77.6,66.8,73.5
PIPO,PIPO46,154.6,122.5,205.8,182.2,125.3,66.1,64.1,57.2,48.4,36.1,42.5,60.6,38.4,63.7,63.4,X
PIPO,PIPO50,127.9,217.3,304.7,260.1,358.2,119.1,101.6,41.9,49.6,44.4,79.1,63.9,56.5,X,X,X
