Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0,week_23.0,week_24.0
PSME,PSME03,218.3,NA,368.1,297.3,259.8,230.9,197.4,119.8,149.7,198.6,132.9,205,185.4,221.7,170.8,117.6,NA,NA,42.8,292.7,121.6,105.3,106.4,127.4
PSME,PSME04,71.3,NA,144.5,265.9,120.4,200.8,95.4,129,77.1,210.1,86.8,189.7,120,177.3,134.3,93.9,NA,NA,46.5,164.6,114,84.2,69.5,121.8
PSME,PSME05,116.3,NA,198,283.2,188,222.6,153.5,124.8,129.2,206.1,108.2,268.3,151.8,169.9,130.8,80.8,NA,NA,69.3,120.9,104.5,49.2,53.7,88.6
PSME,PSME06,52.9,144,128.2,247,141.3,73.6,75.5,85.5,200.4,155.4,81.1,145.6,72.2,109.1,95.4,52.6,NA,NA,35.4,66.4,62.7,X,X,X
PSME,PSME07,242.8,146.6,328.2,246.7,156.4,301.8,171.6,65.2,63.6,76.8,43.4,79.5,70.8,79.9,89.9,35.2,NA,NA,24.7,56.6,58.6,X,X,X
PSME,PSME08,247.1,342.5,331.2,353.5,254.8,254.2,130.2,59.3,59.6,68.6,40.4,84.9,56.8,85.6,97.1,44.3,NA,NA,26.7,53.5,58,X,X,X
PSME,PSME09,80.4,342.2,266.3,297.4,103.2,102.2,136.7,67.5,77.1,84.3,39.8,75.9,76.9,87.2,77.3,49.9,NA,NA,30.7,72.9,57,X,X,X
PSME,PSME10,89.5,246,309.6,254.7,157.2,56.4,95.6,74.7,108.2,76.2,28.2,70.9,64.3,75.5,54.9,44.9,NA,NA,30.6,58.1,50.7,X,X,X
PSME,PSME11,120.9,260,217.6,224.8,123.4,197.5,107.1,130.3,169.3,134,52,76.4,69.3,73.4,87.1,40,NA,NA,30.1,77.1,63,25.5,X,X
PSME,PSME12,93,281.9,252.1,195,196.3,257.7,128.8,64.9,74.3,88.1,42.2,81.4,65.9,64.1,86.6,40.3,NA,NA,31.6,56.6,50.7,X,X,X
PSME,PSME13,83.8,253,105.9,302.6,225.7,96.4,97.8,57.5,62.1,88.5,35.7,99.4,76.6,70.3,82.7,44.9,NA,NA,29.1,59.6,62.5,X,X,X
PSME,PSME14,126.7,274,289.4,314.2,230.5,245.2,84.2,138.9,126.2,134.9,56.2,173.4,185.1,93.3,95.6,46,NA,NA,28.2,55.7,65.9,30.2,32.1,X
PSME,PSME15,107.7,377.8,235.3,343.1,228.1,187.1,139.7,65.3,54.8,91.6,51.3,88.1,76,73.3,92.9,41.5,NA,NA,20.6,85,58.4,X,X,X
PSME,PSME28,86.3,NA,164,251,170,85.5,83.6,115,148.7,110.1,102.1,144.8,79.9,119.4,112.9,67.7,NA,NA,42.8,64.1,71.7,45.9,45.1,56.8
PSME,PSME29,127.8,NA,197.3,386.2,237.4,314.3,202.3,218.7,282.1,232.2,141.1,143.5,158.4,203.1,185.2,103.7,NA,NA,79.1,154.8,204.1,114.3,91.1,128.3
PSME,PSME30,45.9,NA,96.3,256.8,97.3,106.5,66.4,115.8,183.1,115,86.5,135.9,124.9,174.6,205.8,104.8,NA,NA,54.7,75.8,89.7,42.7,83.4,130.3
PSME,PSME31,179.9,247.9,239.7,307.3,328.6,96.6,135.6,99.8,131.4,207.7,68.5,105.8,63.5,56.2,73.6,42,NA,NA,32.6,65.6,46.5,22.8,24.5,X
PSME,PSME32,209.5,302.3,498.3,476.5,429.4,208.6,132.4,152.8,85.5,91.5,49.1,79,65.5,66.5,86.8,45.8,NA,NA,29.7,66.4,46,X,X,X
PSME,PSME33,77.6,274.2,281,291.8,322.4,207.4,160,116.8,188.6,129.6,38,81.5,74.8,71.6,83,48.7,NA,NA,30.9,59.7,52.9,X,X,X
PSME,PSME34,192.3,361.4,337.5,338.8,173.6,303.9,130.2,113.9,211.6,126.6,51.4,98.2,61.7,83.9,85.1,40.7,NA,NA,23.9,51.7,49.3,X,X,X
PSME,PSME35,104,271.8,346.6,304.6,273.4,126.4,197.9,121.4,276.5,158.3,46.5,94.9,61.1,77.1,90.5,49.3,NA,NA,27.8,66.2,58.3,30,32.7,X
PSME,PSME36,97,405.7,268.9,358.6,222.5,142.9,113.3,202.7,192.3,187.1,128.8,181.5,65.2,102.9,81.9,49.8,NA,NA,26.3,68.1,42.3,22.5,28.2,63.6
PSME,PSME37,65.9,278.3,124.5,310.7,265.8,91.2,101.7,167,276.8,93.3,58,84.8,73.8,68.5,79.7,50.2,NA,NA,30.6,62.2,74.5,X,X,X
PSME,PSME38,139.5,237.5,457.7,226.8,116.2,156.1,98.3,100.3,229.6,224.2,36.2,83.9,44.2,78.3,72.7,37.6,NA,NA,20.3,49.9,63.3,34.4,X,X
PSME,PSME39,83.5,253.5,225.3,258.1,246.6,291.3,127.5,114.8,264.1,154.2,55.8,111.4,55.3,70.3,75.1,51.9,NA,NA,29.5,79.5,48.4,26.6,26.8,X
PSME,PSME40,106.8,308.7,218,341.9,177.7,248.6,101.5,152.8,125,109.8,48.6,90.7,60.9,81.5,85.2,54.3,NA,NA,30.8,60.2,53.2,27,27.2,X
