Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0,week_23.0,week_24.0
PSME,PSME01,683,676,702,685,709,668,699,558,646,593,639,583,641,585,635,NA,659,603,642,567,636,562,615,554
PSME,PSME02,648,642,664,643,676,626,667,525,609,547,608,537,622,554,589,NA,637,570,644,565,627,552,593,517
PSME,PSME03,664,657,690,665,692,642,690,543,621,558,620,534,640,562,588,NA,634,559,654,566,639,552,600,528
PSME,PSME04,666,659,693,671,694,653,706,528,601,540,599,527,609,537,579,NA,616,542,625,532,607,522,548,475
PSME,PSME05,742,735,757,741,760,728,757,636,711,665,691,636,700,634,670,NA,715,654,715,650,703,630,672,606
PSME,PSME06,714,707,686,674,656,628,626,507,474,439,403,379,365,353,345,NA,337,333,331,330,328,X,X,X
PSME,PSME07,592,586,547,521,483,435,405,337,330,322,316,311,308,305,304,NA,NA,NA,301,299,298,X,X,X
PSME,PSME08,697,690,652,630,599,555,517,424,414,405,396,391,387,385,383,NA,382,NA,377,375,372,X,X,X
PSME,PSME09,633,627,594,571,545,510,521,396,381,368,354,344,339,336,334,NA,333,NA,329,327,325,X,X,X
PSME,PSME10,736,729,692,670,640,603,604,482,463,449,435,425,432,422,416,NA,410,406,414,408,404,X,X,X
PSME,PSME11,711,704,681,667,647,615,590,467,436,413,396,386,378,371,367,NA,363,359,358,355,353,351,X,X
PSME,PSME12,702,695,657,633,604,546,516,422,412,400,391,387,385,381,379,NA,NA,NA,373,371,370,X,X,X
PSME,PSME13,649,643,610,584,551,500,465,395,387,378,370,365,362,359,357,NA,355,NA,351,349,347,X,X,X
PSME,PSME14,780,772,759,748,739,715,701,575,547,520,487,465,446,429,417,NA,404,398,394,389,385,382,379,X
PSME,PSME15,632,626,586,553,508,454,426,364,358,352,347,343,342,340,340,NA,339,337,337,335,334,X,X,X
PSME,PSME16,728,721,698,684,665,637,621,513,478,444,406,389,380,371,365,NA,360,356,354,351,349,347,345,X
PSME,PSME17,720,713,680,661,630,595,568,466,453,442,431,424,420,416,414,NA,412,409,407,405,403,X,X,X
PSME,PSME18,652,645,604,569,534,479,446,387,380,370,358,352,351,348,348,NA,348,NA,346,346,344,X,X,X
PSME,PSME19,658,651,607,577,541,493,494,394,387,380,372,368,368,364,363,NA,NA,NA,356,352,351,X,X,X
PSME,PSME20,729,722,695,674,649,611,586,455,432,420,410,403,398,393,390,NA,386,384,383,381,378,X,X,X
