Chamber,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C
1,8/19/2021 0:00,17.8,17.4,96.5,929.7,716,929.8,0,18.3,17.2,1066,17.7
1,8/19/2021 0:30,17.9,17.3,94.6,929.7,717,929.8,0,18.4,17,1072,17.9
1,8/19/2021 1:00,17.8,17.3,95.9,929.7,716,929.8,0,18.3,17.1,1066,17.7
1,8/19/2021 1:30,17.7,17.3,96.5,929.7,717,929.7,0,18.2,17.1,1063,17.6
1,8/19/2021 2:00,17.8,17.3,94.8,929.7,718,929.7,0,18.3,16.9,1067,17.8
1,8/19/2021 2:30,15.1,14.7,95.7,929.4,721,929.4,0,15.6,14.4,963,15.1
1,8/19/2021 3:00,12.7,12.3,95.3,929.2,721,929.4,0,13.1,12,868,12.7
1,8/19/2021 3:30,11.6,11.2,94.8,929.2,722,929.3,0,11.9,10.8,825,11.6
1,8/19/2021 4:00,10.8,10.4,95,929.2,723,929.1,0,11,10,795,10.7
1,8/19/2021 4:30,9.6,9.3,96.1,929,724,929,0,9.9,9,751,9.6
1,8/19/2021 5:00,9.6,9.3,95.7,929,723,929.1,0,9.9,8.9,750,9.6
1,8/19/2021 5:30,8.6,8.2,94.6,929.2,723,929.1,0,8.8,7.8,709,8.6
1,8/19/2021 6:00,7,6.6,95.5,929.2,721,929.3,0,7.1,6.3,643,6.9
1,8/19/2021 6:30,7.1,6.7,95.2,929.2,721,929.3,0,7.2,6.3,646,7
1,8/19/2021 7:00,7.1,6.7,95,929.5,720,929.5,0,7.3,6.4,646,7.1
1,8/19/2021 7:30,9.2,8.9,94.8,929.7,718,929.7,0,9.5,8.5,728,9.2
1,8/19/2021 8:00,11.5,11.1,96.3,929.7,717,929.7,0,11.8,10.9,816,11.4
1,8/19/2021 8:30,11.7,11.3,95.1,929.7,716,929.8,0,12,10.9,824,11.7
1,8/19/2021 9:00,11.8,11.3,95,929.9,716,929.9,0,12,11,825,11.7
1,8/19/2021 9:30,14,13.6,95.7,930,715,930.1,0,14.4,13.3,911,13.9
1,8/19/2021 10:00,16.3,15.9,96.2,930.2,714,930.2,0,16.9,15.7,1002,16.3
1,8/19/2021 10:30,16.5,16.2,95.8,930,715,930.1,0,17.1,15.9,1013,16.5
1,8/19/2021 11:00,16.8,16.3,95.5,929.7,716,929.8,0,17.2,16,1025,16.7
1,8/19/2021 11:30,20.8,20.2,94.8,929.7,717,929.7,0,21.6,19.9,1186,20.7
1,8/19/2021 12:00,24.7,24.1,95.3,929.4,721,929.4,0,27.2,23.9,1351,24.7
1,8/19/2021 12:30,25,24.4,95.1,929.2,721,929.3,0,27.9,24.2,1365,25
1,8/19/2021 13:00,24.7,23.9,94.2,929,724,929,0,26.9,23.7,1352,24.6
1,8/19/2021 13:30,24.5,23.8,94.1,928.5,729,928.5,0,26.8,23.5,1352,24.5
1,8/19/2021 14:00,24.1,23.4,94.8,928,732,928,0,26.1,23.2,1338,24
