Phase,Chamber,Kestrel,Heatwave,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C
1,2,2,no,9/2/2021 0:00,15.4,15.3,99.7,927.7,736,927.7,0,16,15.3,996,15.3
1,2,2,no,9/2/2021 0:30,13.2,13.1,99.7,927.7,734,927.8,0,13.7,13.1,908,13.1
1,2,2,no,9/2/2021 1:00,13.3,13.2,99.7,927.7,734,927.8,0,13.8,13.2,910,13.2
1,2,2,no,9/2/2021 1:30,13.5,13.4,99.2,927.7,735,927.7,0,14,13.4,921,13.5
1,2,2,no,9/2/2021 2:00,13.2,13.1,99.2,927.7,736,927.7,0,13.6,13.1,908,13.1
1,2,2,no,9/2/2021 2:30,12.3,12.3,99.2,927.9,734,927.9,0,12.8,12.2,873,12.3
1,2,2,no,9/2/2021 3:00,11.3,11.3,99.7,927.9,734,927.9,0,11.8,11.2,832,11.3
1,2,2,no,9/2/2021 3:30,10.5,10.5,99.8,928.2,732,928.1,0,10.9,10.4,797,10.4
1,2,2,no,9/2/2021 4:00,9.9,9.8,99.8,928,734,928,0,10.2,9.8,774,9.8
1,2,2,no,9/2/2021 4:30,9.2,9.2,99.8,928.2,731,928.2,0,9.5,9.2,745,9.1
1,2,2,no,9/2/2021 5:00,8.3,8.1,98.3,928.5,728,928.5,0,8.5,8,704,8.2
1,2,2,no,9/2/2021 5:30,7.9,7.8,98.5,928.7,727,928.7,0,8.1,7.7,686,7.8
1,2,2,no,9/2/2021 6:00,7.2,7.1,98.4,928.7,726,928.8,0,7.5,7,659,7.2
1,2,2,no,9/2/2021 6:30,8.3,8.2,98.4,929.2,722,929.3,0,8.6,8.1,698,8.3
1,2,2,no,9/2/2021 7:00,9.9,9.9,98.8,929.5,719,929.5,0,10.3,9.8,760,9.9
1,2,2,no,9/2/2021 7:30,11.1,11,98.8,929.7,717,929.8,0,11.5,11,804,11.1
1,2,2,no,9/2/2021 8:00,12.7,12.6,99.3,930,715,930,0,13.1,12.6,861,12.6
1,2,2,no,9/2/2021 8:30,13.9,13.9,99.8,930.2,714,930.2,0,14.5,13.9,911,13.9
1,2,2,no,9/2/2021 9:00,15.3,15.2,99,930.4,712,930.4,0,15.9,15.2,963,15.3
1,2,2,no,9/2/2021 9:30,16.8,16.7,98.9,930.5,711,930.5,0,17.4,16.6,1020,16.7
1,2,2,no,9/2/2021 10:00,18,18,99.8,930.4,712,930.4,0,18.8,18,1072,18
1,2,2,no,9/2/2021 10:30,19.6,19.4,98.5,930.4,712,930.4,0,20.4,19.3,1134,19.5
1,2,2,no,9/2/2021 11:00,20.7,20.7,99.7,930,715,930.1,0,21.8,20.7,1185,20.7
1,2,2,no,9/2/2021 11:30,22.3,22.1,98.5,929.7,718,929.7,0,23.7,22,1251,22.2
1,2,2,no,9/2/2021 12:00,23.5,23.4,99.1,929.2,722,929.3,0,25.7,23.4,1309,23.5
1,2,2,no,9/2/2021 12:30,23.2,23.1,99.8,929,724,929.1,0,25.1,23.1,1297,23.1
1,2,2,no,9/2/2021 13:00,22.3,22.3,99.8,928.7,726,928.8,0,23.9,22.3,1265,22.3
1,2,2,no,9/2/2021 13:30,21.7,21.7,99.9,928.4,730,928.4,0,22.8,21.6,1242,21.6
1,2,2,no,9/2/2021 14:00,21.1,20.9,98.9,928.2,732,928.2,0,22.1,20.9,1220,21
1,2,2,no,9/2/2021 14:30,20.2,20.1,98.9,927.7,736,927.7,0,21.2,20,1190,20.2
1,2,2,no,9/2/2021 15:00,19.7,19.6,98.7,927.4,738,927.4,0,20.6,19.5,1173,19.7
1,2,2,no,9/2/2021 15:30,18.9,18.8,99.3,926.9,743,926.9,0,19.7,18.8,1147,18.9
1,2,2,no,9/2/2021 16:00,18.5,18.3,98.5,926.7,743,926.8,0,19.2,18.2,1130,18.4
1,2,2,no,9/2/2021 16:30,17.8,17.6,98.8,926.5,746,926.5,0,18.5,17.6,1106,17.8
1,2,2,no,9/2/2021 17:00,17.1,17,98.4,926.5,747,926.5,0,17.8,16.9,1077,17.1
1,2,2,no,9/2/2021 17:30,16.2,16.2,99.9,926.2,749,926.2,0,16.9,16.2,1046,16.2
1,2,2,no,9/2/2021 18:00,15.5,15.5,99.9,926.5,746,926.5,0,16.2,15.5,1016,15.5
1,2,2,no,9/2/2021 18:30,15.5,15.4,99.2,926.5,747,926.5,0,16.1,15.4,1014,15.5
1,2,2,no,9/2/2021 19:00,15.5,15.4,99.4,926.9,743,926.9,0,16.2,15.4,1010,15.5
1,2,2,no,9/2/2021 19:30,15.2,15.2,99.4,927.4,739,927.4,0,15.9,15.2,994,15.2
1,2,2,no,9/2/2021 20:00,15.3,15.2,99.4,927.5,736,927.6,0,15.9,15.2,992,15.2
1,2,2,no,9/2/2021 20:30,15.3,15.2,99.4,928,734,928,0,16,15.2,990,15.3
1,2,2,no,9/2/2021 21:00,15.5,15.4,99.5,928,732,928.1,0,16.1,15.4,995,15.4
1,2,2,no,9/2/2021 21:30,15.3,15.2,99.5,928.2,732,928.2,0,16,15.2,987,15.3
1,2,2,no,9/2/2021 22:00,15.1,15,99.5,928,732,928.1,0,15.8,15,980,15.1
1,2,2,no,9/2/2021 22:30,15.2,15.1,99.5,928,732,928.1,0,15.8,15.1,984,15.1
1,2,2,no,9/2/2021 23:00,15.3,15.2,99.5,928.2,731,928.2,0,16,15.2,987,15.3
1,2,2,no,9/2/2021 23:30,15.2,15.1,99.5,928.5,729,928.5,0,15.9,15.1,980,15.2
1,2,2,no,9/3/2021 0:00,15.6,15.5,98.9,928.4,729,928.4,0,16.1,15.4,996,15.5
1,2,2,no,9/3/2021 0:30,13.5,13.4,98.4,928.4,730,928.4,0,14,13.2,912,13.5
1,2,2,no,9/3/2021 1:00,13.5,13.4,98.9,928.2,731,928.3,0,14,13.3,915,13.5
1,2,2,no,9/3/2021 1:30,13.2,13.1,98.9,928.2,730,928.3,0,13.7,13.1,904,13.2
1,2,2,no,9/3/2021 2:00,13.1,13.1,98.9,928.2,730,928.3,0,13.6,13,900,13.1
1,2,2,no,9/3/2021 2:30,12.2,12.1,98.9,928.2,730,928.4,0,12.7,12,861,12.2
1,2,2,no,9/3/2021 3:00,11.1,11,98.9,928.2,730,928.3,0,11.5,11,820,11.1
1,2,2,no,9/3/2021 3:30,10.4,10.3,98.9,928.2,731,928.3,0,10.7,10.2,789,10.3
1,2,2,no,9/3/2021 4:00,9.9,9.8,98.7,928.2,731,928.3,0,10.3,9.7,771,9.9
1,2,2,no,9/3/2021 4:30,9.2,9.2,100,928.2,732,928.2,0,9.5,9.2,745,9.1
1,2,2,no,9/3/2021 5:00,8.3,8.1,98,928.2,731,928.2,0,8.5,8,708,8.2
1,2,2,no,9/3/2021 5:30,7.5,7.4,98,928.4,730,928.4,0,7.8,7.2,677,7.5
1,2,2,no,9/3/2021 6:00,7.2,7.1,98.9,928.4,730,928.4,0,7.4,7,662,7.1
1,2,2,no,9/3/2021 6:30,8.3,8.2,98.9,928.7,726,928.8,0,8.6,8.2,703,8.3
1,2,2,no,9/3/2021 7:00,9.6,9.5,98.9,929.2,721,929.3,0,10,9.4,749,9.6
1,2,2,no,9/3/2021 7:30,11.4,11.3,98.2,929.5,718,929.6,0,11.8,11.2,817,11.4
1,2,2,no,9/3/2021 8:00,12.4,12.2,98.2,929.7,718,929.7,0,12.8,12.1,853,12.4
1,2,2,no,9/3/2021 8:30,13.8,13.6,98.2,929.7,718,929.7,0,14.2,13.5,908,13.7
1,2,2,no,9/3/2021 9:00,15.3,15.3,99.4,929.9,715,929.9,0,16,15.2,970,15.3
1,2,2,no,9/3/2021 9:30,17,16.7,97.8,930,715,930,0,17.6,16.6,1033,16.9
1,2,2,no,9/3/2021 10:00,18.1,18,98.7,930,715,930,0,18.8,17.9,1080,18.1
1,2,2,no,9/3/2021 10:30,19.6,19.4,98.4,929.7,718,929.7,0,20.5,19.3,1142,19.6
1,2,2,no,9/3/2021 11:00,20.7,20.5,98.4,929.4,720,929.4,0,21.6,20.4,1189,20.6
1,2,2,no,9/3/2021 11:30,22.4,22.1,97.8,928.9,726,928.9,0,23.8,22,1264,22.3
1,2,2,no,9/3/2021 12:00,23.8,23.5,97.5,928.5,728,928.6,0,25.9,23.4,1325,23.7
1,2,2,no,9/3/2021 12:30,23,22.7,97.5,928,732,928.1,0,24.9,22.6,1298,23
1,2,2,no,9/3/2021 13:00,22.4,22.4,99.8,927.9,734,927.9,0,24,22.4,1279,22.4
1,2,2,no,9/3/2021 13:30,21.7,21.6,99.8,927.4,739,927.4,0,22.8,21.6,1254,21.6
1,2,2,no,9/3/2021 14:00,21,20.9,99,927,741,927.1,0,22.1,20.8,1229,21
1,2,2,no,9/3/2021 14:30,20.1,19.9,99,926.5,746,926.5,0,21,19.9,1197,20
1,2,2,no,9/3/2021 15:00,23,19.2,71.9,926.2,750,926.2,0,23.4,17.6,1288,22.9
1,2,2,no,9/3/2021 15:30,22,20,84.3,925.7,753,925.8,0,22.8,19.2,1266,21.9
1,2,2,no,9/3/2021 16:00,20.7,19.2,87.7,925.7,752,925.8,0,21.4,18.6,1218,20.7
1,2,2,no,9/3/2021 16:30,19.9,18.6,88.6,925.7,753,925.7,0,20.5,18,1190,19.9
1,2,2,no,9/3/2021 17:00,17.4,14.7,75.8,925.7,753,925.8,0,16.9,13.1,1077,17.3
1,2,2,no,9/3/2021 17:30,15.9,14.1,82.7,925.5,754,925.6,0,15.9,13,1028,15.9
1,2,2,no,9/3/2021 18:00,14.8,13,83.2,925.7,753,925.7,0,14.8,12,984,14.8
1,2,2,no,9/3/2021 18:30,14,12.5,85.1,925.7,753,925.8,0,13.9,11.5,952,13.9
1,2,2,no,9/3/2021 19:00,13.7,12.5,88.4,926.2,750,926.2,0,13.8,11.8,936,13.6
1,2,2,no,9/3/2021 19:30,13.3,12.4,89.7,926.4,747,926.4,0,13.5,11.7,923,13.3
1,2,2,no,9/3/2021 20:00,13.1,12.2,90,926.7,744,926.8,0,13.3,11.5,909,13.1
1,2,2,no,9/3/2021 20:30,13,12.2,91.5,926.9,743,926.9,0,13.1,11.6,905,12.9
1,2,2,no,9/3/2021 21:00,12.8,12.1,92.3,927,741,927.1,0,13.1,11.6,896,12.8
1,2,2,no,9/3/2021 21:30,12.7,12.1,92.7,927.2,740,927.2,0,13,11.6,892,12.7
1,2,2,no,9/3/2021 22:00,12.7,12,92.8,927.2,740,927.2,0,12.9,11.5,890,12.6
1,2,2,no,9/3/2021 22:30,12.6,12,93.2,927.2,740,927.2,0,12.9,11.6,888,12.6
1,2,2,no,9/3/2021 23:00,12.6,12,93.8,927.2,740,927.2,0,12.8,11.6,886,12.5
1,2,2,no,9/3/2021 23:30,12.6,12.1,94.1,927.2,740,927.3,0,12.9,11.7,885,12.5
1,2,2,no,9/4/2021 0:00,12.5,12.1,94.4,927.5,738,927.5,0,12.9,11.6,880,12.5
1,2,2,no,9/4/2021 0:30,11.3,10.4,90.2,927.2,739,927.3,0,11.4,9.7,832,11.2
1,2,2,no,9/4/2021 1:00,11.1,10.3,91.9,927.4,739,927.4,0,11.3,9.8,825,11.1
1,2,2,no,9/4/2021 1:30,11.1,10.3,91.8,927.5,737,927.6,0,11.2,9.8,820,11
1,2,2,no,9/4/2021 2:00,10.9,10.2,92.6,927.5,738,927.5,0,11,9.7,815,10.8
1,2,2,no,9/4/2021 2:30,10.3,9.5,90.9,927.5,737,927.5,0,10.4,8.9,791,10.2
1,2,2,no,9/4/2021 3:00,9.6,8.7,89.6,927.5,736,927.6,0,9.6,7.9,760,9.5
1,2,2,no,9/4/2021 3:30,8.8,7.9,88.8,927.7,735,927.7,0,8.9,7.1,730,8.8
1,2,2,no,9/4/2021 4:00,8.1,7.2,88.9,927.5,736,927.6,0,8.1,6.4,702,8
1,2,2,no,9/4/2021 4:30,7.3,6.5,88.6,927.7,735,927.8,0,7.4,5.6,671,7.3
1,2,2,no,9/4/2021 5:00,6.8,5.9,89.2,927.5,738,927.5,0,6.8,5.1,651,6.7
1,2,2,no,9/4/2021 5:30,6.4,5.6,89.4,927.5,738,927.5,0,6.5,4.8,638,6.4
1,2,2,no,9/4/2021 6:00,6.2,5.5,90.7,927.5,737,927.6,0,6.3,4.8,631,6.2
1,2,2,no,9/4/2021 6:30,6.3,5.6,91.2,928,734,928,0,6.4,5,629,6.3
1,2,2,no,9/4/2021 7:00,6.3,5.6,90.9,928,732,928.1,0,6.3,4.9,626,6.2
1,2,2,no,9/4/2021 7:30,6.2,5.5,91.1,928.2,730,928.3,0,6.2,4.8,619,6.1
1,2,2,no,9/4/2021 8:00,7.2,6.7,94.5,928.5,728,928.5,0,7.3,6.3,657,7.1
1,2,2,no,9/4/2021 8:30,8.6,8.3,96.3,928.7,726,928.8,0,8.9,8.1,713,8.6
1,2,2,no,9/4/2021 9:00,10.5,10.1,95.3,929,724,929,0,10.7,9.8,784,10.4
1,2,2,no,9/4/2021 9:30,12,11.6,95.8,929.4,721,929.4,0,12.3,11.3,839,11.9
1,2,2,no,9/4/2021 10:00,13.3,12.9,96,929.4,721,929.4,0,13.7,12.7,891,13.2
1,2,2,no,9/4/2021 10:30,14.7,14.3,95.7,929.4,720,929.4,0,15.1,14,947,14.6
1,2,2,no,9/4/2021 11:00,16,15.6,96.3,929.2,723,929.1,0,16.6,15.4,1003,16
