Phase,Chamber,Kestrel,Heatwave,Time,Temperature_C,WetBulb_C,PercentRH,Barometer_MB,Altitude_M,StationPressure_MB,WindSpeed_M/S,HeatIndex_C,DewPoint_C,DensityAltitude_M,WindChill_C
1,1,1,yes,10/7/2021 0:00,32.1,19.4,31,930,715,930,0,31.6,12.9,1532,32.1
1,1,1,yes,10/7/2021 0:30,29.4,21.7,52,930,714,930.1,0,31.1,18.5,1468,29.4
1,1,1,yes,10/7/2021 1:00,29.1,21.4,51.7,930,714,930.1,0,30.5,18.2,1456,29.1
1,1,1,yes,10/7/2021 1:30,29.2,21,49.8,930,715,930.1,0,30.4,17.6,1455,29.2
1,1,1,yes,10/7/2021 2:00,29.2,20.9,49,930.2,713,930.2,0,30.1,17.4,1451,29.1
1,1,1,yes,10/7/2021 2:30,27.6,19.8,49.8,930,715,930.1,0,27.8,16.2,1396,27.6
1,1,1,yes,10/7/2021 3:00,25.2,18.1,51.9,930.4,711,930.4,0,24.7,14.6,1301,25.1
1,1,1,yes,10/7/2021 3:30,23.6,15.9,46.6,930.5,711,930.5,0,22.7,11.5,1234,23.5
1,1,1,yes,10/7/2021 4:00,22.5,14.5,43.3,930.5,710,930.6,0,21.6,9.4,1186,22.4
1,1,1,yes,10/7/2021 4:30,21.6,13.9,44.2,930.7,707,930.8,0,20.9,8.8,1152,21.5
1,1,1,yes,10/7/2021 5:00,21.2,13.7,44.6,931,706,931,0,20.3,8.7,1137,21.1
1,1,1,yes,10/7/2021 5:30,21.4,13.7,43.3,931.2,703,931.3,0,20.7,8.4,1140,21.4
1,1,1,yes,10/7/2021 6:00,19.9,12.9,45.8,931.7,700,931.7,0,18.6,7.9,1083,19.9
1,1,1,yes,10/7/2021 6:30,19.3,12.6,47.8,931.9,698,931.9,0,17.7,7.9,1058,19.2
1,1,1,yes,10/7/2021 7:00,19.3,12.6,47.4,932,697,932.1,0,17.6,7.8,1056,19.3
1,1,1,yes,10/7/2021 7:30,20.8,13.4,44.8,932.2,696,932.1,0,19.7,8.4,1110,20.8
1,1,1,yes,10/7/2021 8:00,23.2,14.5,40,932.2,695,932.2,0,22.1,8.9,1193,23.2
1,1,1,yes,10/7/2021 8:30,24.3,17.2,50.8,932.2,695,932.3,0,23.7,13.5,1247,24.3
1,1,1,yes,10/7/2021 9:00,24.5,16.8,47.4,932.2,696,932.2,0,23.7,12.6,1251,24.5
1,1,1,yes,10/7/2021 9:30,25.9,17.8,46.8,932.2,695,932.2,0,25.2,13.6,1301,25.8
1,1,1,yes,10/7/2021 10:00,28.1,19.8,47.6,931.7,700,931.8,0,28.3,15.9,1392,28.1
1,1,1,yes,10/7/2021 10:30,29,19.7,43.7,931.7,700,931.7,0,29.1,15.4,1420,29
1,1,1,yes,10/7/2021 11:00,29.1,20.1,45.1,931.5,702,931.5,0,29.5,16,1428,29.1
1,1,1,yes,10/7/2021 11:30,31.7,22.2,45.1,931.2,703,931.4,0,33.8,18.4,1528,31.7
1,1,1,yes,10/7/2021 12:00,34.8,25.2,47.4,930.7,707,930.8,0,40.6,21.9,1655,34.7
1,1,1,yes,10/7/2021 12:30,35.9,25.7,45.7,930.2,712,930.4,0,42.5,22.3,1700,35.8
1,1,1,yes,10/7/2021 13:00,36,25.8,45.7,929.7,717,929.7,0,42.7,22.4,1712,35.9
1,1,1,yes,10/7/2021 13:30,36,25.8,45.4,929.2,721,929.3,0,42.8,22.4,1714,36
1,1,1,yes,10/7/2021 14:00,36,25.8,45.6,929.2,723,929.1,0,42.8,22.4,1719,36
1,1,1,yes,10/7/2021 14:30,33.9,21.4,34.1,928.7,726,928.8,0,35.1,15.9,1615,33.9
1,1,1,yes,10/7/2021 15:00,35.6,26.8,52,928.5,727,928.6,0,44.4,24.2,1723,35.5
1,1,1,yes,10/7/2021 15:30,35.9,27.1,51.9,928.7,727,928.6,0,45.2,24.4,1733,35.8
1,1,1,yes,10/7/2021 16:00,36.1,26.8,50,928.5,729,928.5,0,44.8,24,1738,36
1,1,1,yes,10/7/2021 16:30,36.2,26.7,49.1,928.7,727,928.7,0,44.9,23.8,1739,36.2
1,1,1,yes,10/7/2021 17:00,36.1,26.3,47.2,928.7,727,928.6,0,43.8,23.1,1731,36.1
1,1,1,yes,10/7/2021 17:30,36.2,27.2,51.5,929,724,929,0,45.7,24.6,1740,36.1
1,1,1,yes,10/7/2021 18:00,36.3,26.9,49.4,929.2,721,929.3,0,45.4,24,1736,36.3
1,1,1,yes,10/7/2021 18:30,36.2,26.4,47.6,929.5,720,929.5,0,44.2,23.3,1728,36.2
1,1,1,yes,10/7/2021 19:00,36.2,27.1,51,929.7,717,929.7,0,45.6,24.4,1731,36.1
1,1,1,yes,10/7/2021 19:30,35.5,26.7,51.4,929.9,716,929.9,0,44.2,23.9,1703,35.5
1,1,1,yes,10/7/2021 20:00,34.9,25.9,50.1,930.4,712,930.4,0,42.2,23,1672,34.9
1,1,1,yes,10/7/2021 20:30,34,24.9,48.5,930.4,712,930.4,0,39.4,21.7,1636,34
1,1,1,yes,10/7/2021 21:00,33.2,24.5,50.4,930.5,709,930.6,0,38.1,21.5,1603,33.1
1,1,1,yes,10/7/2021 21:30,32.9,24.6,51.9,930.5,709,930.6,0,37.9,21.7,1595,32.8
1,1,1,yes,10/7/2021 22:00,32.6,24.2,51.3,930.7,708,930.7,0,37,21.2,1579,32.5
1,1,1,yes,10/7/2021 22:30,32.4,23.9,50.5,930.7,709,930.7,0,36.4,20.8,1571,32.3
1,1,1,yes,10/7/2021 23:00,32.3,23.3,48,931,706,931,0,35.7,19.9,1561,32.3
1,1,1,yes,10/7/2021 23:30,32.1,21.3,39.7,930.7,708,930.8,0,33.4,16.7,1540,32.1
1,1,1,yes,10/8/2021 0:00,32,21,39,930.5,710,930.5,0,33.1,16.3,1536,32
1,1,1,yes,10/8/2021 0:30,29.5,21.9,52.7,930.7,709,930.7,0,31.4,18.9,1467,29.5
1,1,1,yes,10/8/2021 1:00,29.5,21.7,52.1,930.4,712,930.4,0,31.1,18.6,1466,29.4
1,1,1,yes,10/8/2021 1:30,29.5,21.7,51.7,930.4,711,930.4,0,31,18.5,1466,29.4
1,1,1,yes,10/8/2021 2:00,29.4,21.4,51,930.5,710,930.5,0,30.9,18.2,1461,29.4
1,1,1,yes,10/8/2021 2:30,27.7,20.1,51.5,930.5,711,930.5,0,28.1,16.8,1397,27.7
1,1,1,yes,10/8/2021 3:00,25.2,18,51.4,930.5,709,930.6,0,24.6,14.4,1298,25.1
1,1,1,yes,10/8/2021 3:30,23.5,16.1,48.3,930.4,712,930.4,0,22.7,11.9,1231,23.4
1,1,1,yes,10/8/2021 4:00,22.5,15.4,48.9,930.9,707,930.9,0,22,11.2,1191,22.5
1,1,1,yes,10/8/2021 4:30,21.5,14.8,49.9,930.9,707,930.9,0,21.1,10.6,1155,21.5
1,1,1,yes,10/8/2021 5:00,21.2,14.5,49.8,931.5,702,931.5,0,20.5,10.3,1136,21.1
1,1,1,yes,10/8/2021 5:30,20.2,13.8,50.9,931.7,700,931.7,0,19.1,9.7,1097,20.1
1,1,1,yes,10/8/2021 6:00,19,13.2,53.4,932,697,932,0,17.7,9.3,1052,19
1,1,1,yes,10/8/2021 6:30,18.7,13.1,54.6,932.4,694,932.4,0,17.3,9.4,1039,18.7
1,1,1,yes,10/8/2021 7:00,18.6,13.1,55,932.5,692,932.6,0,17.2,9.4,1033,18.6
