Phase,Chamber,Kestrel,Heatwave,Name,Model,Serial,Firmware,HardwareVersion,LinkVersion
1,1,1,no,Phase1_Chamber1_Kestrel1,5500,2115101,1.02,Rev8D,1.04.04
1,1,2,no,Phase1_Chamber1_Kestrel2,5500,2129222,1.04,Rev11A,1.04.04
1,2,1,no,Phase1_Chamber2_Kestrel1,5500,2115104,1.02,Rev8D,1.04.04
1,2,2,no,Phase1_Chamber2_Kestrel2,5500,2129225,1.04,Rev11A,1.04.04
1,3,1,no,Phase1_Chamber3_Kestrel1,5500,2135079,1.05,Rev11A,1.04.04
1,3,2,no,Phase1_Chamber3_Kestrel2,5500,2115100,1.02,Rev8D,1.04.04
1,1,1,yes,Phase1_Heatwave_Kestrel1,5500,2129223,1.04,Rev11A,1.04.04
1,1,2,yes,Phase1_Heatwave_Kestrel2,5500,2129224,1.04,Rev11A,1.04.04
1,2,1,yes,Phase1_Heatwave_Kestrel1,5500,2129223,1.04,Rev11A,1.04.04
1,2,2,yes,Phase1_Heatwave_Kestrel2,5500,2129224,1.04,Rev11A,1.04.04
1,3,1,yes,Phase1_Heatwave_Kestrel1,5500,2129223,1.04,Rev11A,1.04.04
1,3,2,yes,Phase1_Heatwave_Kestrel2,5500,2129224,1.04,Rev11A,1.04.04
