Time,Phase,Chamber,Heatwave,Temperature_C
130,2,1,no,23.1
200,2,1,no,21.3
300,2,1,no,19.6
430,2,1,no,16.8
600,2,1,no,14.0
730,2,1,no,18.5
900,2,1,no,20.5
1030,2,1,no,23.0
1200,2,1,no,32.1
1330,2,1,no,31.2
1500,2,1,no,30.3
1630,2,1,no,29.5
1800,2,1,no,28.6
1900,2,1,no,27.7
2100,2,1,no,26.9
2300,2,1,no,26.0
2400,2,1,no,25.1
130,2,1,yes,33.1
200,2,1,yes,31.3
300,2,1,yes,29.6
430,2,1,yes,26.8
600,2,1,yes,24.0
730,2,1,yes,28.5
900,2,1,yes,30.5
1030,2,1,yes,33.0
1200,2,1,yes,42.1
1330,2,1,yes,41.2
1500,2,1,yes,40.3
1630,2,1,yes,39.5
1800,2,1,yes,38.6
1900,2,1,yes,37.7
2100,2,1,yes,36.9
2300,2,1,yes,36.0
2400,2,1,yes,35.1
130,2,2,no,16.7
200,2,2,no,15.7
300,2,2,no,14.6
430,2,2,no,12.5
600,2,2,no,10.4
730,2,2,no,14.5
900,2,2,no,18.6
1030,2,2,no,22.7
1200,2,2,no,26.8
1330,2,2,no,24.8
1500,2,2,no,22.8
1630,2,2,no,20.8
1800,2,2,no,18.8
1900,2,2,no,18.8
2100,2,2,no,18.8
2300,2,2,no,18.8
2400,2,2,no,18.8
130,2,2,yes,26.7
200,2,2,yes,25.7
300,2,2,yes,24.6
430,2,2,yes,22.5
600,2,2,yes,20.4
730,2,2,yes,24.5
900,2,2,yes,28.6
1030,2,2,yes,32.7
1200,2,2,yes,36.8
1330,2,2,yes,34.8
1500,2,2,yes,32.8
1630,2,2,yes,30.8
1800,2,2,yes,28.8
1900,2,2,yes,28.8
2100,2,2,yes,28.8
2300,2,2,yes,28.8
2400,2,2,yes,28.8
130,2,3,no,16.2
200,2,3,no,15.2
300,2,3,no,14.2
430,2,3,no,12.2
600,2,3,no,10.2
730,2,3,no,14.2
900,2,3,no,18.2
1030,2,3,no,22.2
1200,2,3,no,26.2
1330,2,3,no,24.2
1500,2,3,no,22.2
1630,2,3,no,20.2
1800,2,3,no,18.2
1900,2,3,no,18.2
2100,2,3,no,18.2
2300,2,3,no,18.2
2400,2,3,no,18.2
130,2,3,yes,26.2
200,2,3,yes,25.2
300,2,3,yes,24.2
430,2,3,yes,22.2
600,2,3,yes,20.2
730,2,3,yes,24.2
900,2,3,yes,28.2
1030,2,3,yes,32.2
1200,2,3,yes,36.2
1330,2,3,yes,34.2
1500,2,3,yes,32.2
1630,2,3,yes,30.2
1800,2,3,yes,28.2
1900,2,3,yes,28.2
2100,2,3,yes,28.2
2300,2,3,yes,28.2
2400,2,3,yes,28.2
