Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0
PIED,PIED01,156.0,162.0,229.3,NA,140.5,95.2,93.9,103.9,76.6,114.0,181.7,161.3,131.6,223.2,170.0,173.4,178.8,53.0,NA,NA,200.4
PIED,PIED03,60.3,200.1,133.8,198.0,96.1,85.7,124.0,123.4,55.0,59.0,54.9,66.0,51.1,68.9,64.3,57.8,101.4,X,X,X,X
PIED,PIED04,232.4,344.1,369.1,410.9,354.7,122.5,180.0,46.8,47.2,55.4,50.9,56.1,49.7,64.7,X,X,X,X,X,X,X
PIED,PIED06,68.2,228.9,175.3,96.9,176.3,105.8,94.5,72.0,78.8,85.5,97.0,54.5,43.7,57.8,71.1,64.6,98.9,54.0,X,X,X
PIED,PIED07,80.3,137.1,128.1,229.2,123.7,94.8,117.0,196.7,66.0,70.1,58.5,53.6,44.4,55.8,50.5,48.2,77.3,49.5,NA,NA,X
PIED,PIED10,108.0,220.3,249.8,NA,209.9,116.0,158.0,79.4,135.0,236.2,243.5,198.9,244.4,92.8,178.8,69.7,130.6,57.5,NA,NA,127.4
PIED,PIED12,88.3,277.9,262.8,443.7,131.5,78.9,53.3,48.2,49.5,71.8,55.7,69.3,54.0,60.7,X,X,X,X,X,X,X
PIED,PIED13,109.4,161.0,196.6,263.1,272.4,79.5,66.1,52.1,54.6,54.3,57.3,60.3,56.0,75.7,X,X,X,X,X,X,X
PIED,PIED15,97.3,391.3,127.6,NA,177.9,98.6,96.6,144.9,77.9,83.6,137.3,160.6,117.0,147.9,115.4,92.5,145.3,48.4,NA,NA,105.5
PIED,PIED16,176.4,331.1,342.0,317.9,262.1,99.4,172.8,57.6,55.7,88.1,56.3,62.6,56.1,75.6,X,X,X,X,X,X,X
PIED,PIED17,99.1,132.1,102.8,NA,207.0,81.3,76.0,146.3,81.8,115.4,91.6,234.2,172.8,276.0,150.7,104.3,167.5,70.7,NA,NA,121.2
PIED,PIED22,87.4,217.0,248.9,NA,201.0,96.4,100.3,60.4,85.4,101.6,97.0,68.3,166.1,75.7,158.3,60.0,81.0,45.8,NA,NA,69.1
PIED,PIED23,136.2,231.4,293.1,232.5,226.1,101.8,117.4,48.1,44.9,66.9,61.0,53.8,41.5,69.0,61.8,67.3,93.6,NA,NA,X,X
PIED,PIED28,169.6,237.8,209.7,266.1,151.4,75.8,68.5,53.1,45.1,50.3,49.4,50.4,49.1,54.8,69.9,59.1,X,X,X,X,X
PIED,PIED30,110.6,183.1,253.7,186.4,122.3,129.1,222.6,115.1,48.2,58.8,66.9,62.7,57.6,79.2,74.1,64.7,X,X,X,X,X
PIED,PIED31,110.0,109.2,149.0,148.7,104.0,88.2,65.3,50.6,52.8,52.4,56.6,57.9,51.9,69.7,62.8,63.6,94.2,NA,NA,X,X
PIED,PIED32,223.6,210.2,183.4,237.0,177.5,94.4,131.0,50.5,46.4,51.4,57.9,62.9,53.9,78.9,69.0,63.5,80.8,X,X,X,X
PIED,PIED33,219.5,218.9,227.3,211.2,80.0,90.7,78.1,52.4,64.3,61.0,85.5,77.6,56.1,72.0,93.1,70.1,100.0,X,X,X,X
PIED,PIED34,96.4,106.4,134.6,189.8,100.5,72.7,108.6,69.8,41.0,47.6,56.9,67.3,53.6,57.8,67.3,62.7,X,X,X,X,X
PIED,PIED35,189.2,188.0,288.8,172.8,194.9,86.3,55.3,46.8,41.4,64.2,57.2,64.4,58.2,70.4,59.9,X,X,X,X,X,X
PIED,PIED36,122.1,372.8,309.1,NA,285.1,153.9,255.6,193.1,243.5,213.5,385.4,91.1,218.8,72.8,144.3,51.0,159.1,52.2,NA,NA,334.5
PIED,PIED38,149.5,181.3,190.4,253.7,148.6,75.1,144.9,61.7,41.3,58.4,56.6,69.7,52.9,68.2,75.5,63.7,X,X,X,X,X
PIED,PIED39,133.7,98.9,99.1,165.7,79.9,70.9,174.7,166.7,72.6,113.9,114.9,58.1,66.8,59.0,68.0,72.8,X,X,X,X,X
PIED,PIED43,191.5,218.6,177.9,224.5,149.5,100.8,58.9,53.3,49.2,56.7,65.1,60.1,50.2,64.0,X,X,X,X,X,X,X
PIED,PIED46,176.0,110.5,223.2,354.7,158.4,87.4,95.8,86.6,100.8,48.8,47.5,68.6,50.6,48.0,55.5,64.5,80.3,X,X,X,X
PIED,PIED49,73.4,207.9,94.8,218.4,76.1,67.1,68.7,73.5,53.2,57.9,53.1,71.8,61.5,54.6,62.0,58.3,88.8,81.9,NA,X,X
