Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0,week_23.0
PIEN,PIEN03,204.1,290.6,144.6,67.3,127.7,105.8,118.6,84.8,146.2,114.2,120,141.7,49.4,NA,NA,33.8,70.4,56,41.8,40.6,66.8,80.2,96
PIEN,PIEN04,260.4,227.4,109.4,126.6,85.5,74.5,73.8,105.5,129.1,132,75.4,146.4,86.1,NA,NA,42,82.8,65.7,32.3,40.7,62.3,81.6,63
PIEN,PIEN05,245.2,182.7,160.2,163.2,118.1,102.6,96.8,84.2,110.9,92.4,98.9,138.1,92.1,NA,NA,54.8,84.3,85.8,55.3,49,91.3,106,91.6
PIEN,PIEN06,154.9,155.3,165.5,87.7,130.6,114.8,104.7,105.3,150.5,137.2,76.5,118.9,55.6,NA,NA,22.2,62.3,38.4,X,X,X,X,X
PIEN,PIEN07,201.3,169.5,126.3,108.6,106.1,77.5,71.5,107.8,136.8,92.9,77.4,116.5,58,NA,NA,28.5,49.8,40,19.6,21.3,31.9,62.9,X
PIEN,PIEN08,223.6,121.7,107.9,65.3,105.6,87.4,102.3,77.2,194.8,99.3,87.1,108,55.7,NA,NA,33.8,78.5,59.2,23.8,19.3,48.4,X,X
PIEN,PIEN09,253.8,228,161.7,98.2,113.4,115.2,124.8,135.6,190.6,146.5,107.3,113.1,62.6,NA,NA,23.9,54.7,36.7,X,X,X,X,X
PIEN,PIEN10,173.6,171.7,79,88.9,111.3,104.5,91.2,87.3,124.6,128,103.1,129.9,56.6,NA,NA,26.5,67.2,50.7,17.8,19.4,46.7,73.9,X
PIEN,PIEN11,175.1,128.2,157.2,114.4,114.2,98.4,77.8,85.7,168.5,125.1,79.3,109.3,64.4,NA,NA,30.1,67,49,32.7,28.8,40.9,80.5,X
PIEN,PIEN12,320.8,356.1,180.3,138.8,152.6,121.3,120.1,101.9,151,116.9,115.5,130.3,76.7,NA,NA,29.1,67.2,53.5,22.9,X,X,X,X
PIEN,PIEN13,210.8,253.2,174.9,165.2,169.1,125.5,120,96.7,174.1,135.6,154.1,159.6,104.5,NA,NA,37.2,66.3,55.3,22.1,23.7,59.1,X,X
PIEN,PIEN14,319.6,243.8,202,167.3,125.7,132.8,88.7,131.7,156.2,129,137.4,136.2,56.7,NA,NA,19.8,63.8,47.3,X,X,X,X,X
PIEN,PIEN15,148,280,100.5,126,143.3,89,103.7,131.5,144.3,140.1,91.9,126.2,59.1,NA,NA,28.1,65,44.1,22.9,35,X,X,X
PIEN,PIEN28,174.6,233.6,125.1,101.5,88.9,71.3,87.9,111,135.5,96,117,99,81.3,NA,NA,55.8,86.6,97.6,32.9,47.7,79.2,96.1,115.5
PIEN,PIEN29,150.3,157.3,108.9,93.4,80.6,115.2,87.2,92.3,117.5,106.5,96.8,73.5,52.8,NA,NA,45.6,86.7,95.5,28,43.1,70.3,77.2,64.3
PIEN,PIEN30,132.9,134.8,96.3,78.2,117.9,66.2,81.9,95.5,109.3,83.8,102.9,99.7,62.4,NA,NA,37.6,77.8,67.2,32.4,43,52.1,74,69.3
PIEN,PIEN31,265.6,211.4,108.2,163.6,161.1,148.5,184.5,129.9,153.8,109,114.2,178.3,63.3,NA,NA,30.6,70.7,57.1,23,24.7,38.5,X,X
PIEN,PIEN32,147.5,145.7,76.4,88.5,90.7,108.7,98.7,86.5,125.3,79.1,117.1,115.4,69.3,NA,NA,30.9,98.5,63.5,25.7,31.9,57.8,X,X
PIEN,PIEN33,207.8,161.9,84.6,122.7,150.7,92.6,96.6,113.6,115.6,100.9,94.4,92.8,65.2,NA,NA,27.4,66.4,46.4,19.8,36,X,X,X
PIEN,PIEN34,272.5,218.5,127.4,116.4,132.1,89.9,94.5,106.6,127.5,83.7,94.2,108.4,64.3,NA,NA,25.4,68,64.7,21.9,X,X,X,X
PIEN,PIEN35,204.8,223.4,133.5,118.1,138.3,100.7,80.8,106.6,134.4,75.1,86.3,96.5,52.2,NA,NA,27.5,58.3,35.2,21,X,X,X,X
PIEN,PIEN36,327.9,339.1,227,224.6,270,108.1,100.6,160.1,125.1,106.5,123.5,139.9,71.6,NA,NA,28.5,78.2,38.5,X,X,X,X,X
PIEN,PIEN37,124.5,125.2,93,91.2,100.5,85.4,82.1,73.7,99.6,101.9,88.8,92,67.6,NA,NA,30.6,70.8,46,23.1,21.4,51.7,54.2,X
PIEN,PIEN38,169.9,177.9,70.4,119,60.3,113.8,83.9,94.8,121.4,106.6,126.1,163.3,56.1,NA,NA,30.4,115.9,58.3,24.4,39.9,45.7,79.9,40
PIEN,PIEN39,244.2,234.9,103.9,151,108.8,79.7,78.5,101.2,94.2,81.9,102.2,109.6,71.6,NA,NA,26.7,75.1,51.2,23.6,42.6,48.9,75.3,X
PIEN,PIEN40,218,235.4,127.9,131.7,153.8,86.9,80.3,84.7,105.7,98.6,98.5,90.1,57.8,NA,NA,26.4,49.8,43.1,X,X,X,X,X
