Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0,week_23.0,week_24.0
PIEN,PIEN01,766,795,764,789,798,796,762,662,621,743,692,699,NA,737,688,740,679,733,674,707,647,766,704,721
PIEN,PIEN02,794,797,767,792,793,777,744,658,617,734,685,688,NA,720,662,735,674,733,688,733,670,741,673,706
PIEN,PIEN03,820,819,778,801,801,810,769,684,635,757,711,733,NA,747,695,742,680,739,684,711,645,769,696,732
PIEN,PIEN04,821,841,805,839,835,824,787,700,651,767,720,740,NA,743,694,752,687,755,704,740,676,779,710,753
PIEN,PIEN05,866,871,846,863,848,843,808,722,677,778,726,740,NA,756,705,753,690,750,687,708,643,760,683,702
PIEN,PIEN06,755,737,714,690,664,631,601,487,450,423,405,391,NA,373,366,360,353,345,341,338,X,X,X,X
PIEN,PIEN07,840,827,811,792,765,746,727,632,602,574,536,513,NA,473,455,436,424,415,407,400,396,394,X,X
PIEN,PIEN08,822,808,787,767,739,715,691,585,549,519,489,468,NA,435,420,409,395,386,378,369,364,362,X,X
PIEN,PIEN09,780,756,721,694,654,625,593,519,496,477,459,444,NA,429,422,415,407,402,398,394,X,X,X,X
PIEN,PIEN10,842,827,803,783,754,733,704,622,587,559,532,514,NA,483,470,459,449,442,435,428,423,421,X,X
PIEN,PIEN11,921,906,893,874,852,828,802,682,643,610,583,563,NA,536,521,509,497,491,482,474,467,464,X,X
PIEN,PIEN12,806,788,756,733,704,682,662,578,546,523,485,463,NA,439,430,420,413,407,400,395,391,X,X,X
PIEN,PIEN13,834,820,799,783,752,734,718,638,613,592,553,523,NA,484,466,455,441,431,423,414,407,405,400,X
PIEN,PIEN14,856,836,796,770,735,711,687,594,560,534,504,484,NA,463,454,446,438,432,424,420,X,X,X,X
PIEN,PIEN15,851,834,809,789,765,740,708,603,558,528,506,486,NA,463,451,442,433,426,418,411,406,405,X,X
PIEN,PIEN16,801,778,740,711,683,651,622,531,504,483,466,455,NA,437,429,420,414,408,402,397,393,391,X,X
PIEN,PIEN17,815,793,754,726,688,662,642,540,513,487,461,445,NA,425,416,409,402,397,393,389,X,X,X,X
PIEN,PIEN18,813,798,768,750,713,687,664,572,542,521,503,485,NA,458,444,433,422,413,406,398,392,389,X,X
PIEN,PIEN19,793,766,730,702,661,621,591,513,487,466,447,436,NA,421,413,407,399,394,391,388,X,X,X,X
PIEN,PIEN20,860,836,809,789,763,735,708,621,586,552,524,507,NA,NA,468,455,445,437,430,423,417,415,X,X
PIEN,PIEN21,764,736,704,674,643,614,582,499,478,461,447,437,NA,422,415,408,400,394,391,389,X,X,X,X
PIEN,PIEN22,771,743,717,688,654,621,589,496,470,453,437,427,NA,413,406,398,392,388,381,378,X,X,X,X
PIEN,PIEN23,774,751,722,702,676,647,617,533,506,487,468,455,NA,431,418,408,400,393,387,381,376,X,X,X
PIEN,PIEN24,848,822,784,760,722,680,647,547,520,499,484,477,NA,462,456,448,442,437,433,430,427,X,X,X
