Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0,week_23.0,week_24.0,week_25.0,week_26.0,week_27.0,week_28.0,week_29.0,week_30.0,week_31.0,week_32.0,week_33.0,week_34.0,week_35.0,week_36.0
PIFL,PIFL03,172.9,NA,264.2,389,125.5,102.9,74.5,282.2,128.7,128.2,139.6,155.6,96,143.6,160.6,110.2,NA,NA,56.4,132.5,168,84.2,111.7,143.7,173.9,161.2,185.2,132.1,122.4,176,203.7,107.2,173.1,172.8,167.4,107.1
PIFL,PIFL04,243.7,NA,437.7,259.5,177.7,167,126,280.8,187.1,204.6,167.1,200.6,130,214.7,192.9,138.6,NA,NA,79.1,168.5,194.2,107.1,131.8,212.4,197.7,201.3,223,150.3,161.9,219.6,193.8,99.6,195.6,189.8,225.7,125.8
PIFL,PIFL05,286.3,NA,347.9,356.2,317.2,248.2,104.6,256.2,324.5,311.5,293.4,319.1,234.7,296.2,316.6,153.4,NA,NA,181.8,307,257.1,172.6,173.9,261.1,253.9,328.4,238.3,183.2,222.1,300.6,287.1,156.5,212,232.8,210.3,164.8
PIFL,PIFL06,205.2,340.2,304.1,320.9,99.1,84.8,64.7,109.3,100.3,121.2,137.2,124.6,80.4,118.4,128.6,60.8,NA,NA,48.6,129.3,86.6,41,59.9,62.1,77.4,55,48.6,25.4,42.9,69.9,53.9,30.8,57.8,52.2,76.2,X
PIFL,PIFL07,298.5,358.5,335.2,367.9,210.4,128.5,92.4,262.1,219.1,210,266.5,260.3,79.4,177.3,231,65.1,NA,NA,24,54.9,44.5,21.2,22.8,44.2,58.7,45.2,46.9,26,34.6,64.8,62.2,33.3,44.9,X,X,X
PIFL,PIFL08,224.4,240.8,277.8,293.1,128.8,114.6,88.6,292,180.8,163.2,192.1,200,77.2,155.7,163.4,104.3,NA,NA,31.8,70,47.7,22.4,27,51.7,68.2,44.4,49.8,35.4,43.2,79.7,X,X,X,X,X,X
PIFL,PIFL09,208.3,220.3,244.8,266.6,118.4,87.8,79.4,119.8,113.2,112.8,126,225.8,84.7,123.6,128.8,67.9,NA,NA,41,99.9,59,20.7,20.3,45,60,36.8,37.7,20.2,31.4,62.9,44.4,26.2,X,X,X,X
PIFL,PIFL10,154.5,220.6,194.7,217,115.5,127,67.6,120.8,126,150.5,174.5,179.4,113.1,140.6,149.7,77,NA,NA,21.5,57.6,46.1,23.3,24.4,47.7,59.4,37.7,46.4,25.7,35.3,71.6,X,X,X,X,X,X
PIFL,PIFL11,357.4,291.7,251.9,284.8,156.3,105.3,65.3,104,130.5,141.8,204.7,185.2,115.3,117.3,97.7,47.4,NA,NA,22.5,56.7,45,21.8,23.9,54.3,70.7,42.8,44.9,23.9,32.6,X,X,X,X,X,X,X
PIFL,PIFL12,256.9,238,264.7,199.9,213.6,134.9,76,180.3,250.5,235.4,166.5,179.5,146.5,142.8,208.4,140.6,NA,NA,26.7,66.6,54.4,24.7,27.8,53.3,71.5,53.5,54.5,31,48.6,86.6,53.8,X,X,X,X,X
PIFL,PIFL13,169.9,260.5,227.6,240,151.7,131.9,146.5,234.9,172.2,167.1,152.2,241.3,92.5,145.5,142.8,124.2,NA,NA,77.9,143.9,63.8,20.1,21.8,43.2,61.8,35.1,43.2,23.5,30,61.5,41.8,X,X,X,X,X
