Species,SpeciesID,week_1.0,week_2.0,week_3.0,week_4.0,week_5.0,week_6.0,week_7.0,week_8.0,week_9.0,week_10.0,week_11.0,week_12.0,week_13.0,week_14.0,week_15.0,week_16.0,week_17.0,week_18.0,week_19.0,week_20.0,week_21.0,week_22.0,week_23.0,week_24.0,week_25.0,week_26.0,week_27.0,week_28.0,week_29.0,week_30.0,week_31.0,week_32.0,week_33.0,week_34.0,week_35.0,week_36.0
PIFL,PIFL01,609,594,617,601,615,601,620,545,523,497,495,457,468,428,478,NA,541,495,550,484,539,484,527,474,536,488,534,477,551,496,548,486,535,474,531,558
PIFL,PIFL02,692,690,699,691,693,682,681,618,603,586,602,570,590,557,615,NA,635,600,623,557,623,582,626,584,636,600,621,577,632,591,640,589,617,564,616,629
PIFL,PIFL03,666,660,667,660,662,648,648,590,573,552,553,516,550,510,543,NA,558,521,568,518,570,527,568,524,572,534,562,516,561,516,571,521,556,504,548,575
PIFL,PIFL04,664,658,673,664,671,659,660,604,591,568,565,526,565,529,577,NA,610,571,593,519,578,534,573,530,591,553,581,532,588,547,588,540,586,538,584,600
PIFL,PIFL05,758,749,761,749,756,743,757,683,661,635,624,575,600,555,596,NA,634,586,657,592,652,601,634,581,652,608,641,583,644,593,662,600,651,592,651,671
PIFL,PIFL06,755,750,744,742,740,725,714,639,616,600,571,546,522,500,483,NA,467,451,442,428,417,405,394,385,381,375,369,364,362,360,358,355,355,354,353,X
PIFL,PIFL07,782,774,770,766,768,756,747,642,617,594,559,524,497,473,455,NA,440,431,427,420,413,406,401,394,391,388,386,384,384,384,384,383,382,X,X,X
PIFL,PIFL08,664,660,657,655,654,643,637,551,530,512,480,456,435,413,398,NA,379,363,354,346,334,324,318,316,316,316,314,313,314,314,X,X,X,X,X,X
PIFL,PIFL09,760,754,754,749,751,744,738,672,652,634,604,580,554,530,507,NA,481,463,449,433,417,405,392,385,385,384,383,381,381,382,382,381,X,X,X,X
PIFL,PIFL10,697,690,684,677,672,661,650,557,531,509,473,446,425,402,386,NA,373,366,362,355,348,343,339,337,337,337,336,335,335,335,X,X,X,X,X,X
PIFL,PIFL11,674,662,648,640,630,610,598,510,483,462,424,401,380,361,353,NA,346,339,334,329,320,317,314,314,314,314,313,312,312,X,X,X,X,X,X,X
PIFL,PIFL12,677,670,664,663,661,652,646,562,546,527,501,471,445,420,403,NA,382,369,364,356,348,341,333,329,329,329,328,327,327,327,327,X,X,X,X,X
PIFL,PIFL13,697,693,691,692,693,685,676,606,592,571,546,517,492,468,450,NA,428,412,399,384,369,357,345,342,342,341,341,340,340,341,341,X,X,X,X,X
PIFL,PIFL14,653,645,638,634,628,616,606,525,502,475,440,415,395,375,364,NA,356,347,340,331,327,324,323,323,323,323,322,321,321,X,X,X,X,X,X,X
PIFL,PIFL15,668,662,657,653,650,637,632,562,528,507,471,444,424,406,394,NA,375,363,355,347,335,327,322,322,322,322,321,320,320,X,X,X,X,X,X,X
PIFL,PIFL16,680,674,667,667,662,646,641,572,557,543,515,495,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL17,649,642,631,630,623,606,598,509,479,453,417,387,361,345,338,NA,332,325,320,314,311,308,308,308,308,308,307,306,306,X,X,X,X,X,X,X
PIFL,PIFL18,743,734,721,720,713,697,691,595,571,548,512,484,467,448,435,NA,420,411,406,400,393,386,379,373,372,372,370,369,369,370,369,368,367,X,X,X
PIFL,PIFL19,691,688,682,687,686,675,671,602,584,564,529,499,474,449,431,NA,410,393,382,369,359,348,340,338,338,338,337,336,336,X,X,X,X,X,X,X
PIFL,PIFL20,787,781,775,777,773,759,754,689,664,644,602,570,545,518,500,NA,479,465,454,440,429,418,410,404,401,397,393,388,385,384,384,382,381,381,381,381
PIFL,PIFL21,726,717,709,707,698,670,664,600,584,565,529,506,488,466,453,NA,436,425,416,405,392,384,374,364,362,361,360,359,359,359,359,358,358,X,X,X
PIFL,PIFL22,658,648,638,637,627,608,603,529,513,494,462,435,415,392,377,NA,359,346,339,329,320,310,305,304,304,305,304,303,303,304,X,X,X,X,X,X
PIFL,PIFL23,680,663,639,636,621,589,580,482,454,433,393,374,366,359,355,NA,351,346,343,337,332,329,328,327,327,327,326,325,325,326,X,X,X,X,X,X
PIFL,PIFL24,702,692,675,675,665,651,645,569,546,524,468,438,420,396,379,NA,367,359,354,345,337,332,330,330,330,330,329,328,328,X,X,X,X,X,X,X
PIFL,PIFL25,773,764,745,743,734,716,710,641,616,593,547,519,502,480,466,NA,449,438,430,421,411,401,390,385,386,385,384,383,384,384,385,384,X,X,X,X
PIFL,PIFL26,814,805,814,809,806,784,803,786,770,738,740,706,736,696,746,NA,758,720,765,719,755,706,742,694,746,705,727,671,732,684,741,679,716,654,701,723
PIFL,PIFL27,790,785,786,785,782,755,777,762,748,720,722,687,711,662,697,NA,736,697,734,681,709,670,698,651,708,668,698,646,705,658,710,655,694,639,675,705
PIFL,PIFL28,737,736,735,735,732,720,730,721,712,689,694,666,677,649,674,NA,695,670,691,655,655,608,634,597,656,624,643,606,652,615,656,610,646,606,649,661
PIFL,PIFL29,727,721,724,719,727,714,727,714,702,675,665,629,660,621,666,NA,674,630,670,619,640,583,623,576,654,612,642,592,646,603,640,590,638,589,629,651
PIFL,PIFL30,795,786,785,774,781,762,784,766,748,712,693,643,675,637,698,NA,713,669,726,663,705,650,677,623,709,662,699,636,703,649,699,634,672,608,666,715
PIFL,PIFL31,742,738,730,729,724,713,705,681,665,651,620,593,569,541,520,NA,493,475,463,444,430,417,407,396,390,382,372,369,369,369,369,368,367,366,X,X
PIFL,PIFL32,756,753,743,742,736,725,714,695,678,653,621,592,562,535,517,NA,486,461,446,423,410,391,380,377,377,377,374,374,373,374,374,X,X,X,X,X
PIFL,PIFL33,605,600,587,584,574,564,557,534,518,494,466,440,421,402,387,NA,355,334,324,308,294,290,289,288,288,288,287,286,286,X,X,X,X,X,X,X
PIFL,PIFL34,756,752,748,746,743,734,730,708,695,674,651,626,603,578,552,NA,522,502,486,466,453,435,422,410,404,398,387,377,373,372,372,370,370,369,369,X
PIFL,PIFL35,775,763,752,745,738,721,711,686,667,640,607,575,545,517,498,NA,474,458,448,434,423,414,406,395,391,387,384,382,383,383,383,X,X,X,X,X
PIFL,PIFL36,727,723,716,716,707,699,686,664,648,619,590,559,529,499,477,NA,450,433,418,401,390,378,368,353,347,342,338,337,337,338,338,X,X,X,X,X
PIFL,PIFL37,799,794,787,789,785,776,766,739,720,691,660,630,600,569,546,NA,504,481,465,442,426,410,401,393,388,383,374,369,368,368,368,367,366,366,366,366
PIFL,PIFL38,785,778,766,766,758,748,738,711,689,664,629,594,559,527,507,NA,470,447,434,421,412,403,396,388,384,380,373,370,370,369,369,368,X,X,X,X
PIFL,PIFL39,766,761,756,756,754,751,743,724,708,696,669,649,625,601,588,NA,563,542,521,503,485,474,459,445,436,427,417,409,403,398,393,387,383,379,376,376
PIFL,PIFL40,779,769,760,752,743,737,728,708,692,663,629,593,564,538,517,NA,485,463,452,437,427,417,410,404,400,396,387,379,375,373,373,372,371,371,371,371
PIFL,PIFL41,709,697,691,685,678,669,656,632,615,575,545,520,495,472,454,NA,428,411,399,385,378,366,356,350,350,349,347,347,347,347,347,346,346,345,X,X
PIFL,PIFL42,825,818,813,813,805,798,784,752,733,705,667,640,608,576,554,NA,522,499,479,454,438,422,412,404,399,394,387,380,376,374,373,372,371,370,371,X
PIFL,PIFL43,718,715,710,709,701,695,684,663,645,621,591,562,537,511,497,NA,471,453,439,418,407,394,387,379,375,370,362,358,357,357,357,356,355,X,X,X
PIFL,PIFL44,757,751,746,741,734,727,718,695,679,655,626,594,561,533,512,NA,481,463,450,430,420,406,396,379,374,371,368,367,368,368,368,366,365,X,X,X
PIFL,PIFL45,814,800,789,769,757,740,724,689,665,633,594,554,528,506,488,NA,468,459,452,444,439,432,426,420,417,413,408,405,404,404,404,403,403,X,X,X
PIFL,PIFL46,828,809,798,785,771,753,730,691,666,632,595,558,527,503,485,NA,467,456,449,441,434,425,418,409,405,402,399,397,397,397,397,395,395,395,X,X
PIFL,PIFL47,845,838,837,831,826,813,790,758,736,702,661,614,574,540,518,NA,483,464,455,445,438,430,424,417,414,410,404,400,399,399,399,399,X,X,X,X
PIFL,PIFL48,793,780,769,752,735,717,697,661,638,604,570,535,511,490,474,NA,455,446,439,430,422,413,408,404,403,402,400,399,399,399,399,398,398,397,X,X
PIFL,PIFL49,695,686,679,666,656,643,630,602,586,561,534,496,474,458,444,NA,422,408,399,389,381,371,365,357,355,354,352,351,351,351,352,X,X,X,X,X
PIFL,PIFL50,697,683,676,662,652,641,628,606,587,561,528,488,460,439,422,NA,397,380,372,361,353,344,338,331,330,329,328,327,327,X,X,X,X,X,X,X
