Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32
PIED,PIED53,40,217.3,106.5,86.4,149.1,160,73.4,32.7,40.4,47.3,NA,57,125,99.2,129.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED54,47,46.1,122.1,44.4,120.9,85.1,55.1,36.2,44.1,43.3,NA,49.6,154.9,75.3,208.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED55,59.3,83.8,80.5,64.7,140.5,67.7,36.7,42.9,91.9,39.8,NA,66.5,149.3,71.3,120.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED56,42.5,206.8,35.9,38.9,30.4,37.8,50.3,38.4,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED57,74.8,53.4,21.6,49.8,27.6,40.2,44.9,49.8,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED58,51.6,77.7,75.9,62.1,25.9,42.8,42.2,37.3,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED59,60.9,138.6,23.7,41.8,28,48.7,43.6,45.2,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED60,80.4,86.3,24.6,57.2,29.7,43.9,47.8,44,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED61,104.6,54,35.6,52.6,30.1,39.6,40,39.3,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED62,62.6,58.9,24.3,58.5,33.9,54.1,38,39.4,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED63,83.6,110.6,24.6,43,36.4,40.4,43.4,37.8,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED64,35.7,67.4,32.6,49.8,37.5,45.8,51.1,39.7,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED65,43.7,91.7,58.7,51.1,30,33.7,38.6,41.4,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED78,75.9,221.9,124.7,49.8,95.4,76.5,51.2,33.5,71.4,46.8,53.8,52.9,117,67.6,157.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED79,39,125.4,96.5,53.5,153.3,89.1,95.7,31.7,65.6,52.3,65.7,60.2,146.6,138.1,124.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED80,71.9,194.7,100.4,140.3,111.1,117.5,68.7,36.3,69.4,75.3,101.3,71.3,123.2,77.1,137.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED81,53.7,140.6,22.4,41,27,42.3,40.6,45.8,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED82,74.9,233.7,48.7,44.3,29.7,31.8,38.5,44,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED83,108.6,66.4,22.8,49.2,39.3,34.2,33.9,49.5,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED84,118.1,168.8,79.8,83,30.7,52.3,38.9,41.3,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED85,127.8,64.4,22.5,38.5,33.8,36.9,41.2,41.9,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED86,50.3,42.4,45.9,59.7,35.4,38.3,37.6,41.3,45.6,53.2,65.9,56,65.6,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED87,128.2,127.1,24.2,37.4,28.3,46.7,35.1,48.1,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED88,83.6,135.4,23.4,56,41.1,46.4,42.9,43.7,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED89,76.8,183.4,25.8,47,32.5,41,42.1,41.9,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED90,164.8,164.5,27.4,54.6,28.3,37,34.6,32.1,46.8,54.2,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
