Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32
PIED,PIED51,550,458,487,437,568,555,461,418,481,447,496,459,528,459,521,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED52,664,548,610,523,666,682,575,486,534,502,542,508,555,511,573,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED53,692,578,618,537,680,649,557,497,551,520,560,527,595,537,618,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED54,510,451,480,442,577,672,541,432,472,441,507,453,554,465,540,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED55,638,570,616,558,702,704,627,539,595,556,607,561,617,565,615,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED56,527,439,391,370,352,347,344,339,340,340,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED57,618,514,488,466,450,437,433,420,422,421,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED58,675,579,509,475,459,445,438,420,420,420,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED59,706,602,535,489,456,445,444,438,440,440,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED60,614,485,433,408,393,385,381,374,376,377,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED61,619,559,498,450,428,404,395,385,386,386,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED62,584,494,467,444,429,422,418,408,408,408,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED63,681,545,510,492,478,469,467,460,460,461,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED64,652,554,479,451,433,416,410,402,404,404,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED65,645,584,524,481,464,446,438,427,428,428,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIED,PIED66,615,521,462,425,399,379,376,371,373,374,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
