Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28
PIEN,PIEN51,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIEN,PIEN52,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIEN,PIEN53,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%
PIEN,PIEN54,10%,10%,10%,10%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%
PIEN,PIEN55,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIEN,PIEN56,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,90%,90%,90%,90%,90%
PIEN,PIEN57,10%,25%,10%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,75%,75%,75%,90%,90%,90%,90%,90%,90%,90%
PIEN,PIEN58,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,50%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIEN,PIEN59,10%,10%,10%,10%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%
PIEN,PIEN60,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIEN,PIEN61,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,75%,90%,90%,90%,90%,90%,90%
PIEN,PIEN62,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,75%,90%,90%,90%,90%,90%
PIEN,PIEN63,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,90%,90%,90%,90%,90%,90%
PIEN,PIEN64,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,90%,90%,90%,90%,90%,90%
PIEN,PIEN65,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,90%,90%,90%,90%,90%,90%
PIEN,PIEN66,10%,10%,10%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%
PIEN,PIEN67,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
