Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28
PIEN,PIEN53,99.3,145.3,139.1,78.6,162.8,138.1,120.2,112.9,196.2,153.7,179.2,119.9,133.5,106.3,142.3,107.3,129.7,72.6,102.1,93.7,84.2,106.9,69.3,96.1,X,X,X,X
PIEN,PIEN54,57.6,119.7,149.5,132.3,108.7,83.3,98.1,98.3,94,120.5,132.6,128.9,72,96.1,120.8,93.2,106.4,83.1,92.4,108.3,75,68.3,74.9,67.7,X,X,X,X
PIEN,PIEN55,112.7,110.5,121.8,134.5,111.8,64.4,92.4,90.3,120.8,132.2,94.4,126.1,63.2,89.4,95.1,96,118.1,82.5,86.7,110.5,87.6,99.7,75.4,102.6,X,X,X,X
PIEN,PIEN56,71.5,77.2,115,121.8,107.2,51.1,54,59.9,83,73.2,76.4,59.1,55.3,55.5,97.7,69.1,98.1,70.9,57.8,68.5,49.4,51.1,36.1,NA,NA,X,X,X
PIEN,PIEN57,72.1,70.5,94.1,96.1,104.2,76.3,100.8,64.4,124.9,83.2,77.4,91.1,47.1,59.3,65.2,57.2,81.2,52.1,55,NA,NA,X,X,X,X,X,X,X
PIEN,PIEN58,94.9,131.7,109.6,117.6,123,84.6,98.7,81,97.9,71.2,86.3,74.2,46.7,60.6,72.5,60.2,79.6,50.2,52.6,NA,NA,X,X,X,X,X,X,X
PIEN,PIEN59,79.3,106.8,108.8,177,142.6,104.6,83.5,88.2,110.8,125.2,101.1,91.8,56.2,96.1,81.7,66.9,74.7,46.5,55.7,NA,NA,X,X,X,X,X,X,X
PIEN,PIEN60,45.7,71.7,69.6,82.4,64.4,54.9,62.8,60,82,89.2,81.7,83.2,56,59.8,69.1,59.2,61.6,44.3,47,NA,NA,X,X,X,X,X,X,X
PIEN,PIEN61,56.7,71.4,93.9,72.2,74.4,51.6,72.3,52.5,75.6,67.2,78.7,63.9,56.3,77.1,74.3,66.7,74.7,49.5,44.3,48.4,46.9,47.9,NA,NA,X,X,X,X
PIEN,PIEN62,68.2,94.3,113.8,119.8,110.8,48,91,96.5,99.4,86.9,99.4,85,61.4,87.2,116.5,82.4,93.1,61.1,67.8,63.2,56.5,53.1,34.2,NA,NA,X,X,X
PIEN,PIEN63,88.6,146.1,164.1,132,120.5,76.5,136.3,102.5,105.9,108.8,98.2,92.4,83.7,84.9,82.6,72.7,85.8,55.3,50,65.5,47.5,NA,NA,NA,X,X,X,X
PIEN,PIEN64,77.3,96.4,163.8,113.3,91.2,106.6,137.7,66.8,119.9,90.8,190,71.9,51.9,65.2,87.2,65.5,85.9,56.7,40.9,57,46.5,NA,NA,NA,X,X,X,X
PIEN,PIEN65,146.1,108.2,228,152.4,126.5,48.5,68.5,80.8,82.2,108.6,90.4,101.2,95.7,118.1,105.3,77.4,72.7,48.9,48.8,64.3,60.3,41.4,NA,NA,X,X,X,X
PIEN,PIEN78,41.3,91.7,88.3,115.6,98.5,79,97.3,103.7,151.7,122,97,89.2,67.4,110,125.9,103.6,123.8,89.6,79.4,111.2,88.4,86.5,74.6,65.9,78.3,91.8,92.8,X
PIEN,PIEN79,93.6,108.6,126.6,163.4,38.8,45.8,94.2,112.9,118.7,83.4,114.5,137.2,41.8,84.3,117.3,89.7,127.8,72.5,56.7,58.2,100.9,78.1,80.1,78.2,44.4,72.3,100.6,X
PIEN,PIEN80,77.7,137.1,128.6,148.5,108.8,56.4,80.2,83.9,98.8,105.1,90.5,82.2,75.9,77.6,104.8,97.9,135.3,76.7,112.1,99.4,79.2,86.1,71.1,58.5,74.8,139.1,89.9,X
PIEN,PIEN81,105.6,107.6,92.2,121.1,119.7,88.3,129.1,111.8,154.8,153.1,138.3,81.3,115.1,68.3,96.7,71.8,86.1,53.4,53.4,54.9,42.2,NA,NA,X,X,X,X,X
PIEN,PIEN82,59.8,79.7,115.3,59.4,146.8,51.8,68.4,79.8,87.1,107.5,71.6,88.9,66.5,70.8,87.8,86.6,96,75.1,64.8,108.3,63.3,62.2,43.7,45.2,50.1,52.9,NA,NA
PIEN,PIEN83,106.3,99.6,71.1,115,120,59.8,79,84.1,100.9,121.8,92.4,92.7,66.3,85.9,121.9,102.3,114,60,59.5,87,51.4,54.4,NA,NA,X,X,X,X
PIEN,PIEN84,128.9,156,125.1,154.4,65,58.1,78.5,61.8,80.3,89.3,78.7,80.7,58.5,87.3,85.3,73.7,62.8,45,50.9,NA,X,X,X,X,X,X,X,X
PIEN,PIEN85,50.4,88.5,93.7,84.9,127.1,55.9,48.9,70.2,94.2,124.2,65.4,52.6,42.2,71.6,89.8,58.3,84.5,52.8,51.3,62.2,55.1,NA,NA,X,X,X,X,X
PIEN,PIEN86,130.2,137.3,161.9,200.4,181.3,126.8,112.1,80.3,98.6,214.4,116.2,91.6,62.8,71.3,107.8,77.3,92.7,60.9,50,57.6,50.3,NA,X,X,X,X,X,X
PIEN,PIEN87,101.9,139.5,129.7,97.3,188.9,93.4,80,84.8,99.3,108,122.4,102.9,83.8,73.8,87.8,93.6,100.5,72.6,80.1,105.2,64.6,72.8,40.9,38.2,48,NA,NA,X
PIEN,PIEN88,104.9,155.8,157.6,173.5,161.4,53.3,73.6,74,100.5,116,96.8,102.4,64.8,88.6,109.6,117.2,123.5,68,49.8,58.2,53.4,48.4,35.2,NA,35.2,X,X,X
PIEN,PIEN89,89.9,161.3,112.1,96.7,86.5,59.2,105.9,85.3,122.4,143.6,123.7,129.8,84.3,87,126.7,122.9,135.3,108,94.4,53.8,54.1,53.5,40.3,38.2,NA,NA,X,X
PIEN,PIEN90,86.6,122.1,133.1,130.6,133.2,52.8,80.4,93.7,117.1,133,98.9,109.3,92.6,108.8,104.6,132.5,159.4,100.6,72.2,58.2,54.9,47.3,36.8,NA,35.2,X,X,X
