Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28
PIEN,PIEN51,802,825,799,777,791,775,801,668,752,741,770,756,759,743,755,721,747,690,706,634,631,575,616,556,589,X,X,X
PIEN,PIEN52,756,785,757,736,760,740,779,658,752,740,781,769,780,764,776,738,739,661,699,614,623,546,603,541,537,X,X,X
PIEN,PIEN53,705,726,707,689,706,687,714,609,653,641,669,658,686,678,694,673,686,646,676,625,637,584,599,554,566,X,X,X
PIEN,PIEN54,786,783,744,711,711,684,728,579,700,682,755,730,751,730,750,708,715,647,735,654,646,574,651,590,615,X,X,X
PIEN,PIEN55,718,740,705,672,712,693,733,604,660,649,715,706,722,708,730,701,723,669,692,623,616,555,591,528,550,X,X,X
PIEN,PIEN56,744,736,727,712,696,684,677,576,566,556,550,542,529,519,507,494,480,459,442,426,412,404,395,395,NA,X,X,X
PIEN,PIEN57,809,777,755,736,711,693,682,553,540,526,514,504,492,490,485,478,473,465,457,448,NA,X,X,X,X,X,X,X
PIEN,PIEN58,706,663,635,605,579,557,541,450,443,439,436,433,429,426,422,415,412,405,399,389,NA,X,X,X,X,X,X,X
PIEN,PIEN59,698,668,642,622,597,586,NA,488,477,469,459,450,437,431,425,417,413,407,400,391,NA,X,X,X,X,X,X,X
PIEN,PIEN60,750,708,681,657,630,611,598,490,483,477,470,463,456,451,446,441,436,429,424,414,NA,X,X,X,X,X,X,X
PIEN,PIEN61,753,723,703,679,644,623,612,545,532,521,509,495,479,466,449,433,423,412,404,396,389,380,412,NA,X,X,X,X
PIEN,PIEN62,677,668,660,642,622,615,613,530,519,510,504,501,492,481,469,458,448,431,427,415,405,398,388,NA,NA,X,X,X
PIEN,PIEN63,781,750,723,702,676,658,642,521,509,494,481,467,452,440,433,425,420,415,410,403,396,389,384,NA,X,X,X,X
PIEN,PIEN64,787,760,734,712,689,672,659,574,561,548,535,523,510,501,492,481,473,465,457,449,442,436,429,NA,X,X,X,X
PIEN,PIEN65,858,821,796,786,753,736,728,639,622,606,595,584,567,551,534,518,509,500,493,487,480,476,470,467,X,X,X,X
PIEN,PIEN66,653,617,588,559,527,506,495,409,402,395,387,379,371,365,360,354,351,346,340,332,NA,X,X,X,X,X,X,X
PIEN,PIEN67,641,588,554,526,494,473,462,371,363,359,355,352,349,346,343,338,335,330,324,NA,X,X,X,X,X,X,X,X
PIEN,PIEN68,644,606,575,554,525,507,499,435,426,421,414,408,402,398,393,388,385,381,376,367,NA,X,X,X,X,X,X,X
PIEN,PIEN69,732,707,684,672,655,646,639,530,519,510,500,490,480,471,462,454,450,443,437,430,423,417,NA,X,X,X,X,X
PIEN,PIEN70,706,685,668,651,625,609,600,541,530,519,505,492,478,466,456,443,433,420,408,394,381,368,353,350,X,X,X,X
PIEN,PIEN71,703,648,600,561,518,498,488,438,436,436,434,432,427,427,425,421,418,415,411,X,X,X,X,X,X,X,X,X
PIEN,PIEN72,586,537,502,473,439,424,415,351,344,340,333,327,321,317,313,307,302,295,288,NA,X,X,X,X,X,X,X,X
PIEN,PIEN73,813,776,744,720,695,672,663,602,588,580,571,562,549,537,526,512,500,487,474,460,449,443,434,427,NA,X,X,X
PIEN,PIEN74,691,652,617,588,560,544,537,460,450,442,432,423,414,406,400,394,391,385,379,372,365,NA,X,X,X,X,X,X
PIEN,PIEN75,624,574,529,493,454,434,419,348,346,344,341,339,335,333,329,323,319,316,312,X,X,X,X,X,X,X,X,X
PIEN,PIEN76,673,681,660,638,658,643,683,672,702,697,716,708,703,694,707,686,699,668,677,620,620,575,610,566,595,563,627,627
PIEN,PIEN77,660,682,659,636,665,645,683,672,702,692,713,708,707,693,701,672,690,648,664,604,620,572,601,551,595,548,600,600
PIEN,PIEN78,677,688,667,647,662,644,669,660,670,656,669,653,650,631,644,608,631,581,600,519,517,463,510,461,496,450,521,521
PIEN,PIEN79,760,777,748,719,758,741,NA,775,790,783,795,784,789,778,785,756,768,727,734,672,679,629,643,592,624,572,632,632
PIEN,PIEN80,724,742,714,687,711,695,738,726,758,748,763,748,745,730,737,704,721,676,697,625,643,580,606,548,579,530,593,593
PIEN,PIEN81,735,692,668,640,608,591,578,564,549,534,525,512,495,479,464,449,440,427,422,413,404,400,NA,X,X,X,X,X
PIEN,PIEN82,781,756,746,734,709,696,689,678,670,665,662,657,646,640,627,604,587,559,528,492,464,448,426,417,404,399,392,392
PIEN,PIEN83,812,790,774,749,712,701,688,673,661,645,631,615,601,578,549,521,498,475,458,440,426,416,407,407,X,X,X,X
PIEN,PIEN84,649,574,519,468,441,435,431,427,424,422,420,419,416,413,410,405,402,395,388,NA,X,X,X,X,X,X,X,X
PIEN,PIEN85,690,645,615,592,559,543,529,521,511,498,491,481,472,460,447,435,427,416,409,398,390,381,NA,X,X,X,X,X
PIEN,PIEN86,657,612,580,549,521,504,491,473,459,442,428,414,400,389,381,372,366,360,354,345,334,NA,X,X,X,X,X,X
PIEN,PIEN87,788,758,749,736,710,697,695,692,686,671,667,660,651,636,618,598,582,557,528,494,463,443,430,422,411,400,395,395
PIEN,PIEN88,762,729,712,680,651,640,630,623,616,605,597,591,577,557,534,507,486,463,442,424,408,400,385,385,X,X,X,X
