Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PIFL,PIFL51,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL52,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL53,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL54,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL55,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL56,10%,10%,10%,10%,75%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL57,10%,10%,10%,10%,75%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL58,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,75%
PIFL,PIFL59,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL60,10%,10%,10%,25%,50%,25%,50%,50%,50%,50%,50%,75%,75%,75%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PIFL,PIFL61,10%,10%,10%,25%,10%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL62,10%,10%,10%,10%,75%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,75%,75%,75%,75%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PIFL,PIFL63,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,75%
PIFL,PIFL64,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,75%,75%,75%,75%,75%,75%,75%,75%
PIFL,PIFL65,10%,10%,10%,10%,50%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL66,10%,10%,10%,25%,10%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PIFL,PIFL67,10%,10%,10%,10%,75%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL68,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,75%,75%,75%,75%,75%,75%,75%,75%
PIFL,PIFL69,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,75%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PIFL,PIFL70,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL71,10%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PIFL,PIFL72,10%,10%,10%,10%,50%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,75%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PIFL,PIFL73,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,50%,50%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL74,10%,10%,10%,25%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,75%,75%,75%,75%,75%,75%,75%,75%
PIFL,PIFL75,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PIFL,PIFL76,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL77,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL78,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL79,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL80,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL81,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,75%,75%,75%,75%,75%,75%,75%,75%,75%
PIFL,PIFL82,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,50%,50%,50%,50%,50%,50%
