Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PIFL,PIFL53,99.6,272.3,188.8,171.6,176.5,60,99,70.5,96.3,153.4,181.2,158.2,125.6,164.1,123.2,143.7,118.2,133.7,166.1,127.9,106.1,125.4,100.7,56.4,56.4,X,X,X,X,X
PIFL,PIFL54,135.9,293.1,208.8,179.4,169.2,78.9,96,93.4,159.6,129.7,134.1,148.2,180.4,120.7,152.9,144.9,126.2,117.2,161.8,89.4,118.6,64.2,98.9,56,56,X,X,X,X,X
PIFL,PIFL55,128,247.2,133.9,121.1,165.7,104.7,99.3,105.4,113.3,116.4,159.9,96.4,86,138.5,125.6,182.3,141.6,101.5,146.3,107.5,116.6,109.1,129.8,148.1,148.1,X,X,X,X,X
PIFL,PIFL56,117.7,182.7,171.1,207.4,144.7,74.8,67.3,41.1,78.8,52.2,70.9,60.7,63.8,55.2,43.5,79.5,63,58.1,73,48.2,46.2,NA,X,X,X,X,X,X,X,X
PIFL,PIFL57,154.9,280,139.5,175.8,151.5,65,92.2,39.3,59.7,43.3,58.9,62.4,64.6,56,51.3,73.5,72,63.4,71.1,54.9,58.8,NA,X,X,X,X,X,X,X,X
PIFL,PIFL58,102.1,230.2,114.2,127.5,71.8,67.7,60.7,51.9,75.2,66.5,66.7,90.8,81.6,78.8,55.2,78.1,70.4,57.8,66.8,46.6,58.6,42.4,53.9,54.1,NA,X,X,X,X,X
PIFL,PIFL59,94.6,225.3,165.3,180.8,211.7,50.6,86,68.3,94.8,123.8,125.8,165.3,128.5,78.8,44.9,65.7,53.9,49.9,60.9,48.5,49.6,47.2,72.6,NA,X,X,X,X,X,X
PIFL,PIFL60,139.5,223.6,57.8,63.6,54.8,36.7,43.2,36.7,61.7,53.9,54.7,62.9,56.8,64.2,56.7,NA,75.4,70.8,79.1,58.4,57.1,X,X,X,X,X,X,X,X,X
PIFL,PIFL61,105.7,214,160.9,150.4,148.8,62.1,68.6,62.5,67.2,89.1,73.5,63,81.2,60.3,44.9,53.4,67.3,58.5,68.7,51.5,60.3,59.2,54.5,NA,X,X,X,X,X,X
PIFL,PIFL62,125.6,247.2,183.2,252.5,157.5,49.9,52.8,37.7,47.1,45,52.7,50.5,61.2,57.5,48.4,67.2,52.6,50,61.2,55.6,52.8,NA,X,X,X,X,X,X,X,X
