Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PIFL,PIFL51,558,476,552,589,597,514,502,401,492,471,514,482,554,529,518,477,485,424,445,380,447,375,371,337,X,X,X,X,X,X
PIFL,PIFL52,603,554,623,655,625,602,609,513,598,593,608,595,623,604,588,555,556,511,550,491,533,459,457,409,X,X,X,X,X,X
PIFL,PIFL53,595,528,603,638,602,570,575,473,576,562,602,579,620,594,582,536,550,485,514,440,473,402,372,345,X,X,X,X,X,X
PIFL,PIFL54,531,456,541,574,525,489,522,401,487,466,520,492,539,509,498,447,434,376,404,346,378,328,339,312,X,X,X,X,X,X
PIFL,PIFL55,635,575,641,669,621,591,629,507,613,600,630,612,659,633,620,584,586,531,554,470,505,425,450,397,X,X,X,X,X,X
PIFL,PIFL56,514,460,433,409,384,369,350,314,312,309,306,304,304,298,291,289,288,286,284,282,282,279,X,X,X,X,X,X,X,X
PIFL,PIFL57,578,523,485,442,408,391,367,328,326,325,322,321,321,318,308,306,305,301,300,297,296,294,X,X,X,X,X,X,X,X
PIFL,PIFL58,643,603,581,553,533,512,486,439,434,428,419,412,409,398,381,373,367,356,348,342,340,337,337,336,NA,X,X,X,X,X
PIFL,PIFL59,551,512,486,465,446,428,403,359,355,350,341,335,332,324,308,303,296,291,289,287,286,283,283,NA,X,X,X,X,X,X
PIFL,PIFL60,446,393,360,339,330,323,314,294,300,303,303,303,304,301,295,296,297,294,293,292,290,X,X,X,X,X,X,X,X,X
PIFL,PIFL61,588,533,491,458,434,418,396,357,354,351,346,343,343,338,330,326,323,318,314,312,311,308,307,NA,X,X,X,X,X,X
PIFL,PIFL62,545,476,432,395,360,344,328,303,303,303,301,301,302,299,294,292,292,289,288,286,285,NA,X,X,X,X,X,X,X,X
PIFL,PIFL63,668,616,587,555,529,500,467,424,417,411,402,395,392,383,372,368,363,354,346,343,341,337,337,NA,X,X,X,X,X,X
PIFL,PIFL64,589,544,521,495,462,436,411,367,363,356,351,348,347,341,330,326,323,320,318,316,315,313,311,NA,X,X,X,X,X,X
PIFL,PIFL65,650,558,518,478,452,434,411,378,378,375,372,370,370,366,357,354,350,346,344,342,341,X,X,X,X,X,X,X,X,X
PIFL,PIFL66,582,524,479,448,423,405,383,352,349,346,341,339,338,333,318,317,317,314,314,312,311,X,X,X,X,X,X,X,X,X
PIFL,PIFL67,671,593,553,502,470,454,433,394,391,387,383,379,379,372,359,355,351,346,344,343,341,NA,X,X,X,X,X,X,X,X
PIFL,PIFL68,656,607,575,548,522,501,469,423,419,413,407,400,398,385,368,360,353,342,335,332,331,328,327,NA,X,X,X,X,X,X
PIFL,PIFL69,571,525,487,456,432,412,389,345,341,336,327,322,321,313,300,297,296,293,292,290,289,X,X,X,X,X,X,X,X,X
PIFL,PIFL70,645,594,541,505,479,459,436,395,392,387,381,377,376,370,362,359,355,348,345,343,341,338,337,NA,X,X,X,X,X,X
