Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32
PIPO,PIPO53,42.9,312.9,97.3,93.7,101.8,77.9,90.4,32.8,83.8,136.1,98,82.5,87.6,82.3,95.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO54,71.4,185.1,94.1,54.1,89.5,61.7,70.4,42.8,73.1,103.6,116.2,123.1,102,95.8,138,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO55,92.5,124.9,63.3,63.2,92.9,56.3,74.6,32.6,76.6,63.2,59.5,62.2,75.7,81,87.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO56,56.9,141.7,22.5,50.5,36.6,70.8,58,45.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO57,47.1,51.2,26.6,60,38.3,49.9,58.1,46.9,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO58,59.5,132.9,64.8,51.6,34.8,51.6,63.1,44.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO59,147.3,47.3,25.2,52.4,39.8,70.7,75.8,43,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO60,64.9,140.8,23.6,45.7,34.5,47.7,53.8,45,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO61,88.4,50.6,21.8,57.6,44.6,72,63.5,42.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO62,50.6,55.1,25.8,57.9,38.6,42.4,58.2,40.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO63,61.8,216.9,18.7,58,31.6,59.9,61.1,43.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO64,50.5,76.7,30.6,44.8,37.9,41.1,58.4,41.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO65,41.2,73.3,32.7,49.2,37.6,49.2,63.6,38.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO78,55,160.7,48.3,171.1,254.3,59.6,70.5,54.4,92.8,54.8,55.6,64.4,113.6,98.4,107.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO79,32.3,187,37.5,97.8,106,78.5,73.3,89.5,111,96.9,108.4,126,119.1,135.1,107.4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO80,50.7,147.7,34.8,99.2,180.9,65.1,74.3,65.7,91.3,133.4,87.7,87,92.4,96.9,108.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO81,74.7,72.5,22.2,52.3,32.5,57.8,49,59.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO82,57.9,223.4,25,50.6,31.4,53.8,62.6,53,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO83,69.8,114.9,33.8,66.2,43.6,51.9,54.8,57.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO84,67.3,124.9,35.7,49.4,34.3,64.2,50.1,49.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO85,47.5,69.9,28.6,52.7,46.2,56.5,56.4,56.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO86,61.4,40.1,26.3,57.9,36.5,53.9,53,60.5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO87,35,90.5,25.7,47.4,44.1,65.1,59.5,54.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO88,38.5,69,25.9,89,46.8,69.6,40.5,40.2,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO89,42.6,95.1,25.4,46.8,34.7,53.1,54.9,52.6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO90,51.6,138.4,23.3,54.3,39.4,60.2,43.9,50.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
