Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32
PIPO,PIPO51,486,402,463,393,519,639,555,389,431,386,457,395,465,400,499,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO52,479,373,432,366,472,566,495,351,434,374,451,386,444,380,459,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO53,568,414,464,386,505,631,561,369,468,399,458,389,481,399,475,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO54,454,349,398,333,463,521,461,329,410,348,438,366,466,389,467,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO55,539,424,466,379,497,524,455,356,440,405,497,446,531,474,547,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO56,498,418,373,344,339,340,340,336,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO57,581,485,424,372,348,329,321,312,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO58,594,483,415,381,369,357,355,349,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO59,441,382,358,334,332,333,332,329,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO60,463,376,351,331,322,320,319,315,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO61,431,382,360,339,335,335,335,331,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO62,585,493,437,391,362,339,332,325,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO63,471,396,368,341,331,329,329,324,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO64,601,483,425,394,380,371,369,364,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO65,596,492,432,385,364,345,341,336,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO66,553,472,417,371,350,324,314,308,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO67,534,460,405,354,326,324,324,320,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO68,669,589,504,437,405,387,379,370,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO69,441,374,339,332,330,331,331,327,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO70,519,411,378,348,343,339,338,333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO71,453,360,328,305,303,304,304,300,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO72,675,570,507,456,428,407,394,372,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO73,485,390,350,317,314,315,315,310,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO74,564,491,431,384,360,334,322,309,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO75,494,431,394,371,369,369,369,365,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO76,494,408,493,400,505,509,420,362,430,372,481,392,484,390,471,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO77,456,389,478,390,540,512,427,374,428,380,523,434,547,441,532,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO78,550,435,491,387,515,533,435,367,413,365,535,465,576,512,571,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO79,699,616,666,554,690,701,607,528,557,510,617,567,665,613,662,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO80,535,432,484,398,517,547,454,375,423,370,486,432,532,474,543,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO81,506,427,393,373,360,357,356,355,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO82,532,408,351,322,317,315,315,313,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO83,553,439,389,353,342,342,341,338,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO84,493,408,350,318,297,295,295,293,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO85,527,454,413,388,373,361,360,359,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO86,412,354,334,313,310,310,310,309,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO87,526,422,381,350,344,343,342,341,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO88,595,516,450,401,372,345,332,322,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO89,484,431,409,384,378,376,375,373,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO90,516,411,366,338,324,320,319,317,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO91,427,354,330,311,305,303,303,301,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO92,443,328,292,265,264,264,264,262,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO93,490,409,363,332,327,327,327,325,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO94,467,418,385,363,349,345,345,343,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO95,513,445,415,396,384,374,372,370,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO96,433,361,326,304,298,298,297,296,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO97,555,459,403,375,356,349,348,346,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO98,510,424,373,350,333,329,329,326,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO99,507,421,384,360,350,348,347,345,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIPO,PIPO100,553,437,374,338,331,331,330,328,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
