Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PSME,PSME51,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PSME,PSME52,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PSME,PSME53,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PSME,PSME54,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PSME,PSME55,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PSME,PSME56,10%,10%,10%,50%,50%,75%,75%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME57,10%,10%,10%,25%,25%,50%,50%,75%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME58,10%,10%,10%,10%,10%,10%,10%,10%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME59,10%,10%,10%,25%,25%,25%,25%,50%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME60,10%,10%,10%,50%,50%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME61,10%,10%,10%,10%,25%,25%,25%,25%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME62,10%,10%,10%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME63,10%,10%,10%,10%,10%,25%,25%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME64,10%,10%,10%,10%,10%,10%,10%,50%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME65,10%,10%,10%,25%,25%,50%,50%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME66,10%,10%,10%,10%,25%,25%,25%,50%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME67,10%,25%,10%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME68,10%,10%,10%,10%,10%,10%,10%,75%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME69,10%,10%,10%,10%,10%,10%,10%,10%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME70,10%,10%,10%,10%,10%,25%,25%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME71,10%,10%,10%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME72,10%,10%,10%,25%,25%,25%,25%,75%,90%,90%,90%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PSME,PSME73,10%,10%,10%,10%,10%,10%,10%,25%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME74,10%,10%,10%,10%,10%,10%,10%,10%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME76,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PSME,PSME77,10%,10%,25%,25%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
PSME,PSME78,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PSME,PSME79,10%,10%,25%,25%,25%,50%,50%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%
PSME,PSME80,10%,10%,10%,25%,25%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
PSME,PSME81,10%,10%,10%,10%,10%,25%,50%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
PSME,PSME82,10%,10%,10%,50%,50%,50%,75%,75%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
