Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PSME,PSME53,50.2,101.1,49.6,53,157.6,49.6,54.5,88.4,78.5,56.3,127.2,73.9,102,129.9,70.6,90.1,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME54,48.2,203.2,78.9,71.8,81,89.4,64.3,120.4,86.3,148.5,99.4,123,142.7,143.5,70.1,132,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME55,55.5,111.6,85.4,86.4,117.6,53.3,72.3,68.5,88.5,103.3,97.1,127.6,97.8,129.1,107.6,109.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME56,47.3,79.9,39.5,50,57.5,31.5,62.6,60,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME57,37,136.8,42,40.8,56.7,33.6,43.5,57.9,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME58,69.6,249.8,92.6,109.1,119.4,43,46.4,52,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME59,121.3,295.5,92.1,93.2,87.7,37.8,39,50,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME60,65.8,131.9,52,42.9,44.6,39,44.8,54.1,NA,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME61,81.7,169.6,58.4,71.9,60.2,31,35.8,49.3,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME62,49.3,61.7,44.2,58.2,45.3,33.6,33.4,45.4,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME63,93.3,100.9,65.7,50.1,52.2,36.8,45.3,42.2,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME64,76.4,188.8,98,63.6,64.3,40.1,39.3,60.8,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME65,106.4,130,38,46.2,50.5,35.5,38.4,53.9,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME78,56.9,117.6,113.8,88.2,135,68.5,100.9,46.6,209.3,174.3,129.5,144.2,175.5,158.2,119.3,112,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME79,85.8,195,89,66,81.8,59,77,90.9,106.2,62.8,115.1,210.2,156.7,93.1,67.5,131.2,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME80,68.6,133.9,47.9,77,69.2,58.3,50.9,65.5,111,66.8,107.4,79.4,95.7,271.7,46.9,115.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME81,45.9,196,148.6,38.7,48.9,36.9,36.9,37.2,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME82,57.5,240.3,73.6,57.9,49,38.7,38.7,34.4,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME83,53,280.6,66.1,74.2,65.6,42.5,33.5,48.5,NA,45.4,52.8,63.4,51.3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME84,77.6,221,104.1,50.2,64.1,38.7,40.8,50.3,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME85,106.1,254.9,60.3,58,86.3,38.6,38.9,42.5,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME86,47.8,170.4,81.4,82.9,81.1,54.5,53,43.9,NA,47.9,52.8,69.2,61.1,63.6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME87,63.8,225.1,123.4,117.8,137.5,93.3,44,55.4,61.4,56.1,71.8,52.9,68.7,55.6,51.9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME88,63.3,157.2,67.5,91.3,87.4,67.2,33.1,40.2,52.5,46,52.6,64.7,61.3,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME89,41.8,118.4,55.4,52.1,50.9,36.7,42.9,52.5,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME90,97.1,213.6,114.9,51.1,51.6,33.3,44.1,37.5,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
